id_prensa,anio,publish_date,media_name,titulo_prensa,url_original,encontrada_meneame,url_meneame
f764b183f7b2e39fa9368f4084e16eb7d893a1b16d5a077fd4751f2128344489,2015,2015-05-22,fundeu.es,"«bodas gais», mejor que «bodas gay»",https://www.fundeu.es/recomendacion/gais-es-el-plural-de-gay-360/,False,
f82186d3607345f7b864a363de9a0e64a9a39b6f153878a17de240e89a8112a9,2015,2015-04-29,diariojaen.es,Europa decide que prohibir donar sangre a los homosexuales &#034;puede estar justificado&#034;,https://www.diariojaen.es/historico/la-justicia-europea-dictamina-que-la-prohibicion-a-los-homosexuales-de-donar-sangre-puede-estar-justificada-FYDJ77421,False,
429614ef059d656474f4cc902361a085daac402a3597ee0e1e17326c4bb3f146,2015,2015-08-07,diariojaen.es,El Obispado se aleja de cualquier censura a los transexuales,https://www.diariojaen.es/historico/el-obispado-se-aleja-de-cualquier-censura-a-los-transexuales-FQDJ80676,False,
9e519a2dfd0ee94b166333c229316befe35d5f3ca281e217d234ae7dbb639fcc,2015,2015-12-08,diariojaen.es,El âLinares-AndÃºjarâ acepta la propuesta para crear el primer grupo de profesorado contra la homofobia,https://www.diariojaen.es/linares/el-linares-andujar-acepta-la-propuesta-para-crear-el-primer-grupo-de-profesorado-contra-la-homofobia-BJ568605,False,
2801d7839655e3eae3d8c4a026e3c9b7afa4cd6cdf84d200ecbc17bee8bec255,2015,2015-01-02,eldia.es,Exigen la retirada de un juego 'online' de asesinar a homosexuales,http://eldia.es/2015-01-02/SOCIEDAD/18-Exigen-retirada-juego-online-asesinar-homosexuales.htm,False,
e149f7068016798414cde1ff30307834f80830059f1bb3f463b2c2947c014e98,2015,2015-01-02,publico.es,Exigen la retirada de un juego 'online' de asesinar a homosexuales,http://www.publico.es/actualidad/exigen-retirada-juego-online-asesinar-1.html,False,
5d1bb99ef937bab455cf2ada072dda7abfd0655b9eba986b2e654a056d764ea4,2015,2015-01-02,europapress.es,Exigen la retirada de un juego 'online' de matar a homosexuales,http://www.europapress.es/catalunya/noticia-exigen-retirada-juego-online-asesinar-homosexuales-20150102182808.html,False,
3a360899080e3b7c9b524c10c6115829eb35afaaf36a8c142691cc9cb7c783af,2015,2015-01-02,elmundo.es,Exigen la retirada de un juego 'online' de asesinar a homosexuales,http://www.elmundo.es/cataluna/2015/01/02/54a6dbaa268e3e5d2f8b458a.html,False,
c53b6377e520ca82abff1208c0b7b053e0774251f3c8d8cba4600c224feb1ceb,2015,2015-01-02,eldia.es,Gay y Cousins tampoco permitieron ganar a los Timberwolves,http://eldia.es/2015-01-02/DEPORTES/5-Gay-Cousins-permitieron-ganar-Timberwolves.htm,False,
763be697aec4e4a59dd01981706f0fcc8532eb6066504d5b99a0be661e0f0b24,2015,2015-01-02,abc.es,Piden la retirada de un juego online que anima a matar gais,http://www.abc.es/sociedad/20150103/abci-juego-hunter-gays-201501022224.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,False,
fe231336870d32dadb78f8ca5232daee649ceca60eecfc584187c4ec14767f89,2015,2015-01-03,abc.es,Piden la retirada de un juego que anima a matar gais,http://kioskoymas.abc.es/noticias/sociedad/20150103/abcp-piden-retirada-juego-anima-20150103.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,False,
b535c5683e72985b334f430607d891c4b3961539c396ee6215712d2b3fe7f8cc,2015,2015-01-05,eldia.es,Miami expide las primeras licencias de matrimonio homosexual en Florida,http://eldia.es/2015-01-05/SOCIEDAD/29-Miami-expide-primeras-licencias-matrimonio-homosexual-Florida.htm,False,
0cd4eaf78b9e454dd5a3eb6babf11d051f79fe1bd36413fb549c1d3b2818c221,2015,2015-01-06,elpais.com,Flórida se abre para o casamento gay,http://brasil.elpais.com/brasil/2015/01/06/internacional/1420562718_003004.html,False,
0715551b7073b5748a5cc6ee3479350c64cd26e4a38b578215661dbae00d6d52,2015,2015-01-06,abc.es,Uber suspende a un conductor por echar a una pareja gay del coche,http://www.abc.es/economia/20150106/abci-uber-gays-201501061756.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,False,
