url_meneame,tema,estado,id_noticia_meneame,numero_comentarios,intentos,ultimo_error,actualizado_utc
https://www.meneame.net/story/95-emigrantes-espanoles-podria-quedar-sin-votar-proximas,inmigracion,ok,3073405,30,1,,2026-07-18T10:36:57.307586+00:00
https://www.meneame.net/story/abandonados-suelo-comisaria-inmigrantes-graves-deshidratados,inmigracion,ok,2563514,0,3,,2026-07-18T11:16:59.964960+00:00
https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,lgtbi,ok,3110572,25,1,,2026-07-18T10:36:58.667085+00:00
https://www.meneame.net/story/abascal-costo-mas-dinero-madrilenos-cualquier-colectivo-lgtbi,lgtbi,ok,3077719,31,1,,2026-07-18T10:36:59.357081+00:00
https://www.meneame.net/story/abascal-costo-mas-dinero-madrilenos-cualquier-colectivo-lgtbi-1,lgtbi,ok,3149345,15,1,,2026-07-18T10:37:00.052342+00:00
https://www.meneame.net/story/abascal-harta-distorsiones-respetamos-gais-inmigrantes-mujeres,inmigracion|lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/abascal-harta-distorsiones-respetamos-gais-inmigrantes-mujeres,2026-07-18T11:01:26.747833+00:00
https://www.meneame.net/story/abascal-no-intentaria-reconvertir-hijo-homosexual-querria-igual,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/abascal-no-intentaria-reconvertir-hijo-homosexual-querria-igual,2026-07-18T11:01:27.330237+00:00
https://www.meneame.net/story/abascal-ordena-cargos-gobiernos-autonomicos-opongan-acoger,inmigracion,ok,3871025,8,1,,2026-07-18T10:37:01.937852+00:00
https://www.meneame.net/story/abascal-plantea-marruecos-pague-muro-vox-reclama-ceuta-melilla,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/abascal-plantea-marruecos-pague-muro-vox-reclama-ceuta-melilla,2026-07-18T11:01:27.908165+00:00
https://www.meneame.net/story/abascal-sin-escrupulos-utiliza-ataque-algeciras-criminalizar,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/abascal-sin-escrupulos-utiliza-ataque-algeciras-criminalizar,2026-07-18T11:01:28.477223+00:00
https://www.meneame.net/story/abascal-sobre-orgullo-no-celebro-porque-soy-heterosexual-muchos,lgtbi,ok,3829129,140,1,,2026-07-18T10:37:03.853578+00:00
https://www.meneame.net/story/abdel-drama-inmigrantes-ni-siquiera-llegan-fronteras-europeas,inmigracion,ok,2372883,0,3,,2026-07-18T11:17:00.613327+00:00
https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,inmigracion,ok,3769499,91,1,,2026-07-18T10:37:05.214043+00:00
https://www.meneame.net/story/aborto-divorciados-homosexuales-ultimas-transgresiones-papa-leer,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/aborto-divorciados-homosexuales-ultimas-transgresiones-papa-leer,2026-07-18T11:01:44.919781+00:00
https://www.meneame.net/story/acnur-advierte-europa-no-esta-preparada-nuevo-flujo-refugiados,inmigracion,ok,2683794,13,1,,2026-07-18T10:37:06.513867+00:00
https://www.meneame.net/story/acnur-eleva-mas-200-inmigrantes-muertos-domingo-cuando-navegaban,inmigracion,ok,2352329,4,1,,2026-07-18T10:37:07.150403+00:00
https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,inmigracion,ok,2586082,15,1,,2026-07-18T10:37:07.801309+00:00
https://www.meneame.net/story/acuerdo-pp-vox-modifica-punto-sobre-derechos-lgtbi,lgtbi,ok,3143085,23,1,,2026-07-18T10:37:08.452593+00:00
https://www.meneame.net/story/acuerdo-ue-turquia-convierte-isla-lesbos-centro-detencion,inmigracion,ok,2586672,3,1,,2026-07-18T10:37:09.098597+00:00
https://www.meneame.net/story/afirmaciones-falsas-rocio-monasterio-sobre-sanidad-publica,inmigracion,ok,3164022,70,1,,2026-07-18T10:37:09.798241+00:00
https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,lgtbi,ok,2467645,100,1,,2026-07-18T10:37:10.595497+00:00
https://www.meneame.net/story/agredida-pareja-gay-almeria,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/agredida-pareja-gay-almeria,2026-07-18T11:01:45.496268+00:00
https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,lgtbi,ok,3135978,24,1,,2026-07-18T10:37:11.873721+00:00
https://www.meneame.net/story/agricultor-preferido-pp-condenado-impagos-pendiente-juicio,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/agricultor-preferido-pp-condenado-impagos-pendiente-juicio,2026-07-18T11:01:46.059848+00:00
https://www.meneame.net/story/air-europa-vs-air-nostrum-batalla-altos-vuelos-deportaciones,inmigracion,ok,2691768,4,1,,2026-07-18T10:37:13.137756+00:00
https://www.meneame.net/story/ala-dura-tories-enfrenta-sunak-incumplir-promesas-contra-brexit,inmigracion,ok,3816667,7,1,,2026-07-18T10:37:13.805168+00:00
https://www.meneame.net/story/alarm-phone-asi-funciona-centralita-piden-socorro-pateras-desde,inmigracion,ok,3169085,214,1,,2026-07-18T10:37:14.671716+00:00
https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,lgtbi,ok,3149565,28,1,,2026-07-18T10:37:15.322094+00:00
https://www.meneame.net/story/alcalde-musulman-prohibe-bandera-lgtbiq-edificios-publicos-tras,lgtbi,ok,3856326,56,1,,2026-07-18T10:37:15.997850+00:00
https://www.meneame.net/story/alcalde-musulman-retira-bandera-comunidad-lgtbiq-asi-agradeces,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/alcalde-musulman-retira-bandera-comunidad-lgtbiq-asi-agradeces,2026-07-18T11:01:46.648511+00:00
https://www.meneame.net/story/alcalde-nueva-york-reafirma-no-hay-espacio-mas-migrantes-ciudad,inmigracion,ok,3862742,7,1,,2026-07-18T10:37:17.222767+00:00
https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,lgtbi,ok,3767822,25,1,,2026-07-18T10:37:17.881660+00:00
https://www.meneame.net/story/alemania-detecta-centenares-matrimonios-menores-entre-refugiados,inmigracion,ok,2629031,37,1,,2026-07-18T10:37:18.564337+00:00
https://www.meneame.net/story/alemania-impone-controles-fronterizos-polonia-republica-checa,inmigracion,ok,3859578,8,1,,2026-07-18T10:37:19.233940+00:00
https://www.meneame.net/story/alemania-plantea-deportar-refugiados-sirios-regresan-visita-pais,inmigracion,ok,3171565,211,1,,2026-07-18T10:37:20.093060+00:00
https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,inmigracion,ok,2478496,23,1,,2026-07-18T10:37:20.758135+00:00
https://www.meneame.net/story/alemania-propone-tasa-europea-gasolina-proteger-fronteras-crisis,inmigracion,ok,2546686,33,1,,2026-07-18T10:37:21.456900+00:00
https://www.meneame.net/story/alemania-restablece-controles-fronterizos-frenar-llegada,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/alemania-restablece-controles-fronterizos-frenar-llegada,2026-07-18T11:01:47.216393+00:00
https://www.meneame.net/story/alerta-terrorista-no-frena-viaje-500-espanoles-apoyar-refugiados,inmigracion,ok,3219220,8,1,,2026-07-18T10:37:22.839656+00:00
https://www.meneame.net/story/alfonso-guerra-hormiguero-dan-pena-humoristas-ya-no-pueden-ni,lgtbi,ok,3879335,189,1,,2026-07-18T10:37:23.697324+00:00
https://www.meneame.net/story/alianza-pp-vox-acelera-ofensiva-contra-colectivo-lgtbi,lgtbi,ok,3830233,40,1,,2026-07-18T10:37:24.357437+00:00
https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,lgtbi,ok,3146604,17,1,,2026-07-18T10:37:25.013861+00:00
https://www.meneame.net/story/almeida-no-recuperara-bandera-lgtbi-orgullo-pero-tenira-cibeles,lgtbi,ok,3826200,28,1,,2026-07-18T10:37:25.698596+00:00
https://www.meneame.net/story/alumnas-identifican-lgtbifobia-clase-organizan-combatirla,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/alumnas-identifican-lgtbifobia-clase-organizan-combatirla,2026-07-18T11:01:47.792366+00:00
https://www.meneame.net/story/ama-casa-alien-contra-zombi-gay-cine-cutre-como-catarsis,lgtbi,ok,3774974,21,1,,2026-07-18T10:37:26.916103+00:00
https://www.meneame.net/story/amor-cuernos-historia-refugiados-italianos-girona-huyeron-hitler,inmigracion,ok,3131562,1,1,,2026-07-18T10:37:27.562622+00:00
https://www.meneame.net/story/ano-verguenza-espana-no-ha-acogido-ni-3-refugiados-pacto-union,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/ano-verguenza-espana-no-ha-acogido-ni-3-refugiados-pacto-union,2026-07-18T11:01:48.364300+00:00
https://www.meneame.net/story/antonio-moreno-actor-porno-gay-candidato-pp-pueblo-albacete-fue,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/antonio-moreno-actor-porno-gay-candidato-pp-pueblo-albacete-fue,2026-07-18T11:01:48.933517+00:00
https://www.meneame.net/story/arabia-saudi-ha-matado-cientos-migrantes-etiopes-frontera-yemen,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/arabia-saudi-ha-matado-cientos-migrantes-etiopes-frontera-yemen,2026-07-18T11:01:49.497373+00:00
https://www.meneame.net/story/arevalo-franco-no-ha-perseguido-nunca-ningun-gay,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/arevalo-franco-no-ha-perseguido-nunca-ningun-gay,2026-07-18T11:01:50.063028+00:00
https://www.meneame.net/story/arrestan-cuatro-jovenes-arabia-saudi-celebrar-fiesta-gay,lgtbi,ok,2553474,8,1,,2026-07-18T10:37:30.460067+00:00
https://www.meneame.net/story/arzobispo-canterbury-ataca-ley-gobierno-tory-contra-refugiados,inmigracion,ok,3812643,1,1,,2026-07-18T10:37:31.112043+00:00
https://www.meneame.net/story/arzobispo-valencia-dice-hay-escalada-imperio-gay-contra-familia,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/arzobispo-valencia-dice-hay-escalada-imperio-gay-contra-familia,2026-07-18T11:01:50.633280+00:00
https://www.meneame.net/story/asi-han-evolucionado-rutas-inmigracion-europa-graficos,inmigracion,ok,2710922,7,1,,2026-07-18T10:37:32.435002+00:00
https://www.meneame.net/story/asi-son-libros-lgtbi-escandalosos-vox-ha-ocultado-ninos-burriana,lgtbi,ok,3859881,179,1,,2026-07-18T10:37:33.258644+00:00
https://www.meneame.net/story/asociacion-lgtb-arremete-contra-iglesias-homenajear-che-fusilo,lgtbi,ok,3195183,42,1,,2026-07-18T10:37:33.949838+00:00
https://www.meneame.net/story/asociacion-nacional-lgtbi-abogacia-pide-sancionar-policia,lgtbi,ok,3839575,1,1,,2026-07-18T10:37:34.601675+00:00
https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,inmigracion,ok,2478482,189,1,,2026-07-18T10:37:35.497691+00:00
https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,inmigracion,ok,2440785,14,1,,2026-07-18T10:37:36.240535+00:00
https://www.meneame.net/story/asturias-acogera-refugiados-sirios-afectados-terromoto-turquia,inmigracion,ok,3787851,3,1,,2026-07-18T10:37:36.881872+00:00
https://www.meneame.net/story/asturias-region-inviable-sin-aporte-inmigrantes,inmigracion,ok,3216718,40,1,,2026-07-18T10:37:37.575160+00:00
https://www.meneame.net/story/atacan-centro-refugiados-alemania-granada-no-llega-estallar,inmigracion,ok,2554994,6,1,,2026-07-18T10:37:38.243466+00:00
https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,inmigracion,ok,3822642,38,1,,2026-07-18T10:37:38.927026+00:00
https://www.meneame.net/story/atan-arbol-refugiado-tras-sacarle-supermercado-alemania,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/m/Cu%C3%B1adeame/atan-arbol-refugiado-tras-sacarle-supermercado-alemania,2026-07-18T11:01:51.254845+00:00
https://www.meneame.net/story/atletas-transgenero-no-podran-competir-competiciones,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/atletas-transgenero-no-podran-competir-competiciones,2026-07-18T11:01:51.817631+00:00
https://www.meneame.net/story/audaz-sale-sicilia-15-inmigrantes-bordo-pero-sin-camara-agencia,inmigracion,ok,3175431,23,1,,2026-07-18T10:37:40.770365+00:00
https://www.meneame.net/story/australia-economia-borde-abismo,inmigracion,ok,2445569,5,1,,2026-07-18T10:37:41.425755+00:00
https://www.meneame.net/story/australia-intento-disuadir-migrantes-pedir-asilo-horoscopos,inmigracion,ok,3227320,14,1,,2026-07-18T10:37:42.080813+00:00
https://www.meneame.net/story/austria-abre-fronteras-refugiados-son-recibidos-entre-aplausos,inmigracion,ok,2473744,11,1,,2026-07-18T10:37:42.729407+00:00
https://www.meneame.net/story/autor-asesinatos-nottingham-inmigrante-africano-problemas,inmigracion,ok,3824658,34,1,,2026-07-18T10:37:43.414688+00:00
https://www.meneame.net/story/aviones-salvamento-maritimo-llevan-mas-cinco-meses-sin-radar,inmigracion,ok,3075944,4,1,,2026-07-18T10:37:44.108751+00:00
https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,lgtbi,ok,3828875,14,1,,2026-07-18T10:37:44.796206+00:00
https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,lgtbi,ok,2639583,23,1,,2026-07-18T10:37:45.456257+00:00
https://www.meneame.net/story/ayuntamiento-palma-quita-banderas-feminista-lgtbi-centre-social,lgtbi,ok,3870184,8,1,,2026-07-18T10:37:46.175618+00:00
https://www.meneame.net/story/ayuntamiento-pp-vox-galapagar-retira-calle-bancos-bandera-lgtbi,lgtbi,ok,3836937,12,1,,2026-07-18T10:37:46.827607+00:00
https://www.meneame.net/story/ayuntamiento-propone-realojar-refugiados-zonas-especialmente,inmigracion,ok,3198267,37,1,,2026-07-18T10:37:47.488552+00:00
https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,inmigracion,ok,3868628,19,1,,2026-07-18T10:37:48.150080+00:00
https://www.meneame.net/story/baja-participacion-podria-invalidar-referendum-sobre-acogida,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/baja-participacion-podria-invalidar-referendum-sobre-acogida,2026-07-18T11:01:52.389724+00:00
https://www.meneame.net/story/banderas-ue-media-asta-varios-ayuntamientos-politica-refugiados,inmigracion,ok,2583597,4,1,,2026-07-18T10:37:49.388561+00:00
https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,inmigracion,ok,3190996,130,1,,2026-07-18T10:37:50.150287+00:00
https://www.meneame.net/story/bar-valladolid-volvera-colocar-guirnalda-lgtbi-policia-insto,lgtbi,ok,3841897,77,1,,2026-07-18T10:37:50.910165+00:00
https://www.meneame.net/story/barca-perdio-440-000-seguidores-instagram-celebrar-orgullo,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/barca-perdio-440-000-seguidores-instagram-celebrar-orgullo,2026-07-18T11:01:52.951115+00:00
https://www.meneame.net/story/barcelona-vuelca-aladino-nespral-asturiano-abrio-primer-bar-gay,lgtbi,ok,3202741,1,1,,2026-07-18T10:37:52.107354+00:00
https://www.meneame.net/story/barco-41-inmigrantes-dirige-lampedusa-pese-veto-salvini,inmigracion,ok,3152652,77,1,,2026-07-18T10:37:52.820018+00:00
https://www.meneame.net/story/bastion-murciano-vox-empresarios-campo-kikos-miedo-migrante,inmigracion,ok,3121347,12,1,,2026-07-18T10:37:53.475156+00:00
https://www.meneame.net/story/batalla-tripoli-desata-infierno-centros-detencion-migrantes,inmigracion,ok,3113302,3,1,,2026-07-18T10:37:54.118507+00:00
https://www.meneame.net/story/batallon-sagrado-tebas-ejercito-amantes-homosexuales-humillo,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/batallon-sagrado-tebas-ejercito-amantes-homosexuales-humillo,2026-07-18T11:01:53.514011+00:00
https://www.meneame.net/story/bebe-hallada-roda-bera-murio-junto-madre-naufragio-patera-cerca,inmigracion,ok,3835971,7,1,,2026-07-18T10:37:55.361348+00:00
https://www.meneame.net/story/ben-hur-submarino-gay-semana-santa,lgtbi,ok,3798888,9,1,,2026-07-18T10:37:55.999976+00:00
https://www.meneame.net/story/berlin-identifica-18-demandantes-asilo-entre-detenidos-sexuales,inmigracion,ok,2541566,329,1,,2026-07-18T10:37:56.922484+00:00
https://www.meneame.net/story/bertin-osborne-pregunta-carmen-martinez-bordiu-franco-era,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/bertin-osborne-pregunta-carmen-martinez-bordiu-franco-era,2026-07-18T11:01:54.085729+00:00
https://www.meneame.net/story/bestial-paliza-20-menores-inmigrantes-dos-vigilantes-centro,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/bestial-paliza-20-menores-inmigrantes-dos-vigilantes-centro,2026-07-18T11:01:54.654303+00:00
https://www.meneame.net/story/biblia-homosexualidad-guia-lgtbiq-publica-visto-bueno-papa,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/biblia-homosexualidad-guia-lgtbiq-publica-visto-bueno-papa,2026-07-18T11:01:55.215633+00:00
https://www.meneame.net/story/bibliotecario-nego-rusia-destruir-libros-lgtbi-desamparado-sin,lgtbi,ok,3784770,39,1,,2026-07-18T10:37:59.403525+00:00
https://www.meneame.net/story/bienvenidos-jungla-territorio-sin-ley-averguenza-francia,inmigracion,ok,2492007,2,1,,2026-07-18T10:38:00.137770+00:00
https://www.meneame.net/story/blanca-garces-investigadora-cidob-historicamente-europa-situa,inmigracion,ok,3890335,9,1,,2026-07-18T10:38:00.775732+00:00
https://www.meneame.net/story/bolsonaro-suspende-fondos-publicos-estatales-destinados-lgtbi,lgtbi,ok,3173028,4,1,,2026-07-18T10:38:01.409797+00:00
https://www.meneame.net/story/bombas-pacto-manueco-gallardo-estallaran-feijoo-pin-parental,inmigracion,ok,3770702,9,1,,2026-07-18T10:38:02.047267+00:00
https://www.meneame.net/story/boris-johnson-apunta-mayoria-absoluta-sondeos,inmigracion,ok,3223277,114,1,,2026-07-18T10:38:02.797687+00:00
https://www.meneame.net/story/boris-johnson-avisa-devolvera-migrantes-ilegales-intenten-cruzar,inmigracion,ok,3173503,39,1,,2026-07-18T10:38:03.487277+00:00
https://www.meneame.net/story/boris-johnson-vuelve-permitir-ondee-bandera-gay-embajadas,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/boris-johnson-vuelve-permitir-ondee-bandera-gay-embajadas,2026-07-18T11:01:55.781452+00:00
https://www.meneame.net/story/borja-escalona-vuelve-intentar-irse-sin-pagar-esta-vez-libreria,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/borja-escalona-vuelve-intentar-irse-sin-pagar-esta-vez-libreria,2026-07-18T11:01:56.355631+00:00
