video_id,autor,fecha,likes,texto,titulo_video,canal,fecha_video,año_video,tema
jTM-ndTRrtE,@lisifarinas5725,2026-04-19 20:41:35+00:00,0,Pobrecito! Dios lo bendiga mucho ❤❤,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@lupus-o2p,2025-08-06 12:01:25+00:00,1,Qué triste. Es un ser humano.,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@yeirihernandez6108,2018-07-20 22:36:45+00:00,1,Que fuerte que pena con este chico,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@davidsanchez1148,2019-07-13 13:17:52+00:00,1,Pobrecito,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:59:44+00:00,0,Todos los países tienen que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:56:07+00:00,0,Yemen y Arabia saudita tiene a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:58:56+00:00,0,Afghanistan y Pakistán tiene que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:57:28+00:00,0,Iraq irán tiene que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 20:14:26+00:00,0,Camerún,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:52:58+00:00,0,Sudán tiene que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:54:11+00:00,0,Somalia tiene que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:51:21+00:00,0,Mauritania tienes que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@danieloneroner,2015-07-17 20:36:37+00:00,0,Que se vaya a Venezuela,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@alcon_rojo3155,2021-05-29 02:41:19+00:00,2,Yo quiero un moreno así de hermoso,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@joni33333,2015-07-18 07:14:17+00:00,0,"Que se haga transexual, entonces ya tiene el pack completo que incluye pasaporte español y pagita","Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
jTM-ndTRrtE,@blackgoku3788,2022-07-04 19:50:35+00:00,0,Nigeria tienes que a estar la homosexualidad,"Henry, un inmigrante nigeriano y homosexual, con dificultades para conseguir la residencia en España",laSexta Noticias,2015-07-17 19:03:29+00:00,2015,inmigracion
1dBQqHDQHDo,@JuanAntonioPerez-oo3wp,2023-09-21 21:23:58+00:00,59,"Mi padre llegó en el 55, y mi madre en el 55 en el San Roque. Emigrantes de Murcia. Vivimos en Mendoza y fuimos felices. Ya todos nos volvimos a España, salvo mi hermano economísta vive en Mendoza 74 años tiene. Lo peor son las despedidas, en los aeropuertos, es como un puñal que se te clava en el ama. Nunca olvidaré cuando mi padre me envío solo con 18 años, en junio del 74, a España, viejo sabio, que quería que yo no me viera envuelto en ningún bando, es una edad peligrosa. Todavía recuerdo cuando veía debajo la cancha de River, y lloraba como un niño. Eso te hace más fuerte en la vida.",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@laureanoladrero2262,2024-09-22 22:28:21+00:00,19,"Me puse a llorar cuando veia el video, me senti tan identificado.Pensar que nuestros abuelos vinieron en la misma...Un abrazo a todos los nietos de inmigrantes<3",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@juanfre1767,2021-08-06 21:05:56+00:00,91,"Mis abisabuelos eran españoles e iban en ese barco para ir a la Argentina. Todos Españoles e italianos, Europa Sur la mejor cultura de Europa. 🇪🇦🇮🇹❤️❤️🇦🇷",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@GabrielGuzman-jm8hc,2023-08-09 00:29:34+00:00,32,"Y pensar que mis antepasados descendieron de esos barcos 
Un orgullo total ser descendiente de españoles!!!! 
En 2011 tube la suerte de viajar a españa con mi hermana y conocer el pais de mis bisabuelos 🇦🇷❤🇪🇸
Me senti en como en casa, como si nunca ubiese salido de argentina",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@ladymarlong,2022-08-26 02:29:19+00:00,77,"""¿Qué vienen a hacer aquí en la Argentina? Pues venimos a trabajar"" Cuánto les debemos y cuánto faltan esos valores hoy en día, qué triste",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@musicprod7469,2021-09-28 02:18:31+00:00,34,esta gente hizo la Argentina Grande!,Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@itsmelany.,2020-11-09 15:34:43+00:00,97,"Ame a la periodista, estoy haciendo un trabajo de la inmigración española a la Argentina, puesto que mi bisabuelo era andaluz y estos videos me ayudan muchísimo!",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@lulozano8187,2025-02-26 14:53:07+00:00,5,La ternura que me da la mujer que es de Sevilla,Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@ricardovisconti5681,2021-01-08 08:04:53+00:00,81,Hoy es al revés y muchos argentinos somos inmigrantes en España. Es emocionante ver el caso contrario que alguna vez supo suceder.,Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@joelalvarez7084,2019-04-18 23:21:05+00:00,191,Gracias por recibirnos tan bien en Argentina. Os debemos un grandísimo favor. 💖,Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@RenataFasanoGarcia,2025-06-22 07:28:31+00:00,7,"Mis abuelos llegaron en el 56 con un bebé que era mi mamá, hoy yo veo esto desde Barcelona, que loca la vida <3",Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
1dBQqHDQHDo,@alexkaiser86,2022-06-15 13:06:17+00:00,19,Gracias Argentina por acoger y cuidar tan bien a mis paisanos que dejaron sus tierras. Viva la madre que os pario,Inmigrantes españoles arriban al puerto de Buenos Aires 1969,DiFilm,2015-01-24 16:20:20+00:00,2015,inmigracion
