comunidad,año,poblacion
Galicia,2025,2714741
Galicia,2024,2705833
Galicia,2023,2699424
Galicia,2022,2692825
Galicia,2021,2698177
Galicia,2020,2702605
Galicia,2019,2700210
Galicia,2018,2703048
Galicia,2017,2708955
Galicia,2016,2719095
Galicia,2015,2732801
Galicia,2014,2745817
Madrid,2025,7113886
Madrid,2024,7009268
Madrid,2023,6871903
Madrid,2022,6743254
Madrid,2021,6726640
Madrid,2020,6720310
Madrid,2019,6618078
Madrid,2018,6529923
Madrid,2017,6459297
Madrid,2016,6411466
Madrid,2015,6375737
Madrid,2014,6372553
Murcia,2025,1586989
Murcia,2024,1568492
Murcia,2023,1551692
Murcia,2022,1529658
Murcia,2021,1518279
Murcia,2020,1509077
Murcia,2019,1491312
Murcia,2018,1478718
Murcia,2017,1475275
Murcia,2016,1468367
Murcia,2015,1465195
Murcia,2014,1462734
Navarra,2025,683854
Navarra,2024,678333
Navarra,2023,672155
Navarra,2022,664514
Navarra,2021,662032
Navarra,2020,659907
Navarra,2019,652797
Navarra,2018,646340
Navarra,2017,642075
Navarra,2016,638922
Navarra,2015,637317
Navarra,2014,637099
País Vasco,2025,2242343
País Vasco,2024,2227684
País Vasco,2023,2216302
País Vasco,2022,2205826
País Vasco,2021,2212628
País Vasco,2020,2211917
País Vasco,2019,2197306
País Vasco,2018,2187254
País Vasco,2017,2179944
País Vasco,2016,2174426
País Vasco,2015,2172707
País Vasco,2014,2172247
La Rioja,2025,326803
La Rioja,2024,324184
La Rioja,2023,322282
La Rioja,2022,319617
La Rioja,2021,319444
La Rioja,2020,318703
La Rioja,2019,315967
La Rioja,2018,314890
La Rioja,2017,314136
La Rioja,2016,314025
La Rioja,2015,314457
La Rioja,2014,315736
Ceuta,2025,83567
Ceuta,2024,83179
Ceuta,2023,83052
Ceuta,2022,83051
Ceuta,2021,84071
Ceuta,2020,84502
Ceuta,2019,85087
Ceuta,2018,85327
Ceuta,2017,85005
Ceuta,2016,84558
Ceuta,2015,84561
Ceuta,2014,84562
Melilla,2025,87067
Melilla,2024,85985
Melilla,2023,85493
Melilla,2022,84932
Melilla,2021,86450
Melilla,2020,86558
Melilla,2019,86373
Melilla,2018,86084
Melilla,2017,85918
Melilla,2016,85457
Melilla,2015,85009
Melilla,2014,84103
