nivel_xenofobia_rrss,NEG,NEU,POS
hostilidad_explicita,67.57,21.62,10.81
marco_conflictivo,76.7,14.26,9.04
neutro,67.06,24.15,8.79
violencia_discriminacion,0.0,0.0,100.0
