nivel_xenofobia_rrss,NEG,NEU,POS,All
hostilidad_explicita,125,40,20,185
marco_conflictivo,721,134,85,940
neutro,1702,613,223,2538
sin_mencion,17530,16201,11892,45623
violencia_discriminacion,0,0,1,1
All,20078,16988,12221,49287
