Topic,Count,Porcentaje,palabras_clave
62,102,0.24,"perú, peruanos, peruano, peru, pe, saludos, lima, hermanos españoles, ideología género, país"
63,102,0.24,"blanca, crush, hermosa, enamore, enamoré, guapa, encanto, blanco, mujer, nombre"
64,101,0.24,"delito, cárcel, delincuentes, prisión, delinquir, criminal, delincuencia, carcel, justicia, menas"
65,93,0.22,"nacionalidad, abuelo, bisabuelo, abuela, española, nacionalidad española, español, puedo, ley, hola"
66,91,0.21,"totalmente acuerdo, acuerdo, totalmente, razón, acuerdo abascal, abascal razón, 100 acuerdo, acuerdo contigo, abascal, completamente"
67,90,0.21,"ignorancia, ignorante, investigar, ignorantes, cuanta, identidad, frases, decencia, llevan, aprendido"
68,88,0.21,"libertad, derechos, derecho, expresion, humanos, libertinaje, derechos humanos, viva libertad, humano, igualdad"
69,88,0.21,"presidente, santiago, santiago presidente, santiago abascal, abascal presidente, españa santiago, abascal, presidente españa, presidente viva, viva"
70,88,0.21,"estudiar, estudios, universidad, paguen, estudia, pagar, pago, dinero, mientras, estudiar trabajar"
71,87,0.2,"llama pueblo, pueblo, llama, nombre, pueblos, pueblo pueblo, hola, provincia, soria, fabián"
72,85,0.2,"vivir, pueblo, ir vivir, ir, gustaría, vivir pueblo, vivir españa, encantaría vivir, irme vivir, irme"
73,84,0.2,"dormir, dejan, sueño, tranquilo, grados, despertar, noche, dijeron, dejen, to"
74,81,0.19,"homofobia, gay, vídeos, encantó, discriminación, lgbt, gays, homosexualidad, comunidad, homofóbicos"
75,81,0.19,"trans, actriz, mujer, transgénero, cortometraje, that, transexual, papel, protagonista, the"
76,77,0.18,"serie, series, episodio, this, temporada, the, it, and, capítulo, love"
77,70,0.16,"comentarios, leo, sección comentarios, sección, tratando, humor, asco, asco comentarios, abajo, comentarios recientes"
78,69,0.16,"turista, reserva, hotel, carta invitación, invitación, carta, días, 00, voy, viajar"
79,68,0.16,"actores, actor, actriz, actrices, it, good, and, are, irene, peli"
80,68,0.16,"fronteras, frontera, controlar, hungría, defender, muros, cruzar frontera, existir, reforzar, protege"
81,68,0.16,"muro, trump, valla, vallas, donald trump, muros, donald, usa, wall, altura"
82,67,0.16,"argentinos, italianos, pasaporte, nacionalidad, italiano, italiana, doble nacionalidad, doble, pasaporte español, top"
83,65,0.15,"américa, españoles, sangre, española, inglaterra, hispanoamericanos, anglosajones, cultura, latinoamérica, descendientes"
84,65,0.15,"recomendó, youtuber, facebook, apenas, to, sweet, this is, this, like, canal"
85,64,0.15,"pareja, couple, they, cris, are, they are, together, hermosa, love, joana"
86,62,0.15,"segunda, part, encantó, quiero, hagan, favor, please, encantado, minutes, verla"
87,60,0.14,"chile, chileno, chilenos, vox saludos, saludos, ojalá, ojala, amigos, españa, estan"
88,60,0.14,"dictadura, dictador, régimen, rey, franco, dictaduras, guerra, asesino, imágenes, republica"
89,60,0.14,"bandera, banderas, blanco, franquista, papeletas, lgtb, bandera españa, representa, perdon, instituciones"
90,57,0.13,"pollo, comer pollo, comer, lesbiana, gay, homosexual, mamá, señor, homosexualidad, 55"
91,57,0.13,"spain, spanish, this, was, and, of, the, next, in, that"
92,54,0.13,"historia, story, história, linda, ganas saber, linda historia, recomendado, hermosa, bella, intimidad"
93,54,0.13,"cerveza, droga, alcohol, drogas, cr7, beber, méxico, vaso, tomando, chica"
