nivel_lgtbifobia_rrss,NEG,NEU,POS
hostilidad_explicita,86.44,8.47,5.08
marco_conflictivo,70.71,22.22,7.07
neutro,53.88,31.9,14.22
violencia_discriminacion,75.11,14.22,10.67
