año,mes,comunidad,Centro,Derecha,Extrema derecha,Izquierda,total_votos_clasificados,pct_Centro,pct_Derecha,pct_Extrema derecha,pct_Izquierda,paro_medio,inmigrantes,poblacion,Desigualdad (S80/S20),Gini,ANTIGITANISMO,ANTISEMITISMO,APOROFOBIA,CREENCIAS O PRÁCTICAS RELIGIOSAS,DISCRIMINACIÓN GENERACIONAL,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,DISFOBIA,IDEOLOGIA,ISLAMOFOBIA,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,RACISMO/XENOFOBIA,TOTAL ámbitos,pct_inmigrantes,delitos_por_100k
2015,12,Andalucía,1443272.0,1930919.0,10831.0,1017294.0,4402316.0,32.78437985823825,43.861435662501286,0.24602958987950888,23.108154889380952,1004134,621433,8388994,7.0,35.0,0,0,0,5,0,0,2,42,28,0,15,50,142,7.407717778794454,1.692694022668272
2015,12,Aragón,174281.0,361840.0,1849.0,186666.0,724636.0,24.050833797934413,49.93403584696316,0.2551625919772134,25.759967763125207,95308,145938,1325600,5.4,31.6,0,0,2,0,0,0,0,11,6,0,4,9,32,11.00920337960169,2.4140012070006036
2015,12,Asturias,149668.0,275887.0,1715.0,188676.0,615946.0,24.298883343669736,44.79077711357814,0.2784334990405003,30.631906043711627,92155,39142,1049328,5.2,30.2,0,0,1,2,0,0,1,4,8,0,1,5,22,3.7301968497933915,2.096579906378177
2015,12,Baleares,106659.0,214467.0,0.0,156956.0,478082.0,22.30977112712882,44.85987759422024,0.0,32.830351278650944,67103,197914,1111002,9.1,34.7,0,0,1,0,0,0,5,8,2,0,4,5,25,17.81400933571677,2.250220971699421
2015,12,Canarias,230301.0,483815.0,1546.0,264209.0,979871.0,23.503195828838695,49.37537696288593,0.1577758704972389,26.96365133777814,250138,254015,2101319,10.1,35.9,0,0,0,0,0,0,1,20,3,0,6,5,35,12.088359739763453,1.665620498363171
2015,12,Cantabria,81403.0,185462.0,901.0,78518.0,346284.0,23.507583370874773,53.55777338831711,0.2601910570514376,22.674452183756685,46896,30767,585184,4.3,27.2,0,0,1,0,0,0,0,3,1,0,2,2,9,5.257662547164652,1.5379777984360476
2015,12,Castilla y León,347810.0,835513.0,5143.0,298807.0,1487273.0,23.385753657869135,56.177514148377604,0.3458006700854517,20.090931523667813,203747,135448,2475697,5.6,31.1,0,1,2,1,0,0,0,9,20,0,5,17,55,5.471105712855814,2.221596584719374
2015,12,Castilla-La Mancha,340116.0,613480.0,3608.0,202366.0,1159570.0,29.331217606526554,52.90581853618151,0.31114982277913367,17.451814034512793,224620,176774,2062615,6.7,33.4,0,0,0,3,0,0,1,7,31,0,6,25,73,8.57038274229558,3.5391966023712618
2015,12,Cataluña,634204.0,1550436.0,465.0,1539403.0,3724508.0,17.027859787118192,41.62794119384359,0.012484870484907,41.33171414855331,534458,925539,7420890,6.1,32.3,0,3,4,32,0,0,3,9,83,0,50,93,277,12.472075451866285,3.7327059153282156
2015,12,Ceuta,7985.0,19402.0,0.0,5077.0,32464.0,24.59647609659931,59.76466239526861,0.0,15.638861508132084,13146,4901,84561,7.1,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.795816038126323,0.0
2015,12,Comunidad Valenciana,556497.0,1280059.0,7283.0,789853.0,2633692.0,21.129919519822362,48.60321556203231,0.27653195590068996,29.990332962244636,488770,655619,4945092,6.4,33.0,0,0,2,6,0,0,4,43,18,0,17,33,123,13.257973764694366,2.4873146950552183
2015,12,Extremadura,236655.0,301940.0,518.0,101688.0,640801.0,36.9311221424436,47.11915243577959,0.08083632828288345,15.868889093493923,129682,34028,1092217,5.8,32.2,0,0,0,0,0,0,0,9,12,0,0,9,30,3.1154981107234185,2.7467069272864277
2015,12,Galicia,363743.0,766931.0,1246.0,484806.0,1616726.0,22.498741283309602,47.437289930390186,0.07706933642435392,29.98689944987586,233449,87247,2732801,5.5,31.5,0,0,1,1,0,0,0,16,31,0,4,11,64,3.192585190066895,2.341919517740223
2015,12,La Rioja,43150.0,96114.0,0.0,36087.0,175351.0,24.607786667883275,54.812347805259165,0.0,20.57986552685756,22598,34387,314457,5.5,31.1,0,0,0,1,0,0,0,2,3,0,0,5,11,10.935358411483923,3.4980935390212338
2015,12,Madrid,673967.0,1934894.0,27222.0,948192.0,3584275.0,18.803440026225665,53.98285566816162,0.759484135564375,26.454220170048337,475011,722378,6375737,6.9,34.7,0,0,1,6,0,0,1,28,19,0,19,85,159,11.330109758291474,2.493829340827578
2015,12,Melilla,7219.0,16937.0,0.0,3581.0,27737.0,26.02660705916285,61.06284024948625,0.0,12.910552691350905,12392,11504,85009,7.4,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.532684774553283,0.0
2015,12,Murcia,154474.0,427955.0,3282.0,135482.0,721193.0,21.419231745177782,59.33987157390601,0.45507929222829396,18.78581738868791,133505,205658,1465195,6.6,33.3,0,0,1,1,0,0,0,13,9,0,4,3,31,14.036220434822669,2.1157593357880695
2015,12,Navarra,87841.0,128665.0,0.0,130683.0,347189.0,25.300628764160155,37.059065811416836,0.0,37.64030542442301,44440,52468,637317,4.8,26.2,0,2,0,0,0,0,0,0,5,0,5,19,31,8.232637761114171,4.864141392744897
2015,12,País Vasco,169991.0,498804.0,0.0,539969.0,1208764.0,14.063208368217452,41.265623397123015,0.0,44.67116823465954,160155,118825,2172707,5.4,30.2,0,3,1,12,0,0,1,2,26,0,27,129,201,5.468984082989561,9.25113234320136
2016,6,Andalucía,1379708.0,2014313.0,10321.0,800147.0,4204489.0,32.81511736622453,47.90862813530967,0.24547572844167267,19.030778770024135,935018,621267,8392046,7.2,36.1,0,1,1,4,0,0,2,58,14,0,30,42,152,7.403045693505493,1.8112388802444601
2016,6,Aragón,181296.0,368329.0,2173.0,143935.0,695733.0,26.058272354480817,52.94114265098824,0.3123324608722024,20.688252533658748,83314,141140,1318042,5.1,30.4,0,0,0,0,0,0,0,11,4,0,5,8,28,10.708308232969815,2.124363260047859
2016,6,Asturias,154318.0,285984.0,1442.0,145745.0,587489.0,26.26738543189745,48.67903909690224,0.2454514041965041,24.80812406700381,85663,38576,1040407,5.1,29.2,0,1,0,3,0,0,0,10,9,0,1,5,29,3.7077797438886897,2.787370711654189
2016,6,Baleares,100629.0,231942.0,0.0,118082.0,450653.0,22.32959727329009,51.46798090770505,0.0,26.20242181900487,58316,196534,1117353,6.1,33.6,0,0,1,0,0,0,4,6,3,0,4,7,25,17.589248876586,2.2374307850786637
2016,6,Canarias,235444.0,531614.0,882.0,200630.0,968570.0,24.308413434238105,54.88648213345447,0.09106208121250917,20.714042351094914,236796,249385,2103436,8.8,38.1,0,0,0,0,0,0,3,8,0,0,2,5,18,11.856077389566405,0.855742699088539
2016,6,Cantabria,82776.0,189929.0,713.0,60909.0,334327.0,24.75899344055371,56.809351323704036,0.21326425924319603,18.21839097649906,44625,29869,582494,4.8,30.0,0,0,0,0,0,0,3,5,1,0,3,5,17,5.127778140204019,2.918484997270358
2016,6,Castilla y León,348911.0,853226.0,3832.0,227888.0,1433857.0,24.333737604238078,59.505655026965734,0.26725119729512775,15.893356171501063,184179,130703,2452721,5.1,30.5,0,0,2,2,0,0,1,14,12,0,4,14,49,5.328897987174244,1.99778123969257
2016,6,Castilla-La Mancha,313625.0,623584.0,2619.0,164934.0,1104762.0,28.38846738030454,56.44509858231908,0.23706463473580736,14.92936940264057,204297,171363,2049336,6.4,33.9,0,0,0,1,0,0,0,29,17,0,4,5,56,8.36187916476361,2.732592410419765
2016,6,Cataluña,619767.0,1328523.0,198.0,1489684.0,3438172.0,18.02606152339092,38.64038797360923,0.005758874192448778,43.3277916288074,470605,929340,7440692,5.6,31.4,0,5,1,14,0,0,20,6,65,0,60,111,282,12.489967330995558,3.789970072676036
2016,6,Ceuta,7307.0,19612.0,139.0,3345.0,30403.0,24.033812452718482,64.50679209288556,0.45719172450087164,11.002203729895076,12877,5155,84558,6.3,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.096407199791859,0.0
2016,6,Comunidad Valenciana,571889.0,1312941.0,8036.0,663322.0,2556188.0,22.372728453462734,51.36324088838536,0.3143743730899292,25.949656285061973,444156,646810,4939888,6.0,32.5,0,0,2,3,0,0,2,50,18,0,17,35,127,13.093616697382613,2.570908490232977
2016,6,Extremadura,216615.0,310836.0,1026.0,80346.0,608823.0,35.579306300846056,51.055232801651705,0.16852188567120494,13.196939011831024,123872,32958,1086153,5.4,32.3,0,0,0,0,0,0,0,10,10,0,3,8,31,3.034379134431337,2.854109872181912
2016,6,Galicia,364978.0,786931.0,1026.0,395269.0,1548204.0,23.574283492356304,50.828637569725956,0.06627033646728726,25.530808601450456,212558,86438,2719095,5.5,31.5,0,0,0,0,0,0,2,13,14,0,10,21,60,3.1789253409682265,2.206616539694273
2016,6,La Rioja,43360.0,98313.0,366.0,29326.0,171365.0,25.302716424007237,57.370524902984855,0.21357920228751492,17.11317947072039,19795,33793,314025,4.6,28.5,0,0,0,0,0,0,0,3,2,0,0,7,12,10.761245123795876,3.8213518032003826
2016,6,Madrid,717457.0,1956827.0,20749.0,740995.0,3436028.0,20.880417738155803,56.950263501927225,0.6038658590675047,21.56545290084947,433004,715879,6411466,7.2,35.0,0,0,1,8,0,0,3,23,26,0,42,68,171,11.165605494905535,2.6670967295155275
2016,6,Melilla,7122.0,17020.0,0.0,2667.0,26809.0,26.565705546644786,63.48614271326794,0.0,9.948151740087283,11615,12074,85457,8.2,33.5,0,0,0,1,0,0,0,1,0,0,3,1,6,14.128743110570227,7.0210749265712575
2016,6,Murcia,153146.0,447153.0,2622.0,105218.0,708139.0,21.626545070953583,63.14480631627406,0.3702662895279034,14.858382323244449,121082,203148,1468367,5.9,32.0,0,0,0,1,0,0,0,9,18,0,2,7,37,13.834960878309033,2.5198060157985025
2016,6,Navarra,75273.0,128072.0,0.0,126346.0,329691.0,22.831378472569767,38.84607101801384,0.0,38.322550509416395,41124,52690,638922,4.6,27.7,0,0,0,7,0,0,1,2,7,0,10,4,31,8.246703040433731,4.851922456888321
2016,6,País Vasco,173565.0,477849.0,947.0,490041.0,1142402.0,15.192988107513816,41.82844567849146,0.08289551313810725,42.89567070085661,146002,122212,2174426,5.0,29.1,0,0,2,3,0,0,0,4,39,0,30,63,141,5.620425804327211,6.48446992447662
2019,4,Andalucía,1630709.0,1598946.0,612921.0,664191.0,4506767.0,36.18356573570367,35.478781130686365,13.600015265932319,14.73763786767765,779988,642498,8412222,6.1,33.4,3,0,3,7,0,2,14,12,47,0,42,71,201,7.6376729002159,2.3893805940927377
2019,4,Aragón,247474.0,298818.0,92388.0,107656.0,746336.0,33.15852377481456,40.03799897097286,12.378874930326287,14.424602323886294,63795,150172,1320694,4.7,27.5,0,0,0,2,0,0,0,1,17,0,2,15,37,11.37068844107719,2.8015573630227744
2019,4,Asturias,214256.0,216868.0,72018.0,108785.0,611927.0,35.01332675302773,35.44017505356031,11.76905088352042,17.77744730989154,70533,39647,1021469,7.8,34.7,0,0,0,1,1,0,1,0,21,0,6,7,37,3.8813708492377157,3.6222342528260767
2019,4,Baleares,157254.0,177692.0,58567.0,117668.0,511181.0,30.76288046699701,34.761072888076825,11.45719422278997,23.01885242213619,48640,211949,1157928,4.8,29.2,0,0,0,2,1,0,1,5,8,0,1,20,38,18.30416053502463,3.2817239068404946
2019,4,Canarias,349525.0,458150.0,69614.0,168397.0,1045686.0,33.42542598829859,43.81334358497675,6.657256576065855,16.1039738506588,207342,273032,2153316,5.3,30.3,0,0,0,1,0,0,4,3,0,0,14,30,52,12.679606708908493,2.4148801197780543
2019,4,Cantabria,145849.0,132263.0,40139.0,37757.0,356008.0,40.96789959776185,37.15169322037707,11.27474663490708,10.605660546954002,35863,32133,581989,5.2,30.4,0,0,0,1,0,1,0,3,5,0,1,6,17,5.521238373921157,2.9210174075455035
2019,4,Castilla y León,464658.0,683334.0,187306.0,160821.0,1496119.0,31.05755625053889,45.67377327605625,12.519458679423229,10.749211793981628,140569,130820,2405568,4.5,27.7,0,0,3,3,0,0,0,3,36,0,16,17,78,5.4382166706574075,3.2424774523106388
2019,4,Castilla-La Mancha,395549.0,476655.0,181444.0,121562.0,1175210.0,33.65772925689877,40.55913411220122,15.439283191940165,10.343853438959846,168370,172095,2036777,5.5,31.2,4,0,0,0,0,1,2,3,23,0,5,13,51,8.449378601584758,2.50395600500202
2019,4,Cataluña,1026152.0,1181002.0,148844.0,1755590.0,4111588.0,24.957558977212695,28.723743721403995,3.6201097969932787,42.69858750439003,380764,1094215,7624625,5.6,31.2,0,3,1,17,0,0,9,8,257,0,101,119,515,14.351066445890782,6.754430545764546
2019,4,Ceuta,13800.0,12693.0,9092.0,1838.0,37423.0,36.87571814125003,33.91764422948454,24.29521951740908,4.911418111856345,11610,5569,85087,11.5,41.9,0,0,0,1,0,0,0,0,0,0,0,0,1,6.5450656386992145,1.1752676672112072
2019,4,Comunidad Valenciana,783772.0,981748.0,323092.0,564071.0,2652683.0,29.54638756308236,37.00962384122038,12.179819450722155,21.264169144975106,363036,681852,4989308,5.6,31.4,0,1,0,5,0,2,9,3,48,0,18,58,144,13.666263938806743,2.8861717897552124
2019,4,Extremadura,254842.0,258508.0,70793.0,62544.0,646687.0,39.407317604961904,39.97420699658413,10.947026923380244,9.671448475073722,98596,31901,1067925,4.8,29.8,1,0,0,1,1,0,0,3,4,0,5,5,20,2.9871947936418755,1.8727906922302595
2019,4,Galicia,545408.0,635345.0,87047.0,353093.0,1620893.0,33.64861221561201,39.1972202977001,5.370311303707277,21.783856182980614,163219,96794,2700210,5.2,30.5,2,0,0,5,0,1,2,2,34,0,12,18,76,3.5846841541954144,2.8145959018002302
2019,4,La Rioja,58701.0,80128.0,16255.0,21716.0,176800.0,33.20192307692308,45.32126696832579,9.194004524886878,12.282805429864254,15605,36139,315967,5.0,29.3,1,0,0,0,0,0,0,0,2,0,0,3,6,11.437586836600024,1.8989324834555508
2019,4,Madrid,1082443.0,1497322.0,524176.0,618278.0,3722219.0,29.080583383191584,40.22659601705327,14.08235248920066,16.610468110554482,344266,817809,6618078,6.5,34.7,1,2,2,8,2,1,21,2,65,0,42,112,258,12.357197965935125,3.8984128020249993
2019,4,Melilla,6989.0,12438.0,5807.0,1292.0,26526.0,26.347734298424186,46.88984392671342,21.891728869788132,4.870692905074267,9411,12681,86373,13.9,40.7,0,0,0,0,0,0,0,2,2,0,1,0,5,14.681671355631968,5.788846051428108
2019,4,Murcia,201151.0,330452.0,143234.0,81878.0,756715.0,26.582134621356783,43.669281037114374,18.928394441764734,10.820189899764111,99580,206965,1491312,4.7,28.9,0,0,0,3,3,0,3,2,8,0,3,3,25,13.878048322550882,1.676376237836214
2019,4,Navarra,120185.0,107619.0,17771.0,115158.0,360733.0,33.31688534179019,29.83342250362456,4.926358276065677,31.92333387851957,32110,62506,652797,3.9,24.3,2,0,0,1,1,0,0,1,16,0,0,10,31,9.57510527775097,4.748796333316482
2019,4,País Vasco,265216.0,531291.0,28230.0,438065.0,1262802.0,21.002184032017688,42.0723913962759,2.2355048534924715,34.68991971821394,115458,151985,2197306,5.3,29.4,0,1,3,8,0,0,3,6,16,0,12,54,103,6.916879123799781,4.687558310039657
2019,11,Andalucía,1472611.0,1223296.0,869909.0,625528.0,4191344.0,35.134577357525416,29.18624670272829,20.75489389560962,14.924282044136678,779988,642498,8412222,6.1,33.4,3,0,3,7,0,2,14,12,47,0,42,71,201,7.6376729002159,2.3893805940927377
2019,11,Aragón,239687.0,227210.0,118936.0,102493.0,688326.0,34.821726914281896,33.00906837748393,17.279021858828518,14.890182849405658,63795,150172,1320694,4.7,27.5,0,0,0,2,0,0,0,1,17,0,2,15,37,11.37068844107719,2.8015573630227744
2019,11,Asturias,190623.0,167319.0,88788.0,103502.0,550232.0,34.644113755652164,30.408809374954565,16.136466072493057,18.810610796900217,70533,39647,1021469,7.8,34.7,0,0,0,1,1,0,1,0,21,0,6,7,37,3.8813708492377157,3.6222342528260767
2019,11,Baleares,121774.0,137173.0,77520.0,111172.0,447639.0,27.203617200467338,30.643665989781944,17.317525952832526,24.835190856918185,48640,211949,1157928,4.8,29.2,0,0,0,2,1,0,1,5,8,0,1,20,38,18.30416053502463,3.2817239068404946
2019,11,Canarias,285542.0,372095.0,118006.0,155843.0,931486.0,30.654459648346833,39.94638674118559,12.668574728981433,16.730578881486142,207342,273032,2153316,5.3,30.3,0,0,0,1,0,0,4,3,0,0,14,30,52,12.679606708908493,2.4148801197780543
2019,11,Cantabria,146714.0,100192.0,48827.0,29144.0,324877.0,45.15986050105117,30.839979438372062,15.029380350101732,8.97077971047504,35863,32133,581989,5.2,30.4,0,0,0,1,0,1,0,3,5,0,1,6,17,5.521238373921157,2.9210174075455035
2019,11,Castilla y León,452615.0,544193.0,231034.0,131818.0,1359660.0,33.28883691511113,40.02419722577703,16.9920421281791,9.694923730932734,140569,130820,2405568,4.5,27.7,0,0,3,3,0,0,0,3,36,0,16,17,78,5.4382166706574075,3.2424774523106388
2019,11,Castilla-La Mancha,367943.0,366630.0,238384.0,101650.0,1074607.0,34.239773238030274,34.117589034875074,22.18336563971759,9.45927208737706,168370,172095,2036777,5.5,31.2,4,0,0,0,0,1,2,3,23,0,5,13,51,8.449378601584758,2.50395600500202
2019,11,Cataluña,839251.0,1035874.0,243640.0,1717194.0,3835959.0,21.878518513884014,27.004303226390064,6.351475602320046,44.76570265740588,380764,1094215,7624625,5.6,31.2,0,3,1,17,0,0,9,8,257,0,101,119,515,14.351066445890782,6.754430545764546
2019,11,Ceuta,10455.0,8577.0,11752.0,1300.0,32084.0,32.58633586834559,26.732951003615508,36.6288492706645,4.051863857374392,11610,5569,85087,11.5,41.9,0,0,0,1,0,0,0,0,0,0,0,0,1,6.5450656386992145,1.1752676672112072
2019,11,Comunidad Valenciana,727454.0,780680.0,468271.0,524384.0,2500789.0,29.0889795180641,31.21734780503273,18.724930411961985,20.968742264941184,363036,681852,4989308,5.6,31.4,0,1,0,5,0,2,9,3,48,0,18,58,144,13.666263938806743,2.8861717897552124
2019,11,Extremadura,231123.0,199322.0,99823.0,54072.0,584340.0,39.55282883252901,34.11062052914399,17.083033850155733,9.25351678817127,98596,31901,1067925,4.8,29.8,1,0,0,1,1,0,0,3,4,0,5,5,20,2.9871947936418755,1.8727906922302595
2019,11,Galicia,476501.0,539859.0,116381.0,334072.0,1466813.0,32.485463382176185,36.80489605696159,7.934276557407113,22.77536400345511,163219,96794,2700210,5.2,30.5,2,0,0,5,0,1,2,2,34,0,12,18,76,3.5846841541954144,2.8145959018002302
2019,11,La Rioja,58581.0,68123.0,18908.0,16961.0,162573.0,36.03365872561864,41.90302202702786,11.630467543811088,10.43285170354241,15605,36139,315967,5.0,29.3,1,0,0,0,0,0,0,0,2,0,0,3,6,11.437586836600024,1.8989324834555508
2019,11,Madrid,989384.0,1210550.0,653476.0,669012.0,3522422.0,28.088173421583218,34.36697817581199,18.551894122850697,18.9929542797541,344266,817809,6618078,6.5,34.7,1,2,2,8,2,1,21,2,65,0,42,112,258,12.357197965935125,3.8984128020249993
2019,11,Melilla,5087.0,10053.0,5692.0,809.0,21641.0,23.506307471928285,46.4534910586387,26.30192689801765,3.738274571415369,9411,12681,86373,13.9,40.7,0,0,0,0,0,0,0,2,2,0,1,0,5,14.681671355631968,5.788846051428108
2019,11,Murcia,184159.0,242701.0,199829.0,78380.0,705069.0,26.119287615821996,34.42230476733483,28.34176513220692,11.116642484636255,99580,206965,1491312,4.7,28.9,0,0,0,3,3,0,3,2,8,0,3,3,25,13.878048322550882,1.676376237836214
2019,11,Navarra,98693.0,99078.0,19440.0,112046.0,329257.0,29.97445764251026,30.091387578699923,5.904202492278069,34.02995228651175,32110,62506,652797,3.9,24.3,2,0,0,1,1,0,0,1,16,0,0,10,31,9.57510527775097,4.748796333316482
2019,11,País Vasco,234401.0,497027.0,28979.0,412859.0,1173266.0,19.978504448266634,42.362686722363044,2.46994287740376,35.18886595196656,115458,151985,2197306,5.3,29.4,0,1,3,8,0,0,3,6,16,0,12,54,103,6.916879123799781,4.687558310039657
2023,7,Andalucía,1502351.0,1596044.0,671507.0,537525.0,4307427.0,34.87815347770258,37.05330351506827,15.589515504267396,12.479027502961745,714917,813724,8584147,5.9,32.6,11,11,5,8,1,4,33,4,36,0,80,137,330,9.479381003144518,3.844295769865078
2023,7,Aragón,245929.0,259145.0,104463.0,88583.0,698120.0,35.22732481521801,37.120409098722284,14.963473328367616,12.688792757692088,54598,181044,1341289,4.3,27.2,2,0,0,0,0,0,0,0,10,0,15,14,41,13.497762227230673,3.056761070880325
2023,7,Asturias,208216.0,212816.0,74571.0,90228.0,585831.0,35.541990778910645,36.32720016523537,12.72909764078719,15.401711415066801,58519,53572,1006060,5.4,30.5,1,0,0,0,0,0,1,1,18,0,10,39,70,5.3249309186330835,6.957835516768384
2023,7,Baleares,156755.0,179303.0,76547.0,84206.0,496811.0,31.552240187918546,36.09078703973946,15.407670120025523,16.949302652316476,31529,247669,1209906,5.1,28.5,0,0,0,2,1,1,1,3,11,0,9,29,57,20.470102636072554,4.711109788694329
2023,7,Canarias,396573.0,427990.0,77343.0,108001.0,1009907.0,39.26826925647609,42.37914976329504,7.658427954257174,10.694153025971698,176360,314523,2213016,5.3,31.1,0,0,1,1,1,0,7,1,0,0,35,38,84,14.212414189504278,3.795724929236842
2023,7,Cantabria,118685.0,147326.0,49243.0,30311.0,345565.0,34.345202783846744,42.633368541374274,14.24999638273552,8.771432292043466,31937,41711,588387,4.6,28.7,0,0,0,1,0,0,1,1,4,0,2,11,20,7.0890417361362505,3.3991233660838867
2023,7,Castilla y León,490847.0,594485.0,197172.0,102467.0,1384971.0,35.44095869155383,42.92400346288839,14.236543581056932,7.398494264500845,113375,167934,2383703,5.1,29.4,2,0,2,3,1,1,11,6,25,0,28,36,115,7.04508909037745,4.824426533003483
2023,7,Castilla-La Mancha,397533.0,445991.0,203666.0,84638.0,1131828.0,35.12309290810972,39.404485487194165,17.994430249119127,7.477991355576997,135365,220173,2084086,5.0,29.6,4,0,1,2,0,2,2,7,28,0,12,23,81,10.564487262041968,3.886595850651077
2023,7,Cataluña,1258216.0,901065.0,275080.0,1067156.0,3501517.0,35.93345398580101,25.733560625294693,7.85602354636576,30.476961842538536,340302,1361981,7901963,5.0,29.9,0,4,3,12,0,0,9,8,72,0,111,89,308,17.235983008272754,3.8977656564577687
2023,7,Ceuta,11332.0,12918.0,7752.0,821.0,32823.0,34.5245711848399,39.356548761539166,23.6175852298693,2.5012948237516373,10116,4912,83052,9.6,40.4,0,0,0,1,0,0,0,1,0,0,1,0,3,5.914366902663391,3.6121947695419734
2023,7,Comunidad Valenciana,869257.0,922064.0,413703.0,402813.0,2607837.0,33.332489722325434,35.35742456296156,15.863836581810903,15.446249132902096,331726,888156,5216195,5.6,31.1,2,6,3,9,3,1,27,7,19,0,70,104,251,17.026894124932063,4.811936670312363
