plataforma,tema,sentimiento,texto
Menéame,lgtbi,NEU,"Es una feria de turismo, supongo que no querrán que la ciudad se relacione únicamente al turismo gay y poder abarcar más nichos de mercado."
Menéame,lgtbi,POS,"El tercer pais del mundo en legalizar el matrimonio homosexual fue España, algo de lo que estar agradecido a todos los que lo hicieron posible. Bienvenidos todos los países que se han ido sumando después"
ForoCoches,inmigracion,NEG,Lo que hay que hacer es dar una patada en el culo a todo invasor parásito que pise Europa.
ForoCoches,inmigracion,NEU,"Es un dilema bastante grande shur, muy delicado todo."
ForoCoches,inmigracion,POS,Todo aquel que venga a aportar valor e integrarse bienvenido sea.
ForoCoches,lgtbi,NEG,"Si quiere ser árbitro debe acostumbrarse a todo tipo de insultos, los heterosexuales también los sufre, que no vaya de víctima."
ForoCoches,lgtbi,NEU,"Curso para los que les gustan su mismo genero, homosexual, gay, lesbiana....etc, o eso creo"
ForoCoches,lgtbi,POS,"Cursos como tal no, que se enseñe que existe la diversidad y es igual de tolerable y respetable, bien"
YouTube,inmigracion,NEG,Que se vaya a Venezuela
YouTube,inmigracion,NEU,"Que tiempos, los Españoles venían a Argentina a buscar una oportunidad"
YouTube,inmigracion,POS,Gracias por recibirnos tan bien en Argentina. Os debemos un grandísimo favor. 💖
YouTube,lgtbi,NEG,Voy a vomitarrrrr..... Agggggg
YouTube,lgtbi,NEU,"Creo que la vida íntima debería quedar en la casa de cada cual, El el cristianismo Jesus nunca dijo agredir a un homosexual pero si llama al respeto Dios es juez de todos"
YouTube,lgtbi,POS,"España es un país que respeta el matrimonio homosexual en general. Y muy orgulloso estamos de ello y enarbolamos la bandera de la lógica y el respeto en todo el mundo, a pesar de nuestros problemas internos políticos y económicos."
