Topic,Words,Frequency,Timestamp,Name
-1,"gay, personas, homosexuales, derechos, ley",481,2015,-1_lgtbi_personas_derechos_colectivo
0,"extremadura, ley, igualdad, colectivo, sexual",71,2015,0_lgtbi_igualdad_ley_diversidad
1,"kennedy, fútbol, nba, árbitro, jugador",27,2015,1_fútbol_jankto_futbolista_jugador
2,"orgullo, orgullo gay, madrid, gay, plaza",52,2015,2_orgullo_orgullo gay_madrid_gay
3,"web, parroquia, homosexualidad, sanar homosexualidad, sanar",36,2015,3_homosexualidad_cañizares_alcalá_obispa...
4,"orgullo, alcoy, orgullo lgtbi, plasencia, lgtbi",4,2015,4_orgullo_lgtbi_orgullo lgtbi_lgtbiq
5,"víctima, prisión, hechos, acusado, audiencia",24,2015,5_acusado_víctima_hechos_prisión
6,"actor, gay, personaje, película, movistar",44,2015,6_película_personajes_serie_cine
8,"rusia, photo, putin, ruso, propaganda",37,2015,8_rusia_propaganda_ruso_rusa
9,"mujeres, bisexuales, homosexual, facebook, homosexuales",32,2015,9_bisexuales_mujeres_homosexuales_homose...
10,"detenido, agentes, policía, detenidos, transexual",19,2015,10_víctimas_detenido_agentes_policía
11,"matrimonio, parejas, mismo sexo, sexo, matrimonio homosexual",87,2015,11_matrimonio_mismo sexo_parejas_sexo
12,"ei, islámico, siria, mateen, yihadistas",26,2015,12_mateen_orlando_club_tiroteo
13,"transexuales, salud, personas, personas transexuales, vasco",15,2015,13_salud_transexuales_personas_transexua...
14,"delitos, odio, delitos odio, agresiones, casos",13,2015,14_odio_delitos_agresiones_delitos odio
15,"carmen, bertín, carmen martínez, martínez, abuelo",21,2015,15_carmen_programa_actriz_veneno
16,"bandera, ayuntamiento, orgullo, alcalde, orgullo gay",50,2015,16_bandera_ayuntamiento_orgullo_día
17,"procesión, cívica, lambda, valenciana, internos",2,2015,17_lgtbi_barcelona_lona_vox
18,"cesc, cine, gay, película, director",16,2015,18_girona_gay_rock_cine
19,"maroto, rajoy, partido, boda, pp",24,2015,19_barcelona_psc_collboni_partido
20,"premio, festival, festival cine, cine, edición",5,2015,20_premio_cine_festival_premios
21,"matrimonio, supremo, tribunal, matrimonio homosexual, licencias",88,2015,21_matrimonio_supremo_florida_tribunal
22,"matrimonio, china, taiwán, tailandia, parejas",11,2015,22_taiwán_matrimonio_mismo sexo_asia
23,"obama, ejército, casa blanca, blanca, trump",31,2015,23_ejército_trump_obama_transgénero
24,"circuito, tenis, ucraniano, tenista, atletas",3,2015,24_atletas_atletismo_transgénero_competi...
25,"padrino, salinas, iglesia, obispado, párroco",82,2015,25_padrino_salinas_iglesia_obispado
26,"nombre, cambio nombre, cambio, menor, niña",14,2015,26_nombre_cambio nombre_cambio_niña
27,"alan, transexual, menor, chrysallis, suicidio",20,2015,27_transexual_policía_paloma_mujer
28,"machos, animales, especies, hembras, comportamiento",2,2015,28_especies_comportamiento_machos_indivi...
29,"sangre, donar, donar sangre, homosexuales, riesgo",60,2015,29_sangre_donar_donar sangre_homosexuale...
30,"obama, kenia, uganda, áfrica, homosexualidad",23,2015,30_uganda_museveni_homosexualidad_ley
31,"pareja, agresión, uber, pareja gay, homofobia",19,2015,31_agresión_pareja_observatorio_pareja g...
32,"iglesia, vaticano, sacerdote, papa, sínodo",61,2015,32_iglesia_vaticano_papa_sacerdote
33,"protocolo, alumnado, educación, identidad, educativa",15,2015,33_protocolo_educativa_centros_identidad
34,"turismo, fitur, destino, oferta, benidorm",22,2015,34_turismo_fitur_destino_oferta
35,"partidos políticos, políticos, partidos, millones, rasero",1,2015,35_vox_pp_lgtbi_investidura
36,"césar, libro, julio césar, novela, vida",9,2015,36_literatura_novela_libro_stuart
37,"galicia, sexual, alicante, trabajo, informe",5,2015,37_trabajo_personas_laboral_empresas
39,"marruecos, rabat, marroquí, marroquíes, homosexualidad",29,2015,39_marruecos_marroquí_rabat_marroquíes
40,"miss, jenner, ángela, ponce, caitlyn",36,2015,40_miss_jenner_caitlyn_ángela
41,"jerusalén, ataque, marcha, israelí, israel",27,2015,41_jerusalén_israelí_israel_marcha
42,"estambul, turca, policía, marcha, ramadán",22,2015,42_estambul_turca_turquía_policía
44,"perra, agresión, policía, policía nacional, adopta",3,2015,44_agresión_transexual_policía_odio
45,"iglesia, papa, sínodo, bendición, divorciados",3,2015,45_bendición_iglesia_papa_bendiciones
48,"asistida, reproducción, reproducción asistida, jiménez díaz, fundación jiménez",32,2015,48_reproducción_asistida_reproducción as...
49,"gay, maca, mr gay, mr, pis",13,2015,49_mr gay_mr_gay_gay pride
50,"circuit, barcelona, axel, festival, hotel",14,2015,50_circuit_barcelona_festival_circuit fe...
53,"uniones, italia, matrimonio, parejas, homosexuales",11,2015,53_italia_uniones_senado_proyecto
56,"nigeria, nigeriano, asilo, país, camerún",20,2015,56_nigeria_asilo_país_camerún
59,"bbc, boxeo, boxeador, pesados, pedofilia",1,2015,59_itziar_letonia_castro_actriz
60,"orgullo, alicante, iq, ibiza, lgtb",7,2015,60_ibiza_carnaval_calles centro_género f...
63,"irlanda, matrimonio, referéndum, dublín, país",50,2015,63_irlanda_matrimonio_referéndum_dublín
64,"ciento, acoso, jóvenes, escolar, suicidio",18,2015,64_acoso_ciento_jóvenes_escolar
65,"ojo, agresión, pareja, guardia, juzgado",1,2015,65_metro_agresión_barcelona_guardia urba...
66,"venezuela, adrián, tamara, transexual, carreño",4,2015,66_trans_transgénero_mujer_belarra
67,"papa, francisco, lejárraga, plasencia, pontífice",18,2015,67_papa_francisco_pontífice_plasencia
69,"libertinaje, egipto, medios, detenidos, brunéi",1,2015,69_brunéi_sultán_lapidación_adulterio
70,"metro, lgtb, arcópoli, agresiones personas, metro madrid",1,2015,70_concierto_orgullo_madrid_plaza
71,"the, pecado, to, is, that",2,2015,71_pecado_papa_francisco_delito
74,"libro, biología, homosexualidad, editorial, riesgo",11,2015,74_homosexualidad_terapia_libro_em
75,"silvestre, actor, ángel silvestre, serie, miguel ángel",4,2015,75_actor_contado_silvestre_pueblo
78,"juego, matar, gay games, games, fagc",9,2015,78_gay games_games_gay_juegos
80,"países, españoles, suecia, países bajos, porcentaje",3,2015,80_españoles_iglesias_rodó_países
81,"eurovisión, natural, cantante, suecia, qx",1,2015,81_paloma río_río_gimnasia_paloma
82,"modelo, transexual, marca, secret, primera",4,2015,82_modelo_secret_marca_victoria
83,"garrido, madrid, coruña, judíos, holocausto",3,2015,83_madrid_cogam_orgullo_ciudadanos
-1,"gay, personas, colectivo, ley, orgullo",1037,2016,-1_lgtbi_personas_derechos_colectivo
0,"ley, igualdad, colectivo, lgtbi, sexual",149,2016,0_lgtbi_igualdad_ley_diversidad
1,"fútbol, tomillero, árbitro, jesús tomillero, deporte",109,2016,1_fútbol_jankto_futbolista_jugador
2,"orgullo, orgullo gay, madrid, gay, fiesta",64,2016,2_orgullo_orgullo gay_madrid_gay
3,"cañizares, valencia, imperio gay, imperio, cardenal",148,2016,3_homosexualidad_cañizares_alcalá_obispa...
4,"orgullo, día, lgtbi, orgullo lgtbi, ayuntamiento",20,2016,4_orgullo_lgtbi_orgullo lgtbi_lgtbiq
5,"víctima, condenado, prisión, acusado, acusados",71,2016,5_acusado_víctima_hechos_prisión
6,"serie, personajes, actor, personaje, película",54,2016,6_película_personajes_serie_cine
7,"bandera, conmemoración, conmemoración día, día, lgtbfobia",3,2016,7_bandera_bandera lgtbi_ayuntamiento_vox
8,"rusia, propaganda, ikea, rusos, película",8,2016,8_rusia_propaganda_ruso_rusa
9,"homosexuales, homofobia, bisexualidad, bisexual, etiquetas",59,2016,9_bisexuales_mujeres_homosexuales_homose...
10,"agentes, policía, víctimas, detenido, detenidos",54,2016,10_víctimas_detenido_agentes_policía
11,"matrimonio, méxico, mismo sexo, sexo, mismo",60,2016,11_matrimonio_mismo sexo_parejas_sexo
12,"mateen, orlando, club, pulse, tiroteo",128,2016,12_mateen_orlando_club_tiroteo
13,"salud, transexuales, tratamiento, atención, personas",69,2016,13_salud_transexuales_personas_transexua...
14,"odio, delitos, agresiones, delitos odio, violencia",17,2016,14_odio_delitos_agresiones_delitos odio
15,"veneno, bertín, paco, programa, osborne",26,2016,15_carmen_programa_actriz_veneno
16,"bandera, orgullo, ayuntamiento, orgullo gay, día",40,2016,16_bandera_ayuntamiento_orgullo_día
17,"alcorcón, cha, moción, reprobación, lgtbi",6,2016,17_lgtbi_barcelona_lona_vox
18,"cine, ángel, gay, cesc, actor",18,2016,18_girona_gay_rock_cine
19,"patronal, abad, per, treball, junta directiva",9,2016,19_barcelona_psc_collboni_partido
20,"premio, córdoba, premios, festival, gala",23,2016,20_premio_cine_festival_premios
21,"matrimonio, supremo, tribunal, florida, homosexuales",24,2016,21_matrimonio_supremo_florida_tribunal
22,"taiwán, matrimonio, tailandia, santos, carmen",20,2016,22_taiwán_matrimonio_mismo sexo_asia
23,"ejército, carter, fuerzas armadas, armadas, transexuales",18,2016,23_ejército_trump_obama_transgénero
24,"atletas, competir, testosterona, competiciones, deporte",13,2016,24_atletas_atletismo_transgénero_competi...
25,"padrino, párroco, iglesia, bautizo, obispado",21,2016,25_padrino_salinas_iglesia_obispado
26,"nombre, cambio nombre, cambio, niña, transexual",58,2016,26_nombre_cambio nombre_cambio_niña
27,"alexis, transexual, méxico, septiembre, mujer",12,2016,27_transexual_policía_paloma_mujer
28,"machos, comportamiento, hembras, especies, huevo",11,2016,28_especies_comportamiento_machos_indivi...
29,"sangre, homosexuales, donar, donar sangre, hombres",26,2016,29_sangre_donar_donar sangre_homosexuale...
30,"uganda, homosexualidad, museveni, ley, áfrica",8,2016,30_uganda_museveni_homosexualidad_ley
31,"agresión, arcópoli, observatorio, pareja, chicos",26,2016,31_agresión_pareja_observatorio_pareja g...
32,"papa, vaticano, iglesia, libro, ratzinger",21,2016,32_iglesia_vaticano_papa_sacerdote
33,"educativa, protocolo, centros, identidad, alumno",49,2016,33_protocolo_educativa_centros_identidad
34,"turismo, fitur, oferta, segmento, destino",31,2016,34_turismo_fitur_destino_oferta
35,"podemos, psoe, ley, portavoz, andalucía",2,2016,35_vox_pp_lgtbi_investidura
36,"libro, novela, literatura, gay, historia",26,2016,36_literatura_novela_libro_stuart
37,"trabajo, laboral, empleados, empresa, empresas",6,2016,37_trabajo_personas_laboral_empresas
38,"espanyol, estat espanyol, pacte, govern, negociar",1,2016,38_psoe_lgtbi_derechos_vox
39,"marruecos, marroquí, homosexualidad, código penal, marroquíes",44,2016,39_marruecos_marroquí_rabat_marroquíes
40,"miss, jenner, caitlyn, caitlyn jenner, transexual",24,2016,40_miss_jenner_caitlyn_ángela
