comunidad,año,ambito,delitos
Andalucía,2024,ANTIGITANISMO,4
Andalucía,2023,ANTIGITANISMO,11
Andalucía,2022,ANTIGITANISMO,4
Andalucía,2021,ANTIGITANISMO,3
Andalucía,2020,ANTIGITANISMO,2
Andalucía,2019,ANTIGITANISMO,3
Andalucía,2018,ANTIGITANISMO,0
Andalucía,2017,ANTIGITANISMO,0
Andalucía,2016,ANTIGITANISMO,0
Andalucía,2015,ANTIGITANISMO,0
Andalucía,2014,ANTIGITANISMO,0
Andalucía,2024,ANTISEMITISMO,2
Andalucía,2023,ANTISEMITISMO,11
Andalucía,2022,ANTISEMITISMO,0
Andalucía,2021,ANTISEMITISMO,1
Andalucía,2020,ANTISEMITISMO,0
Andalucía,2019,ANTISEMITISMO,0
Andalucía,2018,ANTISEMITISMO,2
Andalucía,2017,ANTISEMITISMO,0
Andalucía,2016,ANTISEMITISMO,1
Andalucía,2015,ANTISEMITISMO,0
Andalucía,2014,ANTISEMITISMO,3
Andalucía,2024,APOROFOBIA,4
Andalucía,2023,APOROFOBIA,5
Andalucía,2022,APOROFOBIA,3
Andalucía,2021,APOROFOBIA,0
Andalucía,2020,APOROFOBIA,0
Andalucía,2019,APOROFOBIA,3
Andalucía,2018,APOROFOBIA,3
Andalucía,2017,APOROFOBIA,3
Andalucía,2016,APOROFOBIA,1
Andalucía,2015,APOROFOBIA,0
Andalucía,2014,APOROFOBIA,2
Andalucía,2024,CREENCIAS O PRÁCTICAS RELIGIOSAS,7
Andalucía,2023,CREENCIAS O PRÁCTICAS RELIGIOSAS,8
Andalucía,2022,CREENCIAS O PRÁCTICAS RELIGIOSAS,9
Andalucía,2021,CREENCIAS O PRÁCTICAS RELIGIOSAS,9
Andalucía,2020,CREENCIAS O PRÁCTICAS RELIGIOSAS,4
Andalucía,2019,CREENCIAS O PRÁCTICAS RELIGIOSAS,7
Andalucía,2018,CREENCIAS O PRÁCTICAS RELIGIOSAS,6
Andalucía,2017,CREENCIAS O PRÁCTICAS RELIGIOSAS,18
Andalucía,2016,CREENCIAS O PRÁCTICAS RELIGIOSAS,4
Andalucía,2015,CREENCIAS O PRÁCTICAS RELIGIOSAS,5
Andalucía,2014,CREENCIAS O PRÁCTICAS RELIGIOSAS,3
Andalucía,2024,DISFOBIA,5
Andalucía,2023,DISFOBIA,4
Andalucía,2022,DISFOBIA,4
Andalucía,2021,DISFOBIA,8
Andalucía,2020,DISFOBIA,5
Andalucía,2019,DISFOBIA,12
Andalucía,2018,DISFOBIA,2
Andalucía,2017,DISFOBIA,3
Andalucía,2016,DISFOBIA,58
Andalucía,2015,DISFOBIA,42
Andalucía,2014,DISFOBIA,42
Andalucía,2024,DISCRIMINACIÓN GENERACIONAL,2
Andalucía,2023,DISCRIMINACIÓN GENERACIONAL,1
Andalucía,2022,DISCRIMINACIÓN GENERACIONAL,4
Andalucía,2021,DISCRIMINACIÓN GENERACIONAL,1
Andalucía,2020,DISCRIMINACIÓN GENERACIONAL,2
Andalucía,2019,DISCRIMINACIÓN GENERACIONAL,0
Andalucía,2018,DISCRIMINACIÓN GENERACIONAL,2
Andalucía,2017,DISCRIMINACIÓN GENERACIONAL,0
Andalucía,2016,DISCRIMINACIÓN GENERACIONAL,0
Andalucía,2015,DISCRIMINACIÓN GENERACIONAL,0
Andalucía,2014,DISCRIMINACIÓN GENERACIONAL,0
Andalucía,2024,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,2
Andalucía,2023,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,4
Andalucía,2022,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Andalucía,2021,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,8
Andalucía,2020,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,2
Andalucía,2019,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,2
Andalucía,2018,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,2
Andalucía,2017,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Andalucía,2016,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Andalucía,2015,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Andalucía,2014,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Andalucía,2024,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,21
Andalucía,2023,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,33
Andalucía,2022,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,21
Andalucía,2021,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,11
Andalucía,2020,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,9
Andalucía,2019,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,14
