año,mes,ccaa,comunidad,siglas,nombre,votos,diputados
2019,4,1,Andalucía,PCPA,PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,4697,0
2019,4,1,Andalucía,PUM+J,POR UN MUNDO MÁS JUSTO,4326,0
2019,4,2,Aragón,RECORTES CE,RECORTES CERO-GRUPO VERDE,1825,0
2019,4,4,Baleares,PUM+J,POR UN MUNDO MÁS JUSTO,686,0
2019,4,9,Cataluña,PSC,PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),962257,12
2019,4,16,La Rioja,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,32181,1
2019,4,17,Comunidad Valenciana,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,483068,6
2019,4,17,Comunidad Valenciana,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,746486,10
2019,4,1,Andalucía,IZAR,IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA,257,0
2019,4,4,Baleares,RECORTES CE,RECORTES CERO-GRUPO VERDE,1197,0
2019,4,6,Cantabria,PUM+J,POR UN MUNDO MÁS JUSTO,274,0
2019,4,6,Cantabria,VOX,VOX,40139,0
2019,4,9,Cataluña,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,63895,0
2019,4,9,Cataluña,PP,PARTIDO POPULAR,200841,1
2019,4,9,Cataluña,VOX,VOX,148844,1
2019,4,10,Extremadura,C.Ex-C.R.Ex,EXTREMEÑOS PREX CREX,2150,0
2019,4,13,Navarra,PODEMOS-IU-,UNIDAS PODEMOS,68393,1
2019,4,13,Navarra,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,94551,2
2019,4,13,Navarra,VOX,VOX,17771,0
2019,4,15,Murcia,SOMOS REGIÓ,SOMOS REGIÓN,4976,0
2019,4,15,Murcia,VOX,VOX,143234,2
2019,4,2,Aragón,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,6934,0
2019,4,2,Aragón,PUM+J,POR UN MUNDO MÁS JUSTO,993,0
2019,4,2,Aragón,PYLN,PUYALON,835,0
2019,4,3,Asturias,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,104688,1
2019,4,5,Canarias,VOX,VOX,69614,0
2019,4,6,Cantabria,PP,PARTIDO POPULAR,77902,1
2019,4,7,Castilla-La Mancha,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,207530,4
2019,4,8,Castilla y León,PACT,ACTÚA,623,0
2019,4,8,Castilla y León,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,313,0
2019,4,9,Cataluña,CNV,CONVERGENTS,2541,0
2019,4,10,Extremadura,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,118035,2
2019,4,14,País Vasco,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,11227,0
2019,4,15,Murcia,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,1162,0
2019,4,1,Andalucía,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,811562,11
2019,4,2,Aragón,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,155576,3
2019,4,4,Baleares,ARA-MES-ESQ,Veus PROGRESSISTES,25191,0
2019,4,4,Baleares,PODEMOS-EUI,UNIDAS PODEMOS-UNIDES PODEM,92477,2
2019,4,5,Canarias,PODEMOS-IU-,UNIDAS PODEMOS,166911,3
2019,4,7,Castilla-La Mancha,PP,PARTIDO POPULAR,269125,6
2019,4,7,Castilla-La Mancha,VOX,VOX,181444,2
2019,4,11,Galicia,EN MAREA,EN MAREA,17899,0
2019,4,11,Galicia,VOU,VIVIR OURENSE,335,0
2019,4,13,Navarra,RECORTES CE,RECORTES CERO-GRUPO VERDE,1295,0
2019,4,16,La Rioja,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,1394,0
2019,4,16,La Rioja,PODEMOS-IU-,UNIDAS PODEMOS,21331,0
2019,4,19,Melilla,PUM+J,POR UN MUNDO MÁS JUSTO,39,0
2019,4,1,Andalucía,PODEMOS-IU,UNIDAS PODEMOS,654944,9
2019,4,1,Andalucía,VOX,VOX,612921,6
2019,4,5,Canarias,PH,PARTIDO HUMANISTA,559,0
2019,4,8,Castilla y León,centrados,CENTRADOS,459,0
2019,4,9,Cataluña,IZQP,IZQUIERDA EN POSITIVO,2791,0
2019,4,10,Extremadura,PP,PARTIDO POPULAR,140473,2
2019,4,10,Extremadura,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,250180,5
2019,4,12,Madrid,VOX,VOX,524176,5
2019,4,15,Murcia,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,150289,2
2019,4,16,La Rioja,EB,ESCAÑOS EN BLANCO,385,0
2019,4,17,Comunidad Valenciana,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,222,0
