año,mes,ccaa,siglas,nombre,votos,diputados,comunidad
2019,11,17,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,137,0,Comunidad Valenciana
2019,11,17,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,700159,10,Comunidad Valenciana
2019,11,1,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,6025,0,Andalucía
2019,11,1,PUM+J,POR UN MUNDO MÁS JUSTO,5256,0,Andalucía
2019,11,2,AUNACV,AUNA COMUNITAT VALENCIANA,13,0,Aragón
2019,11,2,FIA,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN,461,0,Aragón
2019,11,5,PUM+J,POR UN MUNDO MÁS JUSTO,871,0,Canarias
2019,11,5,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,994,0,Canarias
2019,11,6,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,76028,1,Cantabria
2019,11,8,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,8085,0,Castilla y León
2019,11,8,XAV,POR ÁVILA,5416,0,Castilla y León
2019,11,9,ECP-GUANYEM,EN COMÚ PODEM-GUANYEM EL CANVI,549173,7,Cataluña
2019,11,9,ERC-SOBIRANISTES,ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES,874859,13,Cataluña
2019,11,9,MÁS PAÍS,MÁS PAÍS,41826,0,Cataluña
2019,11,10,PODEMOS-IU,UNIDAS PODEMOS,54072,0,Extremadura
2019,11,12,VOX,VOX,653476,7,Madrid
2019,11,13,PCTE/ELAK,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA/ES,381,0,Navarra
2019,11,14,EH Bildu,EUSKAL HERRIA BILDU,221073,4,País Vasco
2019,11,15,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,990,0,Murcia
2019,11,17,UIG-SOM-CUIDES,SOM VALENCIANS EN MOVIMENT,2339,0,Comunidad Valenciana
2019,11,18,PP,PARTIDO POPULAR,7439,0,Ceuta
2019,11,19,PUM+J,POR UN MUNDO MÁS JUSTO,31,0,Melilla
2019,11,3,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,843,0,Asturias
2019,11,5,CONTIGO,CONTIGO SOMOS DEMOCRACIA,594,0,Canarias
2019,11,6,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,262,0,Cantabria
2019,11,8,PDSJE,PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS,115,0,Castilla y León
2019,11,9,PUM+J,PER UN MÓN MÉS JUST,2436,0,Cataluña
2019,11,13,VOX,VOX,19440,0,Navarra
2019,11,14,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,13279,0,País Vasco
2019,11,15,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,53201,0,Murcia
2019,11,16,PODEMOS-IU,UNIDAS PODEMOS,16273,0,La Rioja
2019,11,17,PP,PARTIDO POPULAR,584415,8,Comunidad Valenciana
2019,11,18,VOX,VOX,11752,1,Ceuta
2019,11,19,LOS VERDES,LOS VERDES,101,0,Melilla
2019,11,19,VOX,VOX,5692,0,Melilla
2019,11,1,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1425126,25,Andalucía
2019,11,2,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,96,0,Aragón
2019,11,2,PUM+J,POR UN MUNDO MÁS JUSTO,673,0,Aragón
2019,11,2,PYLN,PUYALON,630,0,Aragón
2019,11,5,PH,PARTIDO HUMANISTA,276,0,Canarias
2019,11,6,PODEMOS-IU,UNIDAS PODEMOS,28376,0,Cantabria
2019,11,7,PDSJE,PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS,431,0,Castilla-La Mancha
2019,11,7,PODEMOS-IU,UNIDAS PODEMOS,100284,0,Castilla-La Mancha
2019,11,10,EXTREMADURA UNIDA,EXTREMADURA UNIDA,1347,0,Extremadura
2019,11,11,EB,ESCANOS EN BRANCO,692,0,Galicia
2019,11,15,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,177154,3,Murcia
2019,11,15,VOX,VOX,199829,3,Murcia
2019,11,18,PUM+J,POR UN MUNDO MÁS JUSTO,43,0,Ceuta
2019,11,19,CpM,COALICIÓN POR MELILLA,8955,0,Melilla
2019,11,2,VOX,VOX,118936,1,Aragón
2019,11,3,PP-FORO,PARTIDO POPULAR-FORO,129945,2,Asturias
2019,11,4,M PAÍS,MÁS PAÍS,10652,0,Baleares
2019,11,4,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,115567,2,Baleares
2019,11,5,VERDES,LOS VERDES,3186,0,Canarias
2019,11,6,PUM+J,POR UN MUNDO MÁS JUSTO,187,0,Cantabria
2019,11,8,centrados,CENTRADOS,234,0,Castilla y León
2019,11,8,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,291,0,Castilla y León
2019,11,9,JxCAT-JUNTS,JUNTS PER CATALUNYA-JUNTS,530225,8,Cataluña
2019,11,9,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,44585,0,Cataluña
2019,11,10,PP,PARTIDO POPULAR,154269,3,Extremadura
2019,11,11,PP,PARTIDO POPULAR,475198,10,Galicia
2019,11,12,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,957401,10,Madrid
2019,11,12,RECORTES CERO-GV-PCAS-TC,RECORTES CERO-GRUPO VERDE-PARTIDO CASTELLANO-TIERRA COMUNERA,5129,0,Madrid
2019,11,13,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,2250,0,Navarra
2019,11,14,PP,PARTIDO POPULAR,104746,1,País Vasco
2019,11,15,PODEMOS-IU,UNIDAS PODEMOS,63461,1,Murcia
2019,11,16,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,263,0,La Rioja
2019,11,18,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,1138,0,Ceuta
2019,11,1,IZAR,IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA,113,0,Andalucía
2019,11,1,MÁS PAÍS-AN,MÁS PAÍS-ANDALUCÍA,56445,0,Andalucía
2019,11,2,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,4565,0,Aragón
2019,11,2,PODEMOS-IU,UNIDAS PODEMOS,75892,1,Aragón
2019,11,3,PODEMOS-IX,UNIDAS PODEMOS-XUNÍES PODEMOS,89301,1,Asturias
2019,11,5,PODEMOS-IU,UNIDAS PODEMOS,139261,2,Canarias
2019,11,5,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,273596,5,Canarias
2019,11,6,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,247,0,Cantabria
2019,11,6,P-LIB,PARTIDO LIBERTARIO,126,0,Cantabria
2019,11,6,VOX,VOX,48827,1,Cantabria
2019,11,8,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,1741,0,Castilla y León
2019,11,11,BNG,BLOQUE NACIONALISTA GALEGO,120456,1,Galicia
2019,11,11,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,1867,0,Galicia
2019,11,11,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,2173,0,Galicia
2019,11,12,PODEMOS-IU,UNIDAS PODEMOS,463629,5,Madrid
2019,11,14,SOLIDARIA,PARTIDO DE ACCIÓN SOLIDARIA EUROPEA,270,0,País Vasco
2019,11,15,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,7005,0,Murcia
2019,11,17,PUM+J,POR UN MUNDO MÁS JUSTO,2327,0,Comunidad Valenciana
2019,11,1,EB,ESCAÑOS EN BLANCO,1273,0,Andalucía
2019,11,2,EB,ESCAÑOS EN BLANCO,2333,0,Aragón
2019,11,3,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,732,0,Asturias
2019,11,4,P-LIB,PARTIDO LIBERTARIO,372,0,Baleares
2019,11,5,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,50997,0,Canarias
2019,11,5,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,11946,0,Canarias
2019,11,5,PP,PARTIDO POPULAR,196809,4,Canarias
2019,11,6,EB,ESCAÑOS EN BLANCO,259,0,Cantabria
2019,11,11,PODEMOS-EU,EN COMÚN-UNIDAS PODEMOS,188231,2,Galicia
2019,11,14,EB,ESCAÑOS EN BLANCO-AULKI ZURIAK,570,0,País Vasco
2019,11,14,PODEMOS-IU,ELKARREKIN PODEMOS-UNIDAS PODEMOS,182674,3,País Vasco
2019,11,16,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,57485,2,La Rioja
2019,11,19,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,917,0,Melilla
2019,11,3,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,4412,0,Asturias
2019,11,3,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,186211,3,Asturias
2019,11,8,P-LIB,PARTIDO LIBERTARIO,70,0,Castilla y León
2019,11,8,UPL,UNIÓN DEL PUEBLO LEONÉS,10243,0,Castilla y León
2019,11,8,VOX,VOX,230743,6,Castilla y León
2019,11,9,IZQP,IZQUIERDA EN POSITIVO,1891,0,Cataluña
2019,11,11,C 21,CONVERXENCIA 21,72,0,Galicia
2019,11,11,PCTG,PARTIDO COMUNISTA DOS TRABALLADORES DE GALIZA,1258,0,Galicia
2019,11,12,PP,PARTIDO POPULAR,887474,10,Madrid
2019,11,13,EH Bildu,EUSKAL HERRIA BILDU,56548,1,Navarra
2019,11,17,PODEMOS-EUPV,UNIDAS PODEMOS-UNIDES PODEM,339596,4,Comunidad Valenciana
2019,11,1,AxSÍ,ANDALUCÍA POR SÍ,14046,0,Andalucía
2019,11,1,PP,PARTIDO POPULAR,877202,15,Andalucía
2019,11,2,MAS,MOVIMIENTO ARAGONES SOCIAL,1068,0,Aragón
2019,11,2,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,215361,6,Aragón
2019,11,3,PH,PARTIDO HUMANISTA,366,0,Asturias
2019,11,5,MÁS PAÍS-EQ,MÁS PAÍS-EQUO,14972,0,Canarias
2019,11,5,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,1192,0,Canarias
