categoria_revision,año_video,canal,titulo_video,texto,nivel_manual,expresion_detectada,observaciones
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,A Pablo motos o le llevas invitados como Sergio Ramos o Mario Vaquerizo o se le complican las entrevistas,,,
inmigracion,2019,laSexta,El papa Francisco reflexiona sobre inmigración con una concertina en la mano - Salvados,Menudo quilombo Padre,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,Muy bien tt Abascal!!,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"España es un pais como otro con sus mas y con sus menos pero gracias a Dios vivimos bien, deseo de todo corazon que las personas de otros paises acaben siendo felices aqui, saludos de una Española.",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Qué bien canta,me hizo llorar 😢saludos desde mexicali.",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Esta canción es de los tigres del Norte, gran canción",,,
inmigracion,2019,VOX España,Santiago Abascal responde duramente a los que atacan a VOX,ARRIBA ESPAÑA FUERA COMUNISTAS,,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,"¡¡ Dios, que programas más sesgado dios mío !!. Menos mal que ya nadie se cree este documentalismo. Como si hoy no existiera pobreza, chavolismo, accidentes, ... El periodismo histórico focalizado en el dato minúsculo sobre la mayoría general y el negativismo por encima de la grandeza del personajes y los grandes logros en una época en la que los eternos enemigos seguían boicoteando, os hace partícipes de la revitalización de este gran estratega español.",,,
inmigracion,2023,AMS Abogados,¿LEY DE BISNIETOS? ¿NACIONALIDAD ESPAÑOLA A TRAVÉS DE MI BISABUELO?,"Mi bisabuela nació en 1898 en Cuba, hija de españoles emigrados , ya mi abuela que es su hija y mi padre hijo de mi abuela son  fallecidos ¿ Puedo hacer algo? Por favor digame .",,,
inmigracion,2016,EXCELSIOR,"‘Islam dominará paulatinamente a Europa’, en opinión de Francisco Zea","Año 2023
... y se esta dando... paren por favor",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Que lindo areglas niño, lindo  cantas",,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,Soy cubana con ciudadanía española tengo un hijo de 35 años su esposa y dos niños vive en Ecuador en hace 8j años está esperando la ciudania Española para emigrar a España con su familia,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;VOX no tiene una posición sobre Franco&quot; - El Hormiguero 3.0,2. Que respeto le tiene Pablo a Santiago?,,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,Por eso doy gracias al de arriba de como sea mi Chile es un paraíso.,,,
inmigracion,2019,El Mundo,Un día con Santiago Abascal (Vox) en la Granada &#39;reconquistada&#39;,Tanto fake news tanto fake news y Mira todo lo que salís por la prensa desde que hay dinero...,,,
inmigracion,2019,Madridiario,"Entrevista con Rocío Monasterio, líder de VOX en Madrid","Y dice que si un anciano llama al 116   le cuelgan, que mentirosa. El 116 no puede colgar llame quien llame, es más en la mayoria de los casos de violencia de género no llama la mujer llama alguien que ve la situación muchas veces hombres, si llama un anciano le atienden igual sino es negación de auxilio y se les cae el pelo, que mala es esta mujer.",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,Linda canción!!! Un aplauso por favor!!!!,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Solo el que carga el morral sabe lo que lleva dentro..
Todos los que de alguna forma salimos por la cuestión que sea . Somos lo que es estar retirado de nuestros seres queridos , se sufre , se recuerda , y se llora mucho...",,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,Abandonemaner,,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,Espera 2 semanas.,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,Es oro esta entrevista,,,
inmigracion,2019,Código Nuevo,Inmigración ¿Hay sitio para todos? | Reportaje | Código Nuevo,"Españoles castellanos sólo hay dos o tres, hasta los vídeos de derecha muestran ideologías opuestas, pero por casualidad todos piensan igual",,,
inmigracion,2019,Morenazo RXX,Santiago Abascal En Ceuta ( Frontera inmigración ),"Saludos a nuestros compatriotas Ceutíes. Las ideas claras; las convicciones firmes; las propuestas sensatas, lógicas; la defensa del territorio nacional español prioritaria; y la defensa de los Valores de nuestra Nación como emblema de este  GRAN PARTIDO QUE ES VOX. *Mi aplauso a Abascal y mi voto a VOX.*",,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,"I misread the title and expected the Spanish Inquisition.
but .... no one expects the Spanish Inquisition.😃",,,
inmigracion,2019,Madridiario,"Entrevista con Rocío Monasterio, líder de VOX en Madrid",Otra fascista.,,,
inmigracion,2019,VOX España,Santiago Abascal en tierras gallegas con la España Viva,"Una gran Nación merece un gran equipo que lleve las riendas, ánimo Vox a seguir muchos años con ese entusiasmo por España 🇪🇸🇪🇸🇪🇸",,,
inmigracion,2023,Roberto Vaquero,Sobre la INMIGRACIÓN en ESPAÑA #shorts,Ole tus cojones,,,
inmigracion,2019,elDiarioes,Segundo debate de investidura | Intervención completa de Santiago Abascal,Lo que no ha podido decir el Rey lo está diciendo Santiago Abascal,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,Tenía 13 sin volver a casa en California con todos mis padres y hermanos ahora que me regreso tengo ganas de estar en mi lindo michoacan junto a mis dos nińas tan hermosas tan únicas y a lado de mi esposa bueno no estamos casados pero es mi sueño volver volver,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,"Abascal. Donde has estado todos estos años?
Si señor, verdades como puños, no me cabe duda.",,,
inmigracion,2019,Código Nuevo,Inmigración ¿Hay sitio para todos? | Reportaje | Código Nuevo,Me encanta el señor de la gorra blanca con gafas 😍😍,,,
inmigracion,2023,Soy Fabian Dicosta,ASÍ VIVEN LOS INMIGRANTES en los PUEBLOS DE ESPAÑA Que te PAGAN Por VIVIR Y TRABAJAR (Entrevistas),"Me parece educativo el video pero no detalla el tema industrial, productivo, salarial",,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,Viva vox,,,
inmigracion,2019,VOX España,Santiago Abascal denuncia en el Congreso la pasividad con la inmigración masiva.,"VOX, teneis mi voto garantizado en futuras elecciones, sean autonomicas, europeas o nacionales, por vuestra defensa del sentido comun, el menos comun de los sentidos",,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,....Mi vida la deje entre ceuta de Gibraltar,,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,"soy de cdmx, 2026, viendo esto hace valorar la vida y país de un@ mism@.  No podemos seguir quejándonos sin saber un poco de los demás, imposible :(. Gracias por este material.",,,
inmigracion,2019,laSexta,El papa Francisco reflexiona sobre inmigración con una concertina en la mano - Salvados,entonces el muro que hay alrededor del vaticano es para que no entre el agua cuando llueve mucho?,,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,Hola buenas tardes vivo en Gasteiz como puedo llegar a la empresa,,,
inmigracion,2019,VOX España,Colosal réplica de Santiago Abascal en la tribuna del Congreso 💪🇪🇸,Que bien que ya puedas decirles a la cara a esa panda de inútiles las cosas como son,,,
inmigracion,2023,Voice of America,Spain Welcomes Immigrants in Battle Against Depopulation,Who wants to live and raise kids in a village. Ultimately you have to move to big cities.,,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,"I'm mexican, I came to live in spain 3 years ago, this is extremelly acurate.",,,
inmigracion,2019,El Mundo,Un día con Santiago Abascal (Vox) en la Granada &#39;reconquistada&#39;,"Otro voto, el mio, xa Vox",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,Bellísima,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;VOX no tiene una posición sobre Franco&quot; - El Hormiguero 3.0,"En algunos temas podría estar de acuerdo, pero cuando ves el fondo, buff dices, qué me ha pasado. Nooooooooo",,,
inmigracion,2019,El Toro TV,El fraude de los menas en España,"Pobrecitos 😢, y porque no los mandan a su país con sus padres o abuelos que alomejor los echan de menos, y que los mantengan Ally el rey de ellos que está forrado, Abascal presidente de España ya",,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,Santiago vas a atacAr o a trabajar por España?,,,
inmigracion,2019,elDiarioes,Segundo debate de investidura | Intervención completa de Santiago Abascal,Que bien..a la ..ni mas alto ni. mas claro!!!..como jode ehhh..las cosas comoson!!!,,,
inmigracion,2019,VOX España,Santiago Abascal denuncia en el Congreso la pasividad con la inmigración masiva.,"Santiago por y para españa, te apoyamos y te seguimos.",,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,No miro más al hormiguero como le hace las preguntas para ponerlo en situaciónes de quedar mal.. motos 🖕,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,"Grande, Santiago Abascal👏👏👏💯",,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,Q miedo que da esta mujer????,,,
inmigracion,2019,La Nicoteca,🤔🤔🤔AYUDAS A INMIGRANTES EN ESPAÑA - La Nicoteca,PARA MÁS VÍDEOS AQUÍ!! 👉👉👉https://www.youtube.com/user/brutusbaruno/featured?sub_confirmation=1,,,
inmigracion,2023,La Voz De Hispanoamérica,Pasar inmigración en España – ¿Cómo evitar que te denieguen la entrada?,Hola ! Soy dominicano estoy en Turquía con una invitación por 3 meses y quiero cruzar a españa se puede??otra cosa solo tengo 17 años,,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,Yo diria que los italianos son argentinos en realidad.,,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,"As a Spaniard who is not neither from Andalucía, Valencia or Barcelona, I'd say, yes to all of this.",,,
inmigracion,2019,VOX España,Santiago Abascal responde duramente a los que atacan a VOX,Sois INVOLUCIÓN,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,💯 % La carta es la realidad de mucha gente y muchos no regresan a su pueblo,,,
inmigracion,2016,David PB,Cesar Vidal hablando claro sobre la inmigración en España.,"Menos en lo que todos los españoles somos tontos ,
No somos todos tontos ,yo no le lo considero por mí no gobernaria ningún memo.",,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,Cabra y otros muchos pueeeeeeblos también los bombardeó la Legion Cóndor?,,,
inmigracion,2019,COPE,"Herrera entrevista a Santiago Abascal, presidente de Vox","Da gusto escuchar a este hombre, tiene la paz del que sabe que lleva la verdad y la buena intención hacia los demás. Saludos desde Navarra",,,
inmigracion,2019,Europa Press,Abascal a Rodríguez:&quot;Si son sus niños que los meta en casa&quot;,Bueno bueno ya veremos k pasa porque a lo mejor dice mucho pero después no cumple con nada pero si en ese partido son machistas adónde vas Abascal mintiendo,,,
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),Vengo por Auron es un temazo🖤,,,
inmigracion,2023,elDiarioes,🚫 Desmontamos el #bulo del nuevo cartel de #Vox contra las personas #inmigrantes #shortvideo,Vox 💚,,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,Dejar de hipócritas quien quiera ayudar me parece muy digno pero que lo hagan con sus propios medios.,,,
inmigracion,2019,GranCanariaTv.com,"&quot;Mujeres, homosexuales y catalanes nos apoyan&quot; Primer discurso de Santiago Abascal (VOX) en Congreso",Uno más que se une a vox.,,,
inmigracion,2019,Antena 3,Santiago Abascal sobre adopción gay: &quot;Se prefiere que un niño tenga padre y madre&quot; - El Hormiguero,La adopcion no es un derecho del adoptante Pablo Motos. Es del niño a ser adoptado. No te confundas,,,
inmigracion,2023,Audi Rodríguez ,Recomendación al momento de la Entrevista con el Oficial de Migración #temasmigratorios #migracion,"Eso es pura MIERDA hoy 28 de marzo 2025 me la negaron ,antes tenia la cita 2026 y me enviaron un correo para adelantarla igual me la negaron,y aquí vienen esos gringos y les ponen alfombra roja😢",,,
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),Muy Bueno 🇵🇹🇵🇹,,,
inmigracion,2019,VOX España,Abrumador apoyo a VOX y Santiago Abascal en Guadalajara,"Vamos a movilizarnos de verdad en las elecciones,sacaremos más votos",,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,Se llevan estupendo los dos.. y eso es genial.,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;VOX no tiene una posición sobre Franco&quot; - El Hormiguero 3.0,"viva VOX 
VIVA ABASCAL
VIVA ESPAÑA",,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,"En el año 49 se acabó la cartilla de racionamiento. 
Duró 10 años. 
En Cuba el racionamiento empieza en el año 59...hasta el 2023.
Eso es un buen comunismo. 
Menos mal que aquí no llegaron",,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,Esto pasa en todo el mundo no solo en España.,,,
inmigracion,2019,VOX España,Colosal réplica de Santiago Abascal en la tribuna del Congreso 💪🇪🇸,"Este SEÑOR,  debe llegar a ser PRESIDENTE DE ESPAÑA 🇪🇸.  Los españoles no delincuentes nos lo merecemos.",,,
inmigracion,2019,VOX España,El vídeo que los progres y las mafias de la inmigración no quieren que veas,Cuanta mentira juntaa 🤢🤢🤮🤮,,,
inmigracion,2019,VOX España,🇪🇸 Minuto de Oro de Santiago Abascal 🇪🇸,"es brutal, es simplemente EL PUTO AMO, VIVA ESPAÑA, VIVA ABASCAL Y VIVA VOX!!!!!!!!!!!!!  españa siempre!!!",,,
inmigracion,2019,VOX España,El vídeo que los progres y las mafias de la inmigración no quieren que veas,Jodo mas claro agua 👏👏👏👏👏👏,,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,🤣🤣🤣🤣🤣🤣,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"Es chungo encontrar trabajo estable para nosotros peor para ustedes 
Deve ser muy duro",,,
inmigracion,2019,DMAX España,La dictadura franquista a ojos de la comunidad internacional | España después de la Guerra,Todo tranquilo  tu cres,,,
inmigracion,2019,laSexta,El papa Francisco reflexiona sobre inmigración con una concertina en la mano - Salvados,"""El mundo se olvidó de llorar"". Ésto me conmovió mucho.",,,
inmigracion,2023,Soy Fabian Dicosta,ASÍ VIVEN LOS INMIGRANTES en los PUEBLOS DE ESPAÑA Que te PAGAN Por VIVIR Y TRABAJAR (Entrevistas),"Saludos Fabián muy bueno tú contenido soy un Venezolano en Madrid casi dos años y realmente cómo a muchos nos gustaría la tranquilidad de vivir en un lindo y acogedor pueblo ... El tema que detiene es el trabajo que casi no hay para ofrecer, por favor enfoca un poco más en indagar de que se puede vivir o que empresas existen en estos hermosos lugares que visitas. Éxitos🎉 ahh te sigo 👍🏼",,,
inmigracion,2019,VOX España,Abrumador apoyo a VOX y Santiago Abascal en Guadalajara,"Viva la Virgen del Pilar, viva España y sus tradiciones, viva todos los Españoles de bien, tenemos que cambiar España votando a VOX.....!!!",,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,Que pesar y tristeza pobre gente,,,
inmigracion,2019,COPE,"Herrera entrevista a Santiago Abascal, presidente de Vox","Mi voto y el de mi familia para VOX.
España necesita a VOX.
Bravo Abascal, el mejor Presidente y el mejor equipo VOX.",,,
inmigracion,2023,Periodista Digital,"💥ABASCAL💥: &quot;Queremos una INMIGRACIÓN LEGAL y de Hispanoamérica, con nuestros VALORES Y CULTURA&quot;",Ay que darles oportunidad a todos .siempre .,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,VERGÜENZA. NO LE DEN ALAS AL ODIO...YA OCURRIÓ ANTES ... MENUDO PERSONAJE...QUE HORROR.,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,no nos metamos mentiras...la gente no se va por la inseguridad del pais donde viven ...le gente se va por la ambicion al dinero !,,,
inmigracion,2019,Cadena SER,Las mentiras de Vox sobre inmigración,Tu sí que vas menos a estudios… 🤣🤣🤣,,,
inmigracion,2019,Madridiario,"Entrevista con Rocío Monasterio, líder de VOX en Madrid","si, si, esta sra me gusta lo que dice y como lo dice.",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"19 años 8 meses 8 dias un chingo de sudor y sacrificio compita, 
Estoy contando las horas salgo en 3 dias para mi pueblito con una mezcla de alegria y tristeza por que ya varios no estan, gracias por esta cancion 😔",,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,"cuando veo cosas de Galicia se me pone un nudo en la garganta, mi abuelo nació en Lugo",,,
inmigracion,2019,VOX España,Santiago Abascal denuncia en el Congreso la pasividad con la inmigración masiva.,Adelante Vox! a terminar con la pseudo corrección política que sugiere la izquierda autoritaria! Saludos desde Argentina!,,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,"Debemos valorar  el
Entorno en que vivimos ,,  es triste andar migrando , lo hice muy joven ,, y le truena ,, logre salir adelante en mi tierra , me case , tengo dos hijos y soy un comerciante exitoso ,, ojalá todos aquellos q emprenden ese peligroso viaje logren salir adelante como yo lo hice , que Dios los proteja en su destino",,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,😂😂😂👍,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"Pues yo todas las conpañeras que e tenido viven económicamente mejor que yo,y yo siempre las trate igual que a los de aquí,está claro que hay de todo",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Aki estoy ase mas de
Yegue en el 93 y aki estoy y’a ni madre ni padre boy aencontrar",,,
inmigracion,2016,laSexta,Una detenida se niega a identificarse a la Policía – Policías en Acción,Nunca he visto una fábrica de papel aluminio de paisano con vu,,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,Jajjajajaja que loquera las diferencias entre al español de España y el Americano.,,,
inmigracion,2015,DW Español,"Francia: musulmanes, no gracias | Enfoque Europa","Yo he comentado en otros foros, como Europa no tome acciones con esta gente la van a pasar muy mal.",,,
inmigracion,2016,laSexta,Una detenida se niega a identificarse a la Policía – Policías en Acción,Un Ejemplo a Seguir este Sr Policia !! Menuda Paciencia........,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,Wow que hermosa cansion😯   y que vonito la canta el chavo vendiciones,,,
inmigracion,2019,VOX España,Santiago Abascal en Roma &quot;España fue vacunada contra la inmigración islámica&quot;,"Cada vez que oigo a Santiago Abascal y veo su valentía, me da un subidón de que todo tiene solución, adelante VOX somos muchos los que confiamos en vosotros, fuerza y ánimo para seguir defendiendo nuestra Identidad, nuestra Nación, nuestra cultura.
Arriba España 🇪🇸
Con Dios 🙏
Y con VOX 💚",,,
inmigracion,2016,laSexta Noticias,Las dificultades de los refugiados en España,maría jesus vega,,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,"Q lastima, q tiene límite de edad. Es una pena...",,,
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),Me encanta 🤩 es súper chulo y tú Ana eres muy guapa,,,
inmigracion,2019,N+ UNIVISION,"Mexicanos creen encontrar en España mejor acogida, pero la mayoría de sus solicitudes son rechazadas",Se supone que mejico es una democracia. Una democracia jamas puede tener gente perseguida por ideas o tendencia sexual,,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,Colombia y Marruecos España tendría ke mirar los delitos y espulsiones masivas,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"Las entrevistas de este señor, están sesgadas. Todos  cuentan una historia parecida. Pareciera que esta haciendo labor para que no vengan.....pues nada a Estados Unidos",,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,Que Rica historia españa👏👏,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,Me hiso llorar 😢😢,,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,Gracias Europa los españoles estamos súper contento de ser invadidos,,,
inmigracion,2023,The Wild Project,¿Es España un país racista?,Y como te pagaste los estudios y la comida y todo lo demás???,,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,PRIMERO LOS ESPAŃOLES 🇪🇸,,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,pensé que era venezolano cuando salió del colchón,,,
lgtbi,2016,Roberto Pérez Toledo (mividarueda),Cortometraje SÍ A TODO,Thanks very much for the subtitles.  It's delightful.,,,
lgtbi,2019,euronews (en español),Grupos ultranacionalistas polacos atacan el primer desfile LGTBI de la historia de Bialystok,Bravo Polonia,,,
lgtbi,2019,Movistar Plus,Perdóname | S2 E5 CLIP 4 | SKAM España,So apparently the whole kiss wasn't scripted THE TALENT jumped out,,,
lgtbi,2016,Fortfast WTF,HOMOSEXUALIDAD en Italia,Entonces ¿estamos en 2026 o no?,,,
lgtbi,2015,Eli Navarro,VECINAS. Cortometraje. LGBT. Lesbico,Que linda es gloria 😈😈😈,,,
lgtbi,2019,Movistar Plus,Perdóname | S2 E5 CLIP 4 | SKAM España,The hug though 😭❤️,,,
lgtbi,2016,Tardigrada Cine,AGUA / WATER,La canción la desaparecieron de todos LADOS! 😭,,,
lgtbi,2019,Movistar Plus,Perdóname | S2 E5 CLIP 4 | SKAM España,alguém do brasil aqui ?? 2022 ??,,,
lgtbi,2016,Latina Noticias,¿Qué harías si tu hijo confiesa ser homosexual? Esto dijo el público,lo asecto,,,
lgtbi,2019,euronews (en español),Grupos ultranacionalistas polacos atacan el primer desfile LGTBI de la historia de Bialystok,Viva la heterosexualidad ✊,,,
lgtbi,2023,Ministerio de Igualdad,España es #OrgullosamenteDiferente,J’adore cette vidéo continuez comme ça ?! ❤,,,
lgtbi,2015,Idan Matalon,"Pero tu me lo prometiste que ir a Paris, a Roma, España !!",Me encanta Eliad Cohen 🥰😘,,,
lgtbi,2023,El Punto Blanco,🌈 ESTE ES EL NIVEL Y LA ESTUPIDED DE ESPAÑA HOY DIA #shorts #nivel #españa #igualdad #lgtbi #vox,Lo que es entenderse no se entiente la verdad,,,
lgtbi,2016,Enrique Bailleres,"Así reaccionan a la homofobia en Madrid, Impresionante",Esto es fake en España no hablamos inglés  😂,,,
lgtbi,2019,DMAX España,Así es la situación de los intersexuales en España | Tanto X Ciento,"Hace 1 año me enteré de esto investigando, claro por qué nadie te lo dice inclusive en las escuelas yo solo al darme cuenta de estas situaciones me entró una gran tristeza y casi a todas las personas que e conocido por lo que investigado que son así son unas excelentes personas con un gran corazón y me da rabia que no se investigue sobre esto que lo causa o es algo normal y por qué no los emos apoyado, me pesa tanto saber que todavía con lo difícil que es saber que tienen que estar en control hormonal o que fueron operados de bebés , todavía la gente lo juzgue y los cuestione. No e conocido nadie así pero si lo llegara a conocer lo respetaría por qué también son seres humanos que merecen ser libres. Y en este momento pienso que no debería existir la vestimenta de género si no unisex como en la época antes de Cristo.",,,
lgtbi,2015,Eli Navarro,VECINAS. Cortometraje. LGBT. Lesbico,"M encanta este corto metraje ,",,,
lgtbi,2019,Axel Barranco,Trio Amoroso - GAY SHORTFILM,Skateboarder badboys in my videos,,,
lgtbi,2019,LQNV Producciones,Lo Que No Ves - LGTB Short Film,Joder estoy llorando fue muy lindo :'),,,
lgtbi,2019,Movistar Plus,Perdóname | S2 E5 CLIP 4 | SKAM España,Need una criss en mi vida ptmr,,,
lgtbi,2023,Hablando Huevadas,Un peruano japonés en  #hablandohuevadas  #humor #fyp,"Oigan, ¿Por hay tantos japoneses en Perú? Yo soy de Colombia, pero según noto, en Perú veo a muchos japoneses específicamente",,,
lgtbi,2023,CRITICALANDIA,LOS 10 PAÍSES MÁS LGBT DEL MUNDO,Lo suponía,,,
lgtbi,2019,LQNV Producciones,Lo Que No Ves - LGTB Short Film,👏👏👏👏y buena musica excelente,,,
lgtbi,2019,Movistar Plus,Perdóname | S2 E5 CLIP 4 | SKAM España,"The way they kiss, that eye to eye contact, the sweet touches, love it. I love these girls. Thank you Skam España!",,,
lgtbi,2016,Fortfast WTF,HOMOSEXUALIDAD en Italia,"si, deben adoptar y casarse y hacer todos lo que quieran",,,
lgtbi,2019,euronews (en español),Grupos ultranacionalistas polacos atacan el primer desfile LGTBI de la historia de Bialystok,"Si no estamos de acuerdo tenemos derecho a manifestarnos ,muy bien por Polonia",,,
