comunidad,indicador,año,valor
Extremadura,Gini,2012,32.8
Extremadura,Gini,2011,33.2
Extremadura,Gini,2010,34.0
Extremadura,Gini,2009,32.6
Extremadura,Gini,2008,32.2
Galicia,Desigualdad (S80/S20),2025,4.6
Galicia,Desigualdad (S80/S20),2024,4.2
Galicia,Desigualdad (S80/S20),2023,4.4
Galicia,Desigualdad (S80/S20),2022,4.5
Galicia,Desigualdad (S80/S20),2021,5.1
Galicia,Desigualdad (S80/S20),2020,5.3
Galicia,Desigualdad (S80/S20),2019,5.2
Galicia,Desigualdad (S80/S20),2018,5.4
Galicia,Desigualdad (S80/S20),2017,5.8
Galicia,Desigualdad (S80/S20),2016,5.5
Galicia,Desigualdad (S80/S20),2015,5.5
Galicia,Desigualdad (S80/S20),2014,5.0
Galicia,Desigualdad (S80/S20),2013,4.8
Galicia,Desigualdad (S80/S20),2012,5.4
Galicia,Desigualdad (S80/S20),2011,5.0
Galicia,Desigualdad (S80/S20),2010,5.0
Galicia,Desigualdad (S80/S20),2009,4.6
Galicia,Desigualdad (S80/S20),2008,4.6
Galicia,Gini,2025,28.4
Galicia,Gini,2024,26.8
Galicia,Gini,2023,27.4
Galicia,Gini,2022,28.0
Galicia,Gini,2021,29.2
Galicia,Gini,2020,29.7
Galicia,Gini,2019,30.5
Galicia,Gini,2018,30.9
Galicia,Gini,2017,30.8
Galicia,Gini,2016,31.5
Galicia,Gini,2015,31.5
Galicia,Gini,2014,30.7
Galicia,Gini,2013,30.0
Galicia,Gini,2012,31.1
Galicia,Gini,2011,30.1
Galicia,Gini,2010,30.2
Galicia,Gini,2009,28.7
Galicia,Gini,2008,29.4
Madrid,Desigualdad (S80/S20),2025,5.1
Madrid,Desigualdad (S80/S20),2024,5.5
Madrid,Desigualdad (S80/S20),2023,5.3
Madrid,Desigualdad (S80/S20),2022,5.7
Madrid,Desigualdad (S80/S20),2021,6.3
Madrid,Desigualdad (S80/S20),2020,5.8
Madrid,Desigualdad (S80/S20),2019,6.5
Madrid,Desigualdad (S80/S20),2018,6.3
Madrid,Desigualdad (S80/S20),2017,7.7
Madrid,Desigualdad (S80/S20),2016,7.2
Madrid,Desigualdad (S80/S20),2015,6.9
Madrid,Desigualdad (S80/S20),2014,6.5
Madrid,Desigualdad (S80/S20),2013,6.1
Madrid,Desigualdad (S80/S20),2012,6.5
Madrid,Desigualdad (S80/S20),2011,6.1
Madrid,Desigualdad (S80/S20),2010,5.9
Madrid,Desigualdad (S80/S20),2009,6.3
Madrid,Desigualdad (S80/S20),2008,5.6
Madrid,Gini,2025,30.6
Madrid,Gini,2024,31.8
Madrid,Gini,2023,31.6
Madrid,Gini,2022,32.4
Madrid,Gini,2021,33.4
Madrid,Gini,2020,32.9
Madrid,Gini,2019,34.7
Madrid,Gini,2018,33.4
Madrid,Gini,2017,35.1
Madrid,Gini,2016,35.0
Madrid,Gini,2015,34.7
Madrid,Gini,2014,33.7
Madrid,Gini,2013,32.9
Madrid,Gini,2012,33.9
Madrid,Gini,2011,34.1
Madrid,Gini,2010,32.2
Madrid,Gini,2009,33.5
Madrid,Gini,2008,31.9
Murcia,Desigualdad (S80/S20),2025,5.1
Murcia,Desigualdad (S80/S20),2024,5.1
Murcia,Desigualdad (S80/S20),2023,4.5
Murcia,Desigualdad (S80/S20),2022,5.2
Murcia,Desigualdad (S80/S20),2021,5.3
Murcia,Desigualdad (S80/S20),2020,4.7
Murcia,Desigualdad (S80/S20),2019,4.7
Murcia,Desigualdad (S80/S20),2018,5.9
Murcia,Desigualdad (S80/S20),2017,5.6
Murcia,Desigualdad (S80/S20),2016,5.9
Murcia,Desigualdad (S80/S20),2015,6.6
Murcia,Desigualdad (S80/S20),2014,6.1
Murcia,Desigualdad (S80/S20),2013,6.5
Murcia,Desigualdad (S80/S20),2012,5.1
Murcia,Desigualdad (S80/S20),2011,4.7
Murcia,Desigualdad (S80/S20),2010,5.8
Murcia,Desigualdad (S80/S20),2009,5.7
Murcia,Desigualdad (S80/S20),2008,5.1
Murcia,Gini,2025,29.6
Murcia,Gini,2024,29.4
Murcia,Gini,2023,28.3
Murcia,Gini,2022,29.3
Murcia,Gini,2021,30.1
Murcia,Gini,2020,28.8
Murcia,Gini,2019,28.9
Murcia,Gini,2018,31.7
Murcia,Gini,2017,31.4
Murcia,Gini,2016,32.0
Murcia,Gini,2015,33.3
Murcia,Gini,2014,33.7
Murcia,Gini,2013,31.1
Murcia,Gini,2012,29.7
Murcia,Gini,2011,29.7
Murcia,Gini,2010,31.5
Murcia,Gini,2009,31.9
Murcia,Gini,2008,30.6
Navarra,Desigualdad (S80/S20),2025,4.9
Navarra,Desigualdad (S80/S20),2024,5.5
Navarra,Desigualdad (S80/S20),2023,5.5
Navarra,Desigualdad (S80/S20),2022,5.4
Navarra,Desigualdad (S80/S20),2021,5.1
Navarra,Desigualdad (S80/S20),2020,4.5
