comunidad,indicador,año,valor
Ceuta,Gini,2018,42.2
Ceuta,Gini,2017,39.8
Ceuta,Gini,2016,35.6
Ceuta,Gini,2015,35.0
Ceuta,Gini,2014,43.2
Ceuta,Gini,2013,43.9
Ceuta,Gini,2012,41.6
Ceuta,Gini,2011,36.0
Ceuta,Gini,2010,36.8
Ceuta,Gini,2009,41.4
Ceuta,Gini,2008,39.8
Melilla,Desigualdad (S80/S20),2025,16.2
Melilla,Desigualdad (S80/S20),2024,10.6
Melilla,Desigualdad (S80/S20),2023,11.5
Melilla,Desigualdad (S80/S20),2022,12.4
Melilla,Desigualdad (S80/S20),2021,14.1
Melilla,Desigualdad (S80/S20),2020,15.0
Melilla,Desigualdad (S80/S20),2019,13.9
Melilla,Desigualdad (S80/S20),2018,9.1
Melilla,Desigualdad (S80/S20),2017,7.1
Melilla,Desigualdad (S80/S20),2016,8.2
Melilla,Desigualdad (S80/S20),2015,7.4
Melilla,Desigualdad (S80/S20),2014,10.1
Melilla,Desigualdad (S80/S20),2013,10.1
Melilla,Desigualdad (S80/S20),2012,5.4
Melilla,Desigualdad (S80/S20),2011,10.7
Melilla,Desigualdad (S80/S20),2010,7.6
Melilla,Desigualdad (S80/S20),2009,9.9
Melilla,Desigualdad (S80/S20),2008,6.4
Melilla,Gini,2025,42.3
Melilla,Gini,2024,42.3
Melilla,Gini,2023,41.1
Melilla,Gini,2022,41.2
Melilla,Gini,2021,41.2
Melilla,Gini,2020,43.9
Melilla,Gini,2019,40.7
Melilla,Gini,2018,37.3
Melilla,Gini,2017,33.3
Melilla,Gini,2016,33.5
Melilla,Gini,2015,35.0
Melilla,Gini,2014,41.0
Melilla,Gini,2013,42.5
Melilla,Gini,2012,33.7
Melilla,Gini,2011,39.5
Melilla,Gini,2010,34.2
Melilla,Gini,2009,34.2
Melilla,Gini,2008,30.2
