palabra,frecuencia
pais,785
gente,591
espana,570
inmigrantes,361
puta,357
mierda,322
inmigracion,304
paises,265
espanoles,265
problema,261
personas,247
europa,237
trabajo,221
casa,215
refugiados,200
dinero,193
guerra,184
fuera,180
hombre,178
culo,176
vienen,171
cojones,171
quieren,168
hijos,166
puto,166
millones,166
alemania,166
etc,163
normal,163
encima,162
tenemos,161
dos,156
alguien,156
mayoria,156
vivir,155
estoy,152
dar,151
has,150
persona,150
tengo,148
mientras,147
mal,146
vamos,142
viene,141
tema,139
mujer,139
cualquier,139
aunque,139
ayudas,138
ahi,138
trabajar,138
pueden,137
demas,136
tienes,135
hijo,135
dicho,134
parte,131
espanol,130
gran,129
sociedad,129
aun,126
podemos,125
tipo,124
poblacion,124
cuenta,123
familia,122
joder,121
caso,121
hacen,120
mujeres,120
voy,120
tiempo,120
gobierno,119
falta,119
sido,118
ejemplo,118
gracias,118
ademas,117
dan,117
veo,117
moros,117
tal,116
favor,115
ilegal,113
poder,113
forma,113
sino,111
ley,110
digo,110
quiere,109
bueno,108
politicos,108
algun,108
tomar,106
segun,106
ningun,106
alli,105
extranjeros,104
nosotros,104
social,104
siria,103
somos,103
espanola,102
todas,102
madre,101
soy,101
pasa,101
ano,100
resto,99
inmigrante,98
partido,97
hoy,96
realidad,94
problemas,94
cierto,94
progres,94
datos,94
situacion,93
cara,92
seguro,92
vox,92
derecho,92
derechos,91
medio,91
puesto,91
nunca,90
acuerdo,89
momento,89
despues,89
venga,87
dicen,87
ninos,87
paguitas,87
padres,86
haber,86
cabeza,86
nuestro,86
tampoco,86
haya,85
quiero,85
ayuda,84
sean,84
deberia,84
incluso,84
foro,83
gusta,83
psoe,82
francia,82
debe,81
visto,81
paso,81
seria,81
puedes,81
bastante,80
peor,80
entiendo,80
casi,79
habia,79
edad,78
salir,78
educacion,78
unico,78
moro,77
razon,77
mano,77
dejar,77
calle,77
euros,76
sera,76
clase,76
saber,76
poner,76
trans,75
politica,75
sabe,75
musulmanes,74
vuelta,74
fin,74
punto,74
dices,73
primero,73
impuestos,73
venir,73
medios,73
sitio,72
misma,72
dado,72
sexual,72
veces,71
asco,71
nuestra,71
partidos,71
final,71
culpa,70
tio,70
seguir,70
lugar,70
menudo,70
dios,70
entonces,70
entrar,69
hemos,69
espero,69
siendo,69
quieres,69
vas,68
pueblo,68
hacia,68
cono,68
esperaba,68
buen,68
lado,68
media,68
ello,68
pagar,67
mismos,67
gays,67
den,66
nacionalidad,66
genero,66
religion,66
pasado,66
ong,66
ugt,66
gay,65
alguna,65
paro,65
mucha,65
gilipollas,65
colectivo,64
dentro,64
haciendo,64
video,64
pena,64
hombres,64
nuevo,64
cago,64
sociales,63
tenga,63
cambio,63
general,63
buena,63
origen,63
nuestros,63
sale,63
derecha,63
seguridad,63
izquierda,62
crees,62
respeto,62
primera,62
cuanto,62
historia,62
mayor,62
ilegales,62
grupo,62
traer,62
cultura,61
juego,61
dias,61
mira,61
casos,61
manera,61
tonto,61
paga,61
queda,60
paguita,60
homosexual,59
leyes,59
opinion,59
pensiones,59
politicas,59
piso,59
realmente,59
pobres,59
delincuentes,59
sabes,59
centro,59
putos,58
leer,58
turquia,58
hablar,58
habra,58
nivel,58
polla,58
pasar,57
ciudadanos,57
homosexuales,57
vayan,57
precisamente,57
facil,57
totalmente,57
unas,57
meses,57
habria,56
cuantos,56
mes,56
vale,56
muchas,56
votar,56
igualdad,56
comer,56
pedir,55
viven,55
noticia,55
delincuencia,55
reciben,54
recursos,54
sexo,54
madrid,54
familias,53
suerte,53
leido,53
quieran,53
menas,53
tenido,53
noticias,53
tenia,53
diciendo,53
quiera,53
llevan,52
anda,52
fronteras,52
carcel,52
sentido,52
saben,52
crisis,52
sigue,52
haga,52
miles,51
publico,51
pueda,51
votado,50
hubiera,50
vuelva,50
total,50
hablando,49
pocos,49
existe,49
simplemente,49
nino,49
legal,48
facha,48
pib,48
miedo,48
ninguna,48
refugiado,48
sirios,48
bajo,48
pobreza,48
llegar,48
tres,48
lleva,47
delitos,47
jovenes,47
negros,47
podria,47
odio,47
pone,47
progre,47
din,47
amigos,47
meter,47
informe,47
verguenza,47
racista,46
puedo,46
pobre,46
follamoros,46
sanidad,46
mil,46
relacion,45
hagan,45
pensar,45
nacional,45
gratis,45
tontos,45
diga,45
pole,45
pasta,45
deberian,45
gentuza,45
ves,45
grandes,44
respecto,44
palabras,44
vive,44
voto,43
sistema,43
negro,43
numero,43
forocoches,43
serio,43
vengan,43
informacion,43
correcto,43
quienes,42
contrario,42
deja,42
rajoy,42
fuente,42
huevos,42
llega,42
mierdas,42
puedan,42
supuesto,42
habla,41
nina,41
ponen,41
vivienda,41
malo,41
huesca,41
suecia,41
menores,41
universidad,41
sois,41
extranjero,40
capita,40
economia,40
pasando,40
libertad,40
solucion,40
primer,40
grande,40
llegan,40
europeos,40
per,40
agua,40
suficiente,40
nombre,39
posible,39
dificil,39
tengan,39
entender,39
lenguaje,39
empresas,39
salen,39
africa,38
varios,38
basura,38
papeles,38
amigo,38
lejos,38
gana,38
mafias,38
residencia,38
ultimo,38
todavia,38
cuentas,38
das,38
obviamente,38
costa,38
control,38
mitad,37
real,37
maricon,37
canarias,37
plan,37
digan,37
vosotros,37
interesa,37
putas,37
entrada,37
idioma,37
iba,37
darles,36
alla,36
mental,36
ojala,36
frente,36
homo,36
pillo,36
buenas,35
trata,35
delito,35
siento,35
volver,35
subnormal,35
defender,35
marruecos,35
prefiero,35
demasiado,35
mala,35
tras,35
embargo,35
manana,35
semana,35
policia,34
buenos,34
sexuales,34
resumen,34
base,34
suda,34
minimo,34
diferencia,34
respuesta,34
laboral,34
barco,34
hilos,34
asilo,34
votos,34
ido,34
estudio,34
boca,34
patera,34
