nivel_lgtbifobia_rrss,NEG,NEU,POS
hostilidad_explicita,93.83,4.94,1.23
marco_conflictivo,84.0,8.0,8.0
neutro,80.25,17.83,1.91
sin_mencion,64.3,29.31,6.38
violencia_discriminacion,85.45,14.55,0.0
