bigrama,frecuencia
tomar culo,87
hijo puta,58
puta madre,44
puto país,42
inmigración ilegal,35
per capita,34
cago puta,32
hijos puta,31
pib per,29
nuestro país,28
clase media,28
mano obra,27
gran puta,26
seguridad social,25
lenguaje inclusivo,25
inmigrantes ilegales,24
extrema derecha,21
nacionalidad española,21
hijo gran,21
puta mierda,21
dinero público,20
efecto llamada,20
población inmigrante,19
den culo,18
orientación sexual,18
casos aislados,17
más españa,16
open arms,16
vivir cuento,16
inmigración masiva,15
madre mía,15
día hoy,15
sí sí,15
colectivo oprimido,15
estados unidos,14
punto vista,14
país origen,14
puta casa,14
pp psoe,14
menudo hijo,14
más allá,14
más inmigrantes,14
totalmente acuerdo,14
he puesto,14
millones euros,14
gente está,14
hombre mujer,14
servicios sociales,13
aún así,13
palo agua,13
he leido,13
puta cara,12
permiso residencia,12
qué cojones,12
somos gilipollas,12
inmigrantes vienen,12
gente viene,12
manda cojones,12
gran canaria,12
inmigrante ilegal,12
gran mayoría,12
obra barata,12
millones parados,11
forma legal,11
algún día,11
fake news,11
moro mierda,11
país mierda,11
más ayudas,11
delito odio,11
sé qué,11
medios comunicación,11
he tenido,11
inmensa mayoría,11
huyen guerra,11
problema inmigración,11
ningún momento,11
miles millones,10
25 años,10
informe ugt,10
inmigrantes económicos,10
gente aquí,10
has dicho,10
mayoría gente,10
español medio,10
30 años,10
ley trans,10
más gente,10
dar palo,10
día día,10
encima queja,10
sentido común,10
refugiados sirios,10
teniendo cuenta,10
sociedad española,10
año pasado,10
ayudas sociales,10
arabia saudí,10
tienes razón,10
dado cuenta,10
ni ni,10
ni idea,10
psoe podemos,10
mujer trans,10
euros mes,10
chupar bote,9
asco da,9
vienen españa,9
bienestar social,9
sitio leer,9
contrato trabajo,9
tú has,9
vuelva siria,9
va mierda,9
aún más,9
todas formas,9
buena gente,9
cruz roja,9
cuerpo rey,9
salir calle,9
condición sexual,9
delitos cometidos,9
dejar entrar,9
has puesto,9
haber sido,9
irene montero,9
haga quiera,9
hombre paja,9
dan más,9
país guerra,9
muchas gracias,9
oh wait,9
millones inmigrantes,9
están haciendo,9
forma ilegal,9
mil veces,9
ministerio interior,9
mercado laboral,9
gran parte,9
mujeres niños,9
está mal,9
pablo iglesias,9
nuestra sociedad,9
ugt he,8
