trigrama,frecuencia
pib per capita,28
hijo gran puta,19
cago puta madre,13
mano obra barata,12
menudo hijo puta,10
dar palo agua,9
hijos gran puta,7
hijo mil putas,6
dos dedos frente,6
abdsalam haj taher,6
ni puta idea,6
vienen pagarnos pensiones,5
clase media alta,5
vayan tomar culo,5
oficio ni beneficio,4
mientras millones españoles,4
inmigración ilegal llega,4
mantener relaciones sexuales,4
inmigrantes vienen españa,4
mano delante detrás,4
ir tomar culo,4
vete tomar culo,4
falacia hombre paja,4
menudo hijo gran,4
democracia nacional españa2000,3
dan palo agua,3
cotizaciones seguridad social,3
alemania reciben más,3
anda den culo,3
cago putos muertos,3
amigos alemania reciben,3
das mano cogen,3
dan más ayudas,3
hijo perra sarnosa,3
falta mano obra,3
frenar lucha obrera,3
gente clase media,3
incluso matriculación universitaria,3
manutención incluso matriculación,3
matriculación universitaria gratuita,3
luz agua gas,3
inversión carga prueba,3
llamen hijo puta,3
llegar fin mes,3
mano cogen brazo,3
hombre ni mujer,3
he visto vídeo,3
nuestros padres abuelos,3
país va mierda,3
niña seis años,3
ni hombre ni,3
más ciego quiere,3
millones euros inmigrantes,3
millones refugiados sirios,3
puta orientación sexual,3
problema inmigración ilegal,3
principios siglo xx,3
premio nobel economía,3
padres educar hijos,3
reciben más ayudas,3
sirio esperaba más,3
refugiado sirio esperaba,3
tomar culo alemania,3
también estoy favor,3
también esperaba más,3
solicitar número ss,3
ugt he leído,3
viviendas manutención incluso,3
vivir cuerpo rey,3
vuelva puto país,3
