Topic,Count,Name,Representation,Representative_Docs
-1,3177,-1_inmigrantes_más_españa_país,"['inmigrantes', 'más', 'españa', 'país', 'españoles', 'aquí', 'qué', 'inmigración', 'europa', 'millones']","['desmontando con datos la gran mentira que nos venden la mayoría de medios de comunicación que afirman “no hay ningún estudio, dato o estadística que demuestre que la tasa de criminalidad es mayor en la población inmigrante que en la autóctona” año 2004 de cada diez nuevos reclusos, seis son de nacionalidad extranjera 23-7-2006 50 personas acumulan 7.000 detenciones aifa mohamed laarbi , de 51 años, es la persona que mas veces ha sido detenida en españa: 213. entre este grupo destaca el peruano walter raúl t. v. , detenido hasta ahora en 127 ocasiones, que ya en 1991 fue arrestado como supuesto miembro de una banda a la que la policía imputaba cientos de hurtos a turistas. otra de las peculiaridades de los 50 principales del hampa es que a ninguno les gusta su nombre: todos ellos dicen ser y llamarse de una forma diferente cada vez que la policía les coloca los grilletes. hay quienes como mohamed a., hamed a.l.b. y kaddour a . han sido registrados con 60 o más identidades diferentes a lo largo de su vida delictiva. 2-09-2006 el gobierno asume la relación entre delincuencia e inmigración y reconoce que uno de cada tres reclusos es extranjero 23-11-2007 la tasa de mujeres inmigrantes asesinadas a manos de sus parejas es seis veces mayor que la de las españolas. 30-9-2008 los crímenes machistas se disparan entre inmigrantes - los asesinatos cometidos por extranjeros son este año más del 40% del total 14-10-2008 récord de presos en las cárceles españolas la crisis y la llegada de más extranjeros, entre las causas. 15-04-2009 el 60% de los presos encarcelados en españa en la última década son extranjeros 13-12-2009 eduardo maiz, concejal de seguridad ciudadana de bilbao: ""de las 1.600 detenciones con las que terminaremos el año, unas 1.000, casi el 55%, corresponden a magrebíes, marroquíes y argelinos"" 29-01-2011 edil de seguridad ciudadana de bilbao: ""siete de cada diez detenidos por hurtos en bilbao durante 2010 eran extranjeros"" 15-03-2011 dos de cada tres arrestos en barcelona son de ciudadanos extranjeros ciutat vella y el eixample concentraron el 51% de los 205.374 delitos cometidos el año pasado los mossos d\'esquadra detuvieron en el 2010 a 18.754 personas de 131 nacionalidades distintas 15-09-2011 la masificación de presos en cataluña obliga a liberar a extranjeros a su país. el 45,4% de presos en cataluña son extranjeros 3-8-2012 uno de cada tres presos es de nacionalidad no española. uno de cada dos presos en madrid, castilla y león, y cataluña es extranjero. actualmente hay 24.036 presos extranjeros en las prisiones españolas. informe elaborado por acaip sobre el porcentaje de presos extranjeros en los centros penitenciarios en españa. ver o descargar informe y estadística elaborada por acaip 29-08-2012 el número de presos extranjeros se quintuplica en sólo una década 07-09-2012 « dado que un gran número de los detenidos son de otras nacionalidades , la policía nacional debería colaborar más con los juzgados, ya que muchos son además ilegales que tendrían que pasar por la oficina de extranjería» 20-05-2013 el número de presos extranjeros por habitante cuadriplica al de encarcelados españoles 01-09-2013 la guardia civil asegura que «el 90% de los detenidos por drogas y robos con violencia en calvià son subsaharianos» 26-12-2013 en 2012 fueron encarceladas 30.505 personas en españa (18.095 españoles y 12.410 extranjeros) 24-02-2014 la policía se reforzará en fallas ante la inminente llegada de una oleada de carteristas. sus integrantes suelen ser extranjeros, ""principalmente de rumanía"" 11-03-2014 ceimigra publica una guía de detección de violencia (de género) sobre mujeres inmigrantes. en 2012 se ordenaron 34.556 órdenes de protección de las cuales el 32% provinieron de mujeres extranjera s según los datos del observatorio contra la violencia doméstica y de género. 31-03-2014 8 extranjeros entre los 10 delincuentes más buscados por la guardia civil.', 'yo ya he dicho varias veces que esperemos que los del isis no hagan la estrategia de empezar a poner bombas en marruecos, de tal forma que provoquen un ""altercado social"" de 1o nivel con 2 bandos enfrentados: guerra entre 2 grupos terroristas (al qaeda en el magreb vs isis). lo digo porque muchos millones de marroquíes estarán esperando como agua de mayo que eso suceda, para así tener la excusa de venir a españa (europa) a millones. ya me imagino a todo el congreso mandando barcos a marruecos para traer a millones de moritos más. sería técnicamente el fin de españa, para siempre. es decir, pueden hacer esa estrategia para ""recuperar al andalus"" los del isis perfectamente. provocar la inestabilidad o provocar un enfrentamiento con otro grupo terrorista musulmán, para obligar a una intervención de la onu y que haya ""refugiados"". los de acnur harían de lobbie para que vinieran el máximo número. atentos a esta jugada porque puede pasar en los próximos 10 años. imaginaos que nos meten a varios millones de marroquíes más en españa viviendo de paguitas y cometiendo miles de delitos diarios (violaciones, es la especialidad islámica). recordemos que todo esto es debido a que los musulmanes no son capaces de crear países estables y prósperos. das una piedra y te salen 20 grupos terroristas yihadistas en cualquier país musulmán. es su puto problema y no tenemos por qué aguantar sus putos problemas relacionados con su religión medieval. nosotros ya hicimos lo que tuvimos que hacer para separar religión de lo demás hace siglos. que lo hagan ellos ahora antes de pedir permiso para venir a europa.', 'en primer lugar, hablo de inmigrantes... cual consideras que es el colectivo al que pertenecen las personas que según tu fomento odiar? todos los habitantes del mundo que no sean españoles? en segundo lugar, creo que la recopilación de datos objetivos en si misma no puede considerarse tampoco delito de odio (pasando ya por alto que lo único que tienen en común todos los autores es que no son españoles). habrá que tener en consideración la finalidad, no? finalidad que es poner de manifiesto el numero elevado de delitos que vienen aparejados al incremento masivo de inmigración ilegal que llega a españa y no a la inmigración en general (de ahi que se recopilen solo datos a partir de 2018. antes tambien había inmigración, pero no la cantidad de inmigración ilegal que llega a españa desde 2018). en definitiva, el objetivo del hilo es señalar uno de los problemas de la inmigración incontrolada, como puede ser el riesgo para el mantenimiento del nivel de vida en españa tanto para inmigrantes como para nacionales, etc. en tercer lugar, entiendes que se les atribuye esta conducta delictiva a su origen ""no español""? porque creo que queda bastante claro en el op que se culpa a la falta de capacidad nacional para ofrecerles las condiciones necesarias para una correcta integración en la sociedad. de ahí que no pida un cierre total de fronteras, si no simplemente un control de la inmigración en el marco de la legalidad vigente...']"
0,471,0_pp_votar_políticos_voto,"['pp', 'votar', 'políticos', 'voto', 'izquierda', 'vox', 'partidos', 'psoe', 'podemos', 'derecha']","['pero vamos a ver, que coño dices? yo nunca he votado al pp. nunca. siempre a upyd y este ultimo año a ciudadanos la primera vez, la segunda no voté. y si pudiese elegir no quiero al pp ni en pintura. pero desde luego a quien no quiero en el poder es a un partido pro refugees, pro feminazis, anti español y demagogo. y no, no defiendo para nada al pp, son unos corruptos. solo te digo que los recortes que han metido, los tendrian que haber metido psoe, podemos o quien hubiese sido. te lo repito, mira syriza, el podemos griego. iban a ser los revolucionarios, llegaron al poder y....? y nada, no les dejaron hacer nada, y tuviero que hacer todo lo que tu asociarias a un malvado partido facha de derechas rancio. bajsr pensiones, recortes brutales por todos lados, etc. así que no me seas demagogo. sabes perfectamente lo que habria pasado de gobernar otro partido. lo mismo.que hablais como si gobernando psoe o podemos no hubiese habido recortes, no os lo creeis ni vosotros. yo si que siento lastima por tu lobotomizado cerebro, al que ya le han dicho por adelantado quienes son buenos y quienes malos. yo si llegase el dia que el pp mereciese la pena, les votaría, lo mismo con podemos. pero los que sois de ultraizquierda no vereis nunca que un partido con alguna idea de derechas sea digno para votarles. sectarismo lo llaman. y no voto a esos partidos residuales anti refugees y patriotas porque no me vale eso y que luego en lo demas sean unos cazurros. te repito, el sectarismo funcionará con vosotros. conmigo al menos no', 'ninguno. ni de lejos. y los que hay ""parecidos"" son marginales en todos sus aspectos e incluso contraproducentes. y por desgracia, hay quienes piensan que votar a partidos como el pp es un voto ""patriota"". ¡si el pp ha hecho más daño a españa que toda la izquierda junta! para mi el pp son igual de progres que el psoe o podemos. el sistema no va a permitir que un partido identitario, nacionalista, anticapitalista, asome la cabeza. al menos en españa. en otros países hay esperanza, pues su gente no es como la de españa, en otros países todavia tienen orgullo, sentimiento de pertenencia a un pueblo ancestral. hasta que en estos países no surjan con fuerza movimientos de este tipo, en españa no hay nada que hacer. lo que surja aquí será por la influencia de quienes lo hayan hecho primero en otros países. hoy en día españa es un pueblo endofobo, autodestructivo, cainita. españa, la nación, no tiene nada que ver con el estado español actual del pp-psoe-borbones. ni europa es la comunidad europea. europa es un pueblo, una cominidad, una cultura. de momento hay que empezar a entender nociones tan básicas.', 'porque el pp no es de derechas ni mierdas, es mas me hace gracia todos los que ponen podemitas, izmierdistas etc... si el pp es la misma mierda solo que se maquilla dando un pequeño ""toque"" de derechas igual que el psoe con su ""izquierda""... todos los partidos desde el pp a la izquierda son sistesmistas de mierda y todos los votos que caen desde el pp hasta podemos son mierdas del mismo sistema es como votar al mismo partido el cual los carroñeros se pegan pon enchufar a sus amigismos pero el resutado final es el mismo, que acabaremos en la mierda igual sea antes o después... resumen: votar a pp es votar a podemos']"
1,236,1_puta_cago_tomar culo_culo,"['puta', 'cago', 'tomar culo', 'culo', 'tomar', 'cago puta', 'hijo', 'hijo puta', 'puta madre', 'mierda']","['que se vaya a tomar por el culo', 'a tomar por culo los refujetas, a tomar por culo.', 'y si se va a tomar por culo?']"
2,135,2_noticias_noticia_medios_twitter,"['noticias', 'noticia', 'medios', 'twitter', 'ignorante', 'realidad', 'mentira', 'creen', 'foro', 'forocoches']","['claro, claro, ya se ve por dónde vas. ¿qué pasa, que si no lo publica el país no es verdad, mugroso? modo forocochero off. ahora, la realidad: se creen lo que casa con sus prejuicios. las historias son tan absurdas y tan chorras que hay que ser muy necio para abrir un hilo como éste creyéndote que vas abrir los ojos de aquéllos que se lo tragan todo. éstos son de los que te montan pesquisas, se leen sumarios de juicios y demás (se leen mis cojones toreros), fuman en pipa a lo sherlock holmes intentando ratificar la presunción de inocencia, garantes de los auténticos valores democráticos, y luego creen en una invasión de menas zombies violadores. yo lo digo y no me canso, si se creen que son distintos de las feminazis están peor de la cabeza de lo que creen. tienen el mismo retraso sectario. pero no les digas nada, que como ellas, reaccionan como perros rabiosos. yo no pierdo el tiempo, el retraso que sufren no se cura, habrán nacido en familias con escasa materia gris donde se perpetúan razonamientos absurdos. aquí los tienes, los garantes de la tradición y cultura europeas que no tienen ni zorra de razonamiento ni lógica. bonus: y luego se ríen de twitter. si son calcados con ideas opuestas. éstos sueñan con que las locas de twitter virasen su irracionalidad y estupidez hacia quien fc diga. si no es por lo que se diga en twitter, es porque no les dan la razón como a los tontos como se la dan otros usuarios en fc.', 'aún no te has dado cuenta que forocoches no es sitio para informarse? aquí se viene a desahogarse. puedes decir que has hecho un trio, que te mide 30 cm, que vox arreglaría españa, y demás tonterías. puedes echar bilis por cualquier tontería inventada, sin que nadie te diga nada, no como twitter. eso si, no digas que lees noticias aquí.', 'caso aislado fue creado por el usuario bezoya que spameaba constantemente abriendo hilos para redirigir el trafico de forocoches a su web de noticias. el modusoperandi era poner el titular de la noticia y si querías leerla ya tenías que visitar si o si su web. noticias a su vez que estaban muchas veces traducidas de medios ingleses de dudosa veracidad. cuando se vio que su intención era hacer dinero a costa de forocoches y abrió un hilo, según bitelchus, descojonandose de la pasta que ganaba fue reportado. después vinieron otros intentando copiar el modus operandi o bien podría ser el mismo usuario... diariopatriota y el último lnaciondigital. solo los que no conocen la historia siguen mirando esas fuentes de mierda.']"
3,133,3_gays_homosexuales_homosexual_matrimonio,"['gays', 'homosexuales', 'homosexual', 'matrimonio', 'homo', 'homófobo', 'partido', 'lobby', 'colectivo', 'homofobia']","['eso no es pasarse de tópicos gays?', 'a ver, acomplejados y gays reprimidos.', 'en 2005, año en el que se aprobó el matrimonio homosexual, mariano rajoy declaraba que el presidente del gobierno de por entonces, zapatero, quería ""hacer lo que no ha hecho nadie por esa manía de parecer moderno"" porque ""el matrimonio siempre ha sido una institución entre un hombre y una mujer"". a estas le sucedieron muchas más declaraciones de otras personas del partido popular que hicieron que, desde entonces, la derecha española fuera definida por sí misma y por los ojos de los españoles como la opción homófoba mientras que el psoe, aprobando el matrimonio igualitario, abanderaba la causa. cuando en 2011 le pregunté a carla antonelli sobre los gais de derechas yo, que me esperaba la típica respuesta bienqueda de ""yo respeto todo"", tuve que escuchar, entre otras cosas, que ""allá ellos y sus conciencias"". ¿cómo puede existir esa especie de homofobia dentro de la homosexualidad? nunca lo he entendido. siempre pensé que la aprobación de dicha ley respondió más a un triunfo de la sociedad que de un partido en particular, y me he sentido utilizado cuando el psoe ha mostrado ese logro con un rendimiento electoral, como si le debiéramos algo. lo hizo zapatero y también rubalcaba. la gota que colmó el vaso fue cuando vi a elena valenciano anunciada en grindr en la campaña de las europeas de 2014: su banner más bien bajaba la libido de quienes entraban en la aplicación. hace poco, pedro sánchez también recordó que los gais le debíamos el voto, cuando en un mitin se le fue la pinza y se puso a gritar que, entre otras cosas, su partido había logrado ""la ley del matrimonio entre personas del mismo sexo"". es cierto que hay que reconocerlo, pero yo no debo nada a nadie simplemente porque se haya hecho lo que se tenía que hacer. siempre he tenido la sensación de que lo hacían para asegurarse unos votos, sin más. desde entonces y en la sombra, los gais de derechas han estado bajo el estigma de ser unos incomprendidos, sistemáticamente rechazados y casi escondidos, para mí unos verdaderos antisistema. la izquierda no quiere que se sepa de su existencia y a la derecha aparentemente no le ha gustado que hayan estado incluidos entre sus filas, aunque parece ahora que la cosa está cambiando. no ha sido fácil encontrarlos: el reto era entrevistar a cinco chicos menores de 35 años y que se definieran abiertamente gais y de derechas. en el arduo trabajo para encontrarlos y convencerlos, llamé un par de veces a prensa del partido popular. en la última conversación, la persona que se encontraba hablándome desde génova 13 me dijo, en resumidas cuentas, que no me podían ayudar y que lo que podía hacer era salir a la calle e ir preguntando a los que pasaran. en serio, me dijeron eso. evidentemente no lo hice y, tras un largo y complejo trabajo de contactos, aquí tenéis sus entrevistas. no hay nada imposible. luis. lleva desde los 16 años afiliado al partido popular luis, 26 años. trabaja en una consultoría. lleva desde los dieciséis años afiliado al partido popular. en el orgullo gay del 2015 fue el creador del polémico hashtag #yosoygayydelpp. vice: ¿por qué eres de derechas? luis: bueno, de derechas... yo creo que ese término es muy contundente... yo más bien me defino de centro-derecha liberal. simpatizo sobre todo con el partido popular porque es un partido muy amplio y las políticas que desde ahí se llevan a cabo están centradas en la persona, en la libertad del individuo, no un gobierno o un estado que te tiene que decir todo lo que tienes que hacer. ¿supiste antes que eras de derechas o que eras homosexual? yo nací en 1989 y ya con cinco años me gustaban los chicos. aquí estamos hablando de los mediados de los noventa en españa y yo crecí en un ambiente conservador, clásico y el hecho de ser homosexual estaba muy mal visto, no se aceptaba... pero yo era muy ignorante de todo eso. en la adolescencia ya vi cómo en la sociedad eso no estaba aceptado y yo no se lo dije a nadie. a partir de los trece años, que es cuando me empezó a gustar la política, supe de forma clara mi línea ideológica. y cuando lo tuviste claro, sabiendo que eras gay, ¿no entraron en conflicto ambas cosas? no es un contrasentido porque, digamos, es como un tema tabú también en la izquierda: yo tengo muchos amigos de izquierdas y es tabú al mismo nivel. en mi caso, no entra en conflicto hasta que llego a la universidad con dieciocho años... la sociedad española ha cambiado radicalmente en los últimos quince años. mi partido es muy grande y hay gente muy conservadora y otra gente que es más de centro-derecha liberal. yo nunca, y llevo afiliado desde los 16 años, he tenido con nadie ningún problema cuando han sabido que era homosexual. ¿lo has dicho de forma pública? a los diecinueve años ya empezó a ser público y notorio. antes no porque, simplemente, no ibas diciendo ""hola, soy luis, soy gay""... no. no se trataba y ya está pero, de todas maneras, no había necesidad. sólo que llegas a una edad en la que te relacionas con muchísima gente y al final se va sabiendo y ya está, con total naturalidad. me atrevo a decir que el 60, el 70% o incluso más de los chicos de nuevas generaciones de madrid son gais. la realidad es así porque la conozco yo desde dentro']"
4,130,4_ugt_sitio_fuente_ay,"['ugt', 'sitio', 'fuente', 'ay', 'pole', 'mariquita', 'muerto', 'xd', 'gentuza', 'op']","['ugt máxima fiabilidad', 'ugt-qw.', 'fuente: de marisco >ugt']"
5,111,5_pais_familia_puto pais_niña,"['pais', 'familia', 'puto pais', 'niña', 'padres', 'hijos', 'feliz', 'puto', 'vuelta', 'hija']","['las chorradas que una tiene que leer. uno, el dr money siempre fue un cabrón manipulador. dos, el asunto de david reimer viene de un error médico hecho (porque es muy raro una operación a tan corta edad)probablemente por padres judíos que hicieron a los 2 gemelos, una circuncisión con 3 añitos de edad. en el caso de david sale mal y pierde cierta parte de su cuerpo. aparece el cerdo del dr money para aprovechar las circunstancias de los padres y del chaval... y les vende una solución mágica. a los padres. hacerle pasar como ""brenda"" porque en un error médico anterior le amputaron el pene a david reimer, probablemente porque sus padres eran judíos(el apellido reimer es judío y es muy rarito operar a niños a los 3 años de edad, salvo que fuese una operación de fimosis que en determinadas épocas estaba de moda a corta edad, es más probable que fuera por que fueran judíos) este caso que se utiliza para ""atacar a las personas trans"" es justamente a la inversa. imponer a alguien su ""identidad"" por encima de su propia forma de entenderla, es lo que es criminal y es lo que hicieron por manipulación(los padres del mismo) y el cabrón del dr money por buscar ""rating"" y valoracion profesional. curiosamente los ""antitrans"" lo cuentan cómo si fuese una ""manipulación"" por parte de las personas trans... luego lo de recordar que a las personas intersexuales(alias hermafroditas, alias personas con características de ambos sexos) se les ha operado desde pequeñitos para ""asignarles el género adecuado para meterles en la ""categoría"" hombre/mujer(cosa que se sigue haciendo en algunos países) es algo que no hablan los payasos aquí presentes. lo de recordar que lo de la ""identidad"" es algo que también tiene que ver con las personas intersexuales, alias hermafroditas, alias personas con características de ambos géneros exactamente igual que a las personas trans, es un hecho que se les olvida a la mayoría de los patanes aquí presentes. luego os contáis chorradas de que lo ""trans"" es un fenómeno posmoderno cuando hijras o muxes están desde hace milenios. cuando hay esqueletos de personas de un ""sexo"" enterradas ritualmente como miembros del otro género en la prehistoria. que hay numerosísimos ejemplos en la historia de personas trans y no somos ningún fenómeno posmoderno por muchas historias de ficción que os queráis contar. y luego utilizáis este caso para ""malmeter"" cuando nos da la razón para variar, que imponer la identidad por encima de la propia persona es algo nocivo y tóxico... pero curiosamente lo contáis como si ""fuese la obsesión identitaria"" algo posmoderno o reciente. lo reciente son las operaciones de reasignación de género como tales, las personas que han ""vivido"" fuera de su género de nacimiento las hay, con bastantes ejemplos en la historia en muchos contextos. sólo hay que hablar de la monja alferez(un chico trans)[que fue un ""conquistador"" en la época de conquista en las américas] o margarida borras una mujer trans, asesinada en 1460 antes del nacimiento de la inquisición son 2 ejemplos históricos de ello.', 'yo lo devolvia a su puto pais.', 'a su puto pais a que lo acribillen']"
6,104,6_inmigración_delincuencia_ilegal_delincuentes,"['inmigración', 'delincuencia', 'ilegal', 'delincuentes', 'problema', 'inmigrantes', 'fronteras', 'inmigracion', 'inmigrante', 'barrios']","['es incorrecto, el problema de la delincuencia no se deriva de la inmigración en sí, sino del tipo de inmigrante.', 'hola, oigo muchas quejas entre mis familiares y amigos por todo el tema de la inmigracion como por ejemplo 1-""con el paro que hay no se porque ibamos a aceptar inmigrantes"" 2-""es una aberracion que con las necesidades que hay en el pais se den paguitas a los de fuera"" 3-""son todos unos delincuentes, la mayoria de violaciones/delitos las cometen rumanos,panchitos o magrebies"". pues bien, os doy mi opinion de todo esto planteando primero el problema por el cual la inmigracion no es un problema, si no la solución. españa tiene un problema grandisimo que es el envejecemiento de su población, la piramide poblacional es insostenible ya que dentro de poco cuando se jubilen todos los que nacieron en el baby boom (1950-1970) vamos a ser muy poca poblacion activa respecto al numero de pensionistas que se multiplica cada año que pasa. este problema tiene 2 posibles soluciones, 1.- tener hijos a mansalva: muy dificil, el español medio no esta por la labor de tener hijos y esto pese a todos los esfuerzos que se hagan no parece que vaya a mejorar mucho. 2.- traer poblacion activa de fuera (inmigracion): es barato (como lo oyen, es baratisimo) traerte a una persona de 20 años de fuera cuyos costes de educacion y sanitarios han sido pagados por otro gobierno y es una ventaja que esa persona ahora este dispuesta a trabajar para ti ahora voy a hablar sobre las 3 quejas mencionadas al principio por la mayoria de españolitos. 1. paro: una vez la persona que viene de fuera se mete en la rueda de trabajo/consumo, es decir empieza a trabajar y empieza a consumir las necesidades de españa aumentan, los supermercados venden mas, se alquilan mas pisos, se apuntan mas jovenes a las escuelas, se utilizan mas vehiculos, es decir se crea mas empleo. el aumento de la inmigracion no supone aumento del paro siempre y cuando la persona que viene de fuera pueda empezar a trabajar, y yo os digo que una persona que viene de fuera(si habla el idioma como losp anchitos) lo tiene muy muy facil para empezar a trabajar en hosteleria/cuidado de ancianos y varias cosas mas. 2. las paguitas. los costes de tener un bebe para el estado son altisimos (gastos sanitarios y educacion). es decir, cuando el español medio dice, ""yo que soy español que me den la paguita a mi"". amigo mio a ti te han dado la paguita desde que naciste hijo de puta, el estado te ha proporcionado todo lo que necesitabas para crecer y nos has costado muchisimo a todos, por tanto, alguien que viene de fuera y que no ha costado nada tambien tiene derecho a recibir un dinero para poder adaptarse, integrarse y convertirse cuanto antes en una persona util para todos. 3. delincuencia. los delitos no se cometen por ser de aqui o alla, se cometen por falta de integracion y condicion socioeconomica. en el estrato socioeconomico mas bajo es donde se cometen la mayoria de los delitos, y la mayoria de personas en el estrato socioeconomico bajo son personas extranjeras sin recursos. las personas ricas y con nivel de educacion en colombia, peru, bolivia, marruecos, etc... no cometen delitos. pero las personas de muy bajo nivel adquisitivo de esos paises que tenemos aqui si las cometen, por tanto lo que quiero decir es que aunque es obvio que si vienen aqui sin recursos es muy probable que acaben delinquiendo, la solucion a este problema es mas integración y no agitar la xenofobia porque eso no va a solucionar nada. y dicho esto, abro paraguas. ni soy mugremita ni si quiera me considero muy de zquierdas, pero intento tener una vision practica de los temas y alejarme de lo que dice la borregada. a ver que opinais, saludos', 'resumen: hay moros delincuentes y moros totalmente legales y trabajadores. abrir fronteras supone dejar pasar tanto a delincuentes como a los buenos inmigrantes. echarlos a todos y cerrar fronteras supone echar tanto a delincuentes como buena gente. ¿por qué no echamos directamente y sin rodeos a todo aquel que cometa un delito y dejamos en paz a aquellos que cotizan y trabajan como buena gente que son? pues más o menos lo que estoy viendo en twitter, forocoches y otras redes sociales, viene a ser dos puntos de vista contrarios; el primero es algo progresista, en el que se exculpa a la religión islámica del terrorismo, y viene a apoyar que la inmigración musulmana residente en europa no supone ningún problema e incluso es positiva. el segundo es algo mayoritario aquí en forocoches, pero minoritario en twitter por ejemplo, y es la opinión generalizada que culpa a los musulmanes y a su religión de lo sucedido y ve la inmigración como un problema, pretenden echarlos a todos. habrán opiniones más moderadas que otras por supuesto. mi punto de vista es algo diferente a estos y quiero comentaros algunos aspectos porque creo que tengo una conclusión con la que puedo aportar algo de sensatez al tema. me baso en mis experiencias con moros aquí en españa, vivo en un pueblo que hay más población musulmana de lo normal, y algún trato tengo con ellos de vez en cuando. mi opinión hacia ellos viene a ser la siguiente: creo cierto que hay mayor porcentaje de delincuentes inmigrantes que de delincuentes españoles, y lo digo por una percepción experimental, no he hecho ningún estudio, pero veo como me comentan conocidos que unos moros les han robado (normalmente son gitanos)... a mi padre le robó una furgoneta un moro también, y creo que negar que muchos vienen con algún problema de conducta cívica es una actitud ciega hacia la realidad. personalmente no entiendo del todo por que hay tantos inmigrantes delincuentes, supondré que son mentalidades diferentes y no siempre podemos entender su pensamiento. no quiero reflexionar por qué roban más, si eso comentadlo vosotros shurs ahora después. por otro lado, hay otros individuos musulmanes que tienen otra actitud muy diferente a todos esos musulmanes delincuentes, de hecho la actitud más solidaria que han tenido hacia mi, viene de una musulmana! una vez me quedé con mi padre tirado en un pueblo porque al coche se le jodió la batería y no tenía ni pasta, y salió una mujer marroquí de su casa con 2 baterías de coche y me dijo, toma, llévatelas, en poder me las devuelves, y todo eso mientras los españoles se quedaban mirando con cara de langostinos. también he tenido amigos marroquíes, y buena gente todos ellos, humildes, y difícilmente me creo que un día pillen un ak-47 y se pongan a masacrar gente. definitivamente, considero que ese segundo tipo de musulmanes, trabajadores y respetuosos no suponen ningún problema a este país, y sinceramente se me caería el alma de ver que le digan a la mujer que me dió la batería, vete del país, sobras. de verdad, muchos diréis que soy muy considerado con esta gente y que son unos delincuentes todos y tal... eso será porque solo habréis tratado con los moros que son unos delincuentes, que es verdad que son bastantes, pero por eso no se puede castigar a gente que sabe comportarse y respetar. dicho esto, considero que la respuesta política en europa o españa no debe ser la que veo que propone la mayoría, ni abrir fronteras a todo el mundo porque eso supone abrir el paso libre a mafias y delincuentes, pero tampoco cerrarlas y echar a todos los moros. me suenan hasta utópicas esas dos propuestas y ciertamente creo que se van a ver esas dos políticas en europa; mientras en francia puede que gane le pen, veremos como se echa a millones de inmigrantes y se blindan fronteras, y en españa lo contrario si gana iglesias, veremos como abre la frontera tal cual y eso puede ser muy peligroso, y más cuando este país tiende a ser cada día más inseguro desde hace 3 décadas... ante este panorama, ¿no sería más sensato endurecer la ley y deportar a todo delincuente? los musulmanes que comenten actos terroristas tienen todos en común unos antecedentes delictivos, o cómo estos de ayer, han estado en algún ejército yihadista o algo por el estilo. simplemente, a todo inmigrante que cometa un delito, cometa un robo superior a un valor sensato o trafique con droga, pues se le deporta y a tomar por culo, nada de cárcel, (que al final entran y salen constantemente). así tendríamos fuera a todos esos mierdas que se dedican a delinquir, y los progres podrían tener razón por una vez respecto a que los inmigrantes no son problema, y los ""fachas"" no tendrían de qué quejarse ya.']"
7,103,7_alemania_pire_merkel_amigos,"['alemania', 'pire', 'merkel', 'amigos', 'irse', 'ayudas', 'puta', 'pais', 'él', 'casa']","['pues mejor, que se vaya a emirato de alemania', 'qque se vaya a alemania', 'esto demuestra que en alemania son unos o parguelas']"
8,83,8_barco_ong_costa_tráfico,"['barco', 'ong', 'costa', 'tráfico', 'mafia', 'mar', 'patera', 'seguro', 'ongs', 'dejan']","['la policía de fronteras italiana ha grabado como los inmigrantes vienen en barco y cuando este ve que el barco de open arms esta cerca los coloca en una patera para las fotos de los medios', 'los llevan en barco, cuando estan cerca de la costa los meten a una patera para que tengan que rescatarlos pq ""pobrecitos que se ahogan, como habran llegado hasta aqui, una semana en alta mar en esa barquita..."" pero para ti lo importante es que esa vez no cazaron a ninguna ong, cuando a diario van a las costas de libia a traer inmigrantes. este video es una muestra mas de la pantomima de las pateras y de como nos estan tratando de gilipollas.', 'lo que no desmienten es que les llevaron en un barco grande hasta cerca de lampedusa y allí los metieron en la patera ya con su salvavidas y todo. si eso no es tráfico de personas...']"
