Comunidades autónomas;Grupo penal;periodo;Total
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;47
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;51
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;44
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;42
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;42
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;35
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;36
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;44
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2024;328
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2023;302
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2022;362
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2021;316
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2020;293
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2019;296
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2018;248
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2017;253
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2016;275
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2015;219
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2014;239
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2013;284
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2012;255
ASTURIAS (PRINCIPADO DE);AMENAZAS Y COACCIONES;2011;232
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2024;25
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2023;27
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2022;51
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2021;43
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2020;51
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2019;34
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2018;62
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2017;57
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2016;55
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2015;67
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2014;84
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2013;104
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2012;78
ASTURIAS (PRINCIPADO DE);CONTRA EL HONOR;2011;63
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;8
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;3
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;2
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;5
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;3
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;3
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;2
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;0
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;3
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;3
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;3
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;4
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;4
ASTURIAS (PRINCIPADO DE);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;2
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2024;27
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2023;27
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2022;39
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2021;41
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2020;38
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2019;22
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2018;31
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2017;17
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2016;19
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2015;26
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2014;22
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2013;19
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2012;16
ASTURIAS (PRINCIPADO DE);DELITOS SEXUALES;2011;11
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2024;303
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2023;213
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2022;281
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2021;168
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2020;103
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2019;51
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2018;36
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2017;29
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2016;26
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2015;21
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2014;27
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2013;23
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2012;30
ASTURIAS (PRINCIPADO DE);FALSIFICACIÓN INFORMÁTICA;2011;21
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2024;8.117
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2023;7.897
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2022;7.661
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2021;6.187
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2020;5.623
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2019;3.657
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2018;2.371
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2017;1.677
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2016;1.277
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2015;1.002
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2014;690
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2013;585
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2012;475
ASTURIAS (PRINCIPADO DE);FRAUDE INFORMÁTICO;2011;376
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;53
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;36
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;43
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;54
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;39
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;16
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;12
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;18
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;15
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;13
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;6
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;10
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;7
ASTURIAS (PRINCIPADO DE);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;8
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2024;9.183
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2023;8.648
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2022;8.560
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2021;6.906
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2020;6.225
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2019;4.162
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2018;2.809
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2017;2.102
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2016;1.714
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2015;1.393
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2014;1.113
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2013;1.064
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2012;901
ASTURIAS (PRINCIPADO DE);TOTAL grupo penal;2011;757
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;246
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;215
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;240
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;207
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;156
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;128
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;103
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;82
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;96
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;103
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;82
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;79
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;63
BALEARS (ILLES);ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;77
BALEARS (ILLES);AMENAZAS Y COACCIONES;2024;659
BALEARS (ILLES);AMENAZAS Y COACCIONES;2023;573
BALEARS (ILLES);AMENAZAS Y COACCIONES;2022;567
BALEARS (ILLES);AMENAZAS Y COACCIONES;2021;631
BALEARS (ILLES);AMENAZAS Y COACCIONES;2020;465
BALEARS (ILLES);AMENAZAS Y COACCIONES;2019;448
BALEARS (ILLES);AMENAZAS Y COACCIONES;2018;459
BALEARS (ILLES);AMENAZAS Y COACCIONES;2017;449
BALEARS (ILLES);AMENAZAS Y COACCIONES;2016;454
BALEARS (ILLES);AMENAZAS Y COACCIONES;2015;457
BALEARS (ILLES);AMENAZAS Y COACCIONES;2014;359
BALEARS (ILLES);AMENAZAS Y COACCIONES;2013;311
BALEARS (ILLES);AMENAZAS Y COACCIONES;2012;270
BALEARS (ILLES);AMENAZAS Y COACCIONES;2011;324
BALEARS (ILLES);CONTRA EL HONOR;2024;25
BALEARS (ILLES);CONTRA EL HONOR;2023;28
BALEARS (ILLES);CONTRA EL HONOR;2022;29
BALEARS (ILLES);CONTRA EL HONOR;2021;26
BALEARS (ILLES);CONTRA EL HONOR;2020;34
BALEARS (ILLES);CONTRA EL HONOR;2019;43
BALEARS (ILLES);CONTRA EL HONOR;2018;35
BALEARS (ILLES);CONTRA EL HONOR;2017;17
BALEARS (ILLES);CONTRA EL HONOR;2016;34
BALEARS (ILLES);CONTRA EL HONOR;2015;50
BALEARS (ILLES);CONTRA EL HONOR;2014;68
BALEARS (ILLES);CONTRA EL HONOR;2013;47
BALEARS (ILLES);CONTRA EL HONOR;2012;34
BALEARS (ILLES);CONTRA EL HONOR;2011;36
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;1
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;4
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;1
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;2
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;5
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;3
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;7
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;1
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;13
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;9
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;4
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;5
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;2
BALEARS (ILLES);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;6
BALEARS (ILLES);DELITOS SEXUALES;2024;57
BALEARS (ILLES);DELITOS SEXUALES;2023;60
BALEARS (ILLES);DELITOS SEXUALES;2022;60
BALEARS (ILLES);DELITOS SEXUALES;2021;63
BALEARS (ILLES);DELITOS SEXUALES;2020;52
BALEARS (ILLES);DELITOS SEXUALES;2019;43
BALEARS (ILLES);DELITOS SEXUALES;2018;53
BALEARS (ILLES);DELITOS SEXUALES;2017;61
BALEARS (ILLES);DELITOS SEXUALES;2016;70
BALEARS (ILLES);DELITOS SEXUALES;2015;36
BALEARS (ILLES);DELITOS SEXUALES;2014;50
BALEARS (ILLES);DELITOS SEXUALES;2013;44
BALEARS (ILLES);DELITOS SEXUALES;2012;36
BALEARS (ILLES);DELITOS SEXUALES;2011;34
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2024;433
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2023;258
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2022;313
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2021;295
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2020;169
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2019;108
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2018;90
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2017;80
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2016;76
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2015;80
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2014;61
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2013;63
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2012;45
BALEARS (ILLES);FALSIFICACIÓN INFORMÁTICA;2011;45
BALEARS (ILLES);FRAUDE INFORMÁTICO;2024;11.491
BALEARS (ILLES);FRAUDE INFORMÁTICO;2023;10.299
BALEARS (ILLES);FRAUDE INFORMÁTICO;2022;7.452
BALEARS (ILLES);FRAUDE INFORMÁTICO;2021;7.005
BALEARS (ILLES);FRAUDE INFORMÁTICO;2020;10.879
BALEARS (ILLES);FRAUDE INFORMÁTICO;2019;7.702
BALEARS (ILLES);FRAUDE INFORMÁTICO;2018;5.491
BALEARS (ILLES);FRAUDE INFORMÁTICO;2017;3.156
BALEARS (ILLES);FRAUDE INFORMÁTICO;2016;2.113
BALEARS (ILLES);FRAUDE INFORMÁTICO;2015;2.264
BALEARS (ILLES);FRAUDE INFORMÁTICO;2014;1.304
BALEARS (ILLES);FRAUDE INFORMÁTICO;2013;1.049
BALEARS (ILLES);FRAUDE INFORMÁTICO;2012;956
BALEARS (ILLES);FRAUDE INFORMÁTICO;2011;749
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;41
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;48
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;39
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;65
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;40
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;33
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;39
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;30
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;36
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;26
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;15
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;10
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;14
BALEARS (ILLES);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;3
BALEARS (ILLES);TOTAL grupo penal;2024;12.953
BALEARS (ILLES);TOTAL grupo penal;2023;11.485
BALEARS (ILLES);TOTAL grupo penal;2022;8.701
BALEARS (ILLES);TOTAL grupo penal;2021;8.294
BALEARS (ILLES);TOTAL grupo penal;2020;11.800
BALEARS (ILLES);TOTAL grupo penal;2019;8.508
BALEARS (ILLES);TOTAL grupo penal;2018;6.277
BALEARS (ILLES);TOTAL grupo penal;2017;3.876
BALEARS (ILLES);TOTAL grupo penal;2016;2.892
BALEARS (ILLES);TOTAL grupo penal;2015;3.025
BALEARS (ILLES);TOTAL grupo penal;2014;1.943
BALEARS (ILLES);TOTAL grupo penal;2013;1.608
BALEARS (ILLES);TOTAL grupo penal;2012;1.420
BALEARS (ILLES);TOTAL grupo penal;2011;1.274
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;418
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;363
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;252
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;250
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;194
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;197
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;141
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;114
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;111
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;108
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;77
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;92
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;70
CANARIAS;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;82
CANARIAS;AMENAZAS Y COACCIONES;2024;766
CANARIAS;AMENAZAS Y COACCIONES;2023;871
CANARIAS;AMENAZAS Y COACCIONES;2022;1.028
CANARIAS;AMENAZAS Y COACCIONES;2021;1.074
CANARIAS;AMENAZAS Y COACCIONES;2020;1.023
CANARIAS;AMENAZAS Y COACCIONES;2019;861
CANARIAS;AMENAZAS Y COACCIONES;2018;847
CANARIAS;AMENAZAS Y COACCIONES;2017;759
CANARIAS;AMENAZAS Y COACCIONES;2016;848
CANARIAS;AMENAZAS Y COACCIONES;2015;729
CANARIAS;AMENAZAS Y COACCIONES;2014;717
CANARIAS;AMENAZAS Y COACCIONES;2013;673
CANARIAS;AMENAZAS Y COACCIONES;2012;750
CANARIAS;AMENAZAS Y COACCIONES;2011;818
CANARIAS;CONTRA EL HONOR;2024;60
CANARIAS;CONTRA EL HONOR;2023;63
CANARIAS;CONTRA EL HONOR;2022;72
CANARIAS;CONTRA EL HONOR;2021;94
CANARIAS;CONTRA EL HONOR;2020;111
CANARIAS;CONTRA EL HONOR;2019;95
CANARIAS;CONTRA EL HONOR;2018;74
CANARIAS;CONTRA EL HONOR;2017;88
CANARIAS;CONTRA EL HONOR;2016;77
CANARIAS;CONTRA EL HONOR;2015;126
CANARIAS;CONTRA EL HONOR;2014;124
CANARIAS;CONTRA EL HONOR;2013;86
CANARIAS;CONTRA EL HONOR;2012;97
CANARIAS;CONTRA EL HONOR;2011;139
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;5
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;4
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;2
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;4
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;5
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;4
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;2
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;4
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;6
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;5
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;2
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;1
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;3
CANARIAS;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;11
CANARIAS;DELITOS SEXUALES;2024;70
CANARIAS;DELITOS SEXUALES;2023;92
CANARIAS;DELITOS SEXUALES;2022;97
CANARIAS;DELITOS SEXUALES;2021;87
CANARIAS;DELITOS SEXUALES;2020;143
CANARIAS;DELITOS SEXUALES;2019;129
CANARIAS;DELITOS SEXUALES;2018;87
CANARIAS;DELITOS SEXUALES;2017;75
CANARIAS;DELITOS SEXUALES;2016;52
CANARIAS;DELITOS SEXUALES;2015;65
CANARIAS;DELITOS SEXUALES;2014;57
CANARIAS;DELITOS SEXUALES;2013;50
CANARIAS;DELITOS SEXUALES;2012;70
CANARIAS;DELITOS SEXUALES;2011;52
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2024;620
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2023;471
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2022;473
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2021;399
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2020;277
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2019;205
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2018;152
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2017;209
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2016;97
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2015;110
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2014;66
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2013;69
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2012;51
CANARIAS;FALSIFICACIÓN INFORMÁTICA;2011;83
CANARIAS;FRAUDE INFORMÁTICO;2024;14.764
CANARIAS;FRAUDE INFORMÁTICO;2023;15.752
CANARIAS;FRAUDE INFORMÁTICO;2022;11.699
CANARIAS;FRAUDE INFORMÁTICO;2021;8.916
CANARIAS;FRAUDE INFORMÁTICO;2020;12.642
CANARIAS;FRAUDE INFORMÁTICO;2019;7.286
CANARIAS;FRAUDE INFORMÁTICO;2018;3.097
CANARIAS;FRAUDE INFORMÁTICO;2017;2.172
CANARIAS;FRAUDE INFORMÁTICO;2016;1.696
CANARIAS;FRAUDE INFORMÁTICO;2015;1.838
CANARIAS;FRAUDE INFORMÁTICO;2014;1.371
CANARIAS;FRAUDE INFORMÁTICO;2013;1.161
CANARIAS;FRAUDE INFORMÁTICO;2012;2.118
CANARIAS;FRAUDE INFORMÁTICO;2011;1.384
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;54
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;55
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;61
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;51
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;54
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;64
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;45
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;49
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;47
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;39
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;12
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;19
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;7
CANARIAS;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;5
CANARIAS;TOTAL grupo penal;2024;16.757
CANARIAS;TOTAL grupo penal;2023;17.671
CANARIAS;TOTAL grupo penal;2022;13.684
CANARIAS;TOTAL grupo penal;2021;10.875
CANARIAS;TOTAL grupo penal;2020;14.449
CANARIAS;TOTAL grupo penal;2019;8.841
CANARIAS;TOTAL grupo penal;2018;4.445
CANARIAS;TOTAL grupo penal;2017;3.470
CANARIAS;TOTAL grupo penal;2016;2.934
CANARIAS;TOTAL grupo penal;2015;3.020
CANARIAS;TOTAL grupo penal;2014;2.426
CANARIAS;TOTAL grupo penal;2013;2.151
CANARIAS;TOTAL grupo penal;2012;3.166
CANARIAS;TOTAL grupo penal;2011;2.574
