Comunidades autónomas;Grupo penal;periodo;Total
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2023;15.137
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2022;12.569
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2021;10.476
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2020;6.289
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2019;4.275
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2018;3.436
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2017;3.280
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2016;3.017
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2015;2.644
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2014;1.874
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2013;1.608
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2012;1.625
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2011;1.860
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2024;412.850
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2023;427.448
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2022;335.995
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2021;267.011
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2020;257.907
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2019;192.375
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2018;136.656
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2017;94.792
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2016;70.178
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2015;62.038
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2014;32.842
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2013;26.664
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2012;27.231
TOTAL NACIONAL;FRAUDE INFORMÁTICO;2011;21.075
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;1.917
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;1.741
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;1.662
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;2.138
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;1.590
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;1.473
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;1.192
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;1.291
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;1.336
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;1.193
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;440
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;359
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;298
TOTAL NACIONAL;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;228
TOTAL NACIONAL;TOTAL grupo penal;2024;464.801
TOTAL NACIONAL;TOTAL grupo penal;2023;472.260
TOTAL NACIONAL;TOTAL grupo penal;2022;374.737
TOTAL NACIONAL;TOTAL grupo penal;2021;305.477
TOTAL NACIONAL;TOTAL grupo penal;2020;287.963
TOTAL NACIONAL;TOTAL grupo penal;2019;218.302
TOTAL NACIONAL;TOTAL grupo penal;2018;160.729
TOTAL NACIONAL;TOTAL grupo penal;2017;117.399
TOTAL NACIONAL;TOTAL grupo penal;2016;92.716
TOTAL NACIONAL;TOTAL grupo penal;2015;83.058
TOTAL NACIONAL;TOTAL grupo penal;2014;49.935
TOTAL NACIONAL;TOTAL grupo penal;2013;42.403
TOTAL NACIONAL;TOTAL grupo penal;2012;42.812
TOTAL NACIONAL;TOTAL grupo penal;2011;37.412
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;2.241
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;1.622
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;1.096
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;991
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;946
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;794
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;694
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;632
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;589
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;577
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;465
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;487
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;434
ANDALUCÍA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;450
ANDALUCÍA;AMENAZAS Y COACCIONES;2024;3.750
ANDALUCÍA;AMENAZAS Y COACCIONES;2023;3.420
ANDALUCÍA;AMENAZAS Y COACCIONES;2022;3.241
ANDALUCÍA;AMENAZAS Y COACCIONES;2021;3.420
ANDALUCÍA;AMENAZAS Y COACCIONES;2020;3.149
ANDALUCÍA;AMENAZAS Y COACCIONES;2019;2.888
ANDALUCÍA;AMENAZAS Y COACCIONES;2018;2.713
ANDALUCÍA;AMENAZAS Y COACCIONES;2017;2.720
ANDALUCÍA;AMENAZAS Y COACCIONES;2016;2.717
ANDALUCÍA;AMENAZAS Y COACCIONES;2015;2.420
ANDALUCÍA;AMENAZAS Y COACCIONES;2014;2.404
ANDALUCÍA;AMENAZAS Y COACCIONES;2013;2.241
ANDALUCÍA;AMENAZAS Y COACCIONES;2012;2.246
ANDALUCÍA;AMENAZAS Y COACCIONES;2011;2.466
ANDALUCÍA;CONTRA EL HONOR;2024;300
ANDALUCÍA;CONTRA EL HONOR;2023;305
ANDALUCÍA;CONTRA EL HONOR;2022;347
ANDALUCÍA;CONTRA EL HONOR;2021;383
ANDALUCÍA;CONTRA EL HONOR;2020;374
ANDALUCÍA;CONTRA EL HONOR;2019;372
ANDALUCÍA;CONTRA EL HONOR;2018;368
ANDALUCÍA;CONTRA EL HONOR;2017;427
ANDALUCÍA;CONTRA EL HONOR;2016;375
ANDALUCÍA;CONTRA EL HONOR;2015;527
ANDALUCÍA;CONTRA EL HONOR;2014;513
ANDALUCÍA;CONTRA EL HONOR;2013;460
ANDALUCÍA;CONTRA EL HONOR;2012;437
ANDALUCÍA;CONTRA EL HONOR;2011;499
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;47
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;20
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;25
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;19
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;17
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;19
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;29
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;18
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;16
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;25
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;32
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;22
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;30
ANDALUCÍA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;27
ANDALUCÍA;DELITOS SEXUALES;2024;302
ANDALUCÍA;DELITOS SEXUALES;2023;407
ANDALUCÍA;DELITOS SEXUALES;2022;408
ANDALUCÍA;DELITOS SEXUALES;2021;352
ANDALUCÍA;DELITOS SEXUALES;2020;383
ANDALUCÍA;DELITOS SEXUALES;2019;332
ANDALUCÍA;DELITOS SEXUALES;2018;330
ANDALUCÍA;DELITOS SEXUALES;2017;328
ANDALUCÍA;DELITOS SEXUALES;2016;257
ANDALUCÍA;DELITOS SEXUALES;2015;283
ANDALUCÍA;DELITOS SEXUALES;2014;205
ANDALUCÍA;DELITOS SEXUALES;2013;188
ANDALUCÍA;DELITOS SEXUALES;2012;133
ANDALUCÍA;DELITOS SEXUALES;2011;129
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2024;3.220
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2023;2.355
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2022;2.145
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2021;1.700
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2020;998
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2019;780
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2018;669
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2017;772
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2016;740
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2015;666
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2014;573
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2013;444
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2012;436
ANDALUCÍA;FALSIFICACIÓN INFORMÁTICA;2011;433
ANDALUCÍA;FRAUDE INFORMÁTICO;2024;71.252
ANDALUCÍA;FRAUDE INFORMÁTICO;2023;72.795
ANDALUCÍA;FRAUDE INFORMÁTICO;2022;49.323
ANDALUCÍA;FRAUDE INFORMÁTICO;2021;35.288
ANDALUCÍA;FRAUDE INFORMÁTICO;2020;33.036
ANDALUCÍA;FRAUDE INFORMÁTICO;2019;23.237
ANDALUCÍA;FRAUDE INFORMÁTICO;2018;15.081
ANDALUCÍA;FRAUDE INFORMÁTICO;2017;10.366
ANDALUCÍA;FRAUDE INFORMÁTICO;2016;8.165
ANDALUCÍA;FRAUDE INFORMÁTICO;2015;6.536
ANDALUCÍA;FRAUDE INFORMÁTICO;2014;5.666
ANDALUCÍA;FRAUDE INFORMÁTICO;2013;4.481
ANDALUCÍA;FRAUDE INFORMÁTICO;2012;4.378
ANDALUCÍA;FRAUDE INFORMÁTICO;2011;3.609
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;414
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;403
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;323
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;340
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;254
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;233
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;205
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;195
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;193
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;144
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;99
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;69
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;58
ANDALUCÍA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;57
ANDALUCÍA;TOTAL grupo penal;2024;81.526
ANDALUCÍA;TOTAL grupo penal;2023;81.327
ANDALUCÍA;TOTAL grupo penal;2022;56.908
ANDALUCÍA;TOTAL grupo penal;2021;42.493
ANDALUCÍA;TOTAL grupo penal;2020;39.157
ANDALUCÍA;TOTAL grupo penal;2019;28.655
ANDALUCÍA;TOTAL grupo penal;2018;20.089
ANDALUCÍA;TOTAL grupo penal;2017;15.458
ANDALUCÍA;TOTAL grupo penal;2016;13.052
ANDALUCÍA;TOTAL grupo penal;2015;11.178
ANDALUCÍA;TOTAL grupo penal;2014;9.957
ANDALUCÍA;TOTAL grupo penal;2013;8.392
ANDALUCÍA;TOTAL grupo penal;2012;8.152
ANDALUCÍA;TOTAL grupo penal;2011;7.670
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;233
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;145
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;87
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;88
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;134
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;73
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;75
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;68
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;100
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;72
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;64
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;82
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;67
ARAGÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;68
ARAGÓN;AMENAZAS Y COACCIONES;2024;573
ARAGÓN;AMENAZAS Y COACCIONES;2023;621
ARAGÓN;AMENAZAS Y COACCIONES;2022;482
ARAGÓN;AMENAZAS Y COACCIONES;2021;591
ARAGÓN;AMENAZAS Y COACCIONES;2020;355
ARAGÓN;AMENAZAS Y COACCIONES;2019;318
ARAGÓN;AMENAZAS Y COACCIONES;2018;339
ARAGÓN;AMENAZAS Y COACCIONES;2017;296
ARAGÓN;AMENAZAS Y COACCIONES;2016;338
ARAGÓN;AMENAZAS Y COACCIONES;2015;258
ARAGÓN;AMENAZAS Y COACCIONES;2014;273
ARAGÓN;AMENAZAS Y COACCIONES;2013;279
ARAGÓN;AMENAZAS Y COACCIONES;2012;232
ARAGÓN;AMENAZAS Y COACCIONES;2011;329
ARAGÓN;CONTRA EL HONOR;2024;32
ARAGÓN;CONTRA EL HONOR;2023;36
ARAGÓN;CONTRA EL HONOR;2022;23
ARAGÓN;CONTRA EL HONOR;2021;52
ARAGÓN;CONTRA EL HONOR;2020;54
ARAGÓN;CONTRA EL HONOR;2019;20
ARAGÓN;CONTRA EL HONOR;2018;50
ARAGÓN;CONTRA EL HONOR;2017;40
ARAGÓN;CONTRA EL HONOR;2016;60
ARAGÓN;CONTRA EL HONOR;2015;73
ARAGÓN;CONTRA EL HONOR;2014;77
ARAGÓN;CONTRA EL HONOR;2013;87
ARAGÓN;CONTRA EL HONOR;2012;79
ARAGÓN;CONTRA EL HONOR;2011;87
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;11
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;2
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;2
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;6
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;1
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;4
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;0
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;4
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;3
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;3
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;3
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;4
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;4
ARAGÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;2
ARAGÓN;DELITOS SEXUALES;2024;37
ARAGÓN;DELITOS SEXUALES;2023;47
ARAGÓN;DELITOS SEXUALES;2022;44
ARAGÓN;DELITOS SEXUALES;2021;55
ARAGÓN;DELITOS SEXUALES;2020;36
ARAGÓN;DELITOS SEXUALES;2019;42
ARAGÓN;DELITOS SEXUALES;2018;30
ARAGÓN;DELITOS SEXUALES;2017;36
ARAGÓN;DELITOS SEXUALES;2016;29
ARAGÓN;DELITOS SEXUALES;2015;34
ARAGÓN;DELITOS SEXUALES;2014;31
ARAGÓN;DELITOS SEXUALES;2013;29
ARAGÓN;DELITOS SEXUALES;2012;20
ARAGÓN;DELITOS SEXUALES;2011;33
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2024;472
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2023;386
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2022;220
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2021;292
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2020;225
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2019;101
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2018;97
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2017;59
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2016;54
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2015;58
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2014;39
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2013;42
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2012;30
ARAGÓN;FALSIFICACIÓN INFORMÁTICA;2011;57
