comunidad,delitos_por_100k,pct_Extrema derecha
Andalucía,3.844295769865078,15.589515504267396
Aragón,3.056761070880325,14.963473328367616
Asturias,6.957835516768384,12.72909764078719
Baleares,4.711109788694329,15.407670120025523
Canarias,3.795724929236842,7.658427954257174
Cantabria,3.3991233660838867,14.24999638273552
Castilla y León,4.824426533003483,14.236543581056932
Castilla-La Mancha,3.886595850651077,17.994430249119127
Cataluña,3.8977656564577687,7.85602354636576
Ceuta,3.612194769541973,23.6175852298693
Comunidad Valenciana,4.811936670312363,15.863836581810904
Extremadura,1.9918315934842448,13.941265121583642
Galicia,4.556527614780042,4.919497503882335
La Rioja,5.274883487132387,9.944609643752552
Madrid,4.627539125625027,14.230581620101916
Melilla,10.52717766366837,16.938022148824558
Murcia,3.1578431802187548,22.135106052402683
Navarra,14.13364476943562,5.783319140350304
País Vasco,12.227575483846516,2.6708147914779663
