año,mes,Centro,Derecha,Extrema derecha,Izquierda,Total,pct_Centro,pct_Derecha,pct_Extrema derecha,pct_Izquierda
2015,12,5809236.0,11923520.0,65609.0,7108313.0,24906678.0,23.324009729438828,47.8727833555322,0.2634193126839316,28.53978760234504
2016,6,5747186.0,11982998.0,57091.0,5988829.0,23776104.0,24.17210994702917,50.39933371758468,0.24011923904774307,25.188437096338408
2019,4,7963933.0,9671272.0,2688738.0,5500360.0,25824303.0,30.8389078303488,37.45027310127209,10.411657576973132,21.299161491405982
2019,11,7132598.0,7829952.0,3657595.0,5282239.0,23902384.0,29.840529714525548,32.758037859319806,15.30221838959662,22.099214036558028
2023,7,8090129.0,9034122.0,3057000.0,4125449.0,24306700.0,33.2835349924095,37.16720904112858,12.576779241937409,16.972476724524512
