comunidad,año,mes,delitos_por_100k,pct_Extrema derecha,pct_Derecha,pct_Centro,pct_Izquierda
Andalucía,2015,12,1.692694022668272,0.2460295898795088,43.861435662501286,32.78437985823825,23.108154889380952
Aragón,2015,12,2.414001207000604,0.2551625919772134,49.93403584696316,24.050833797934413,25.759967763125207
Asturias,2015,12,2.096579906378177,0.2784334990405003,44.79077711357814,24.298883343669736,30.631906043711627
Baleares,2015,12,2.250220971699421,0.0,44.85987759422024,22.30977112712882,32.830351278650944
Canarias,2015,12,1.665620498363171,0.1577758704972389,49.37537696288593,23.50319582883869,26.96365133777814
Cantabria,2015,12,1.5379777984360476,0.2601910570514376,53.55777338831711,23.507583370874773,22.674452183756685
Castilla y León,2015,12,2.221596584719374,0.3458006700854517,56.1775141483776,23.38575365786913,20.090931523667813
Castilla-La Mancha,2015,12,3.5391966023712618,0.3111498227791336,52.90581853618151,29.331217606526558,17.451814034512793
Cataluña,2015,12,3.732705915328216,0.012484870484907,41.62794119384359,17.027859787118192,41.33171414855331
Ceuta,2015,12,0.0,0.0,59.76466239526861,24.59647609659931,15.638861508132084
Comunidad Valenciana,2015,12,2.4873146950552183,0.2765319559006899,48.60321556203231,21.12991951982236,29.99033296224464
Extremadura,2015,12,2.746706927286428,0.0808363282828834,47.11915243577959,36.9311221424436,15.868889093493925
Galicia,2015,12,2.341919517740223,0.0770693364243539,47.437289930390186,22.4987412833096,29.98689944987586
La Rioja,2015,12,3.4980935390212338,0.0,54.812347805259165,24.607786667883275,20.57986552685756
Madrid,2015,12,2.493829340827578,0.759484135564375,53.98285566816162,18.803440026225665,26.454220170048337
Melilla,2015,12,0.0,0.0,61.06284024948625,26.02660705916285,12.910552691350905
Murcia,2015,12,2.115759335788069,0.4550792922282939,59.33987157390601,21.419231745177782,18.78581738868791
Navarra,2015,12,4.864141392744897,0.0,37.05906581141684,25.300628764160155,37.64030542442301
País Vasco,2015,12,9.25113234320136,0.0,41.265623397123015,14.063208368217452,44.67116823465954
Andalucía,2016,6,1.81123888024446,0.2454757284416726,47.90862813530967,32.81511736622453,19.03077877002413
Aragón,2016,6,2.124363260047859,0.3123324608722024,52.94114265098824,26.058272354480817,20.688252533658748
Asturias,2016,6,2.787370711654189,0.2454514041965041,48.67903909690224,26.26738543189745,24.80812406700381
Baleares,2016,6,2.237430785078664,0.0,51.46798090770505,22.32959727329009,26.20242181900487
Canarias,2016,6,0.855742699088539,0.0910620812125091,54.88648213345447,24.308413434238105,20.714042351094918
Cantabria,2016,6,2.918484997270358,0.213264259243196,56.80935132370404,24.75899344055371,18.21839097649906
Castilla y León,2016,6,1.99778123969257,0.2672511972951277,59.50565502696573,24.33373760423808,15.893356171501065
Castilla-La Mancha,2016,6,2.732592410419765,0.2370646347358073,56.44509858231908,28.38846738030454,14.92936940264057
Cataluña,2016,6,3.789970072676036,0.0057588741924487,38.64038797360923,18.02606152339092,43.3277916288074
Ceuta,2016,6,0.0,0.4571917245008716,64.50679209288556,24.03381245271848,11.002203729895076
Comunidad Valenciana,2016,6,2.570908490232977,0.3143743730899292,51.36324088838536,22.37272845346273,25.949656285061973
Extremadura,2016,6,2.854109872181912,0.1685218856712049,51.055232801651705,35.579306300846056,13.196939011831024
Galicia,2016,6,2.206616539694273,0.0662703364672872,50.82863756972596,23.574283492356304,25.530808601450456
La Rioja,2016,6,3.821351803200383,0.2135792022875149,57.370524902984855,25.30271642400724,17.11317947072039
Madrid,2016,6,2.6670967295155275,0.6038658590675047,56.950263501927225,20.880417738155803,21.56545290084947
Melilla,2016,6,7.0210749265712575,0.0,63.48614271326794,26.565705546644782,9.948151740087283
Murcia,2016,6,2.5198060157985025,0.3702662895279034,63.14480631627406,21.626545070953583,14.858382323244449
Navarra,2016,6,4.851922456888321,0.0,38.84607101801384,22.831378472569767,38.3225505094164
