;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
202101;Enero de 2021;1;Andalucía;4;Almería;04001;Abla;85;4;14;32;2;23;10;14;2;6;59;4
202101;Enero de 2021;1;Andalucía;4;Almería;04002;Abrucena;76;4;11;16;9;23;13;10;2;8;40;16
202101;Enero de 2021;1;Andalucía;4;Almería;04003;Adra;2290;107;403;489;79;634;578;428;73;217;1381;191
202101;Enero de 2021;1;Andalucía;4;Almería;04004;Albánchez;30;4;3;12;0;4;7;1;2;3;21;3
202101;Enero de 2021;1;Andalucía;4;Almería;04005;Alboloduy;42;1;9;14;2;10;6;8;7;3;21;3
202101;Enero de 2021;1;Andalucía;4;Almería;04006;Albox;949;50;157;197;38;306;201;84;54;110;599;102
202101;Enero de 2021;1;Andalucía;4;Almería;04007;Alcolea;82;7;11;24;3;21;16;19;1;14;47;1
202101;Enero de 2021;1;Andalucía;4;Almería;04008;Alcóntar;25;0;2;9;3;7;4;4;3;2;14;2
202101;Enero de 2021;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;9;3;0;4;0;0;2;1;0;0;7;1
202101;Enero de 2021;1;Andalucía;4;Almería;04010;Alhabia;86;5;14;33;1;21;12;5;16;31;28;6
202101;Enero de 2021;1;Andalucía;4;Almería;04011;Alhama de Almería;389;18;76;84;17;103;91;31;26;40;239;53
202101;Enero de 2021;1;Andalucía;4;Almería;04012;Alicún;20;2;0;5;0;4;9;0;3;1;15;1
202101;Enero de 2021;1;Andalucía;4;Almería;04013;Almería;23170;1086;4483;4721;1101;6046;5733;1635;631;2113;15710;3081
202101;Enero de 2021;1;Andalucía;4;Almería;04014;Almócita;13;1;3;0;0;3;6;2;0;2;7;2
202101;Enero de 2021;1;Andalucía;4;Almería;04015;Alsodux;9;1;3;3;0;1;1;1;1;1;5;1
202101;Enero de 2021;1;Andalucía;4;Almería;04016;Antas;202;6;27;37;15;58;59;25;5;12;147;13
202101;Enero de 2021;1;Andalucía;4;Almería;04017;Arboleas;178;13;35;41;15;48;26;19;9;29;101;20
202101;Enero de 2021;1;Andalucía;4;Almería;04018;Armuña de Almanzora;21;1;4;3;0;6;7;1;1;3;16;0
202101;Enero de 2021;1;Andalucía;4;Almería;04019;Bacares;13;0;1;2;1;3;6;1;0;0;11;1
202101;Enero de 2021;1;Andalucía;4;Almería;04020;Bayárcal;18;1;1;8;0;5;3;1;0;2;15;0
202101;Enero de 2021;1;Andalucía;4;Almería;04021;Bayarque;13;1;0;2;1;5;4;2;0;2;9;0
202101;Enero de 2021;1;Andalucía;4;Almería;04022;Bédar;41;2;6;14;2;7;10;1;5;2;30;3
202101;Enero de 2021;1;Andalucía;4;Almería;04023;Beires;8;0;1;4;1;1;1;1;0;1;6;0
202101;Enero de 2021;1;Andalucía;4;Almería;04024;Benahadux;401;18;62;62;16;127;116;20;23;33;285;40
202101;Enero de 2021;1;Andalucía;4;Almería;04026;Benitagla;5;1;0;2;1;1;0;1;0;0;4;0
202101;Enero de 2021;1;Andalucía;4;Almería;04027;Benizalón;15;1;5;3;2;1;3;1;1;0;11;2
202101;Enero de 2021;1;Andalucía;4;Almería;04028;Bentarique;15;1;4;6;0;3;1;3;0;2;8;2
202101;Enero de 2021;1;Andalucía;4;Almería;04029;Berja;1323;59;259;336;54;318;297;316;43;178;690;96
202101;Enero de 2021;1;Andalucía;4;Almería;04030;Canjáyar;106;7;25;31;3;26;14;17;4;11;67;7
202101;Enero de 2021;1;Andalucía;4;Almería;04031;Cantoria;255;7;40;62;11;55;80;14;18;27;176;20
202101;Enero de 2021;1;Andalucía;4;Almería;04032;Carboneras;824;44;160;160;27;234;199;93;43;64;565;59
202101;Enero de 2021;1;Andalucía;4;Almería;04033;Castro de Filabres;7;0;1;3;0;0;3;2;0;0;5;0
202101;Enero de 2021;1;Andalucía;4;Almería;04034;Cóbdar;10;1;0;3;0;4;2;1;0;1;8;0
202101;Enero de 2021;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;1269;62;254;213;81;369;290;214;32;108;818;97
202101;Enero de 2021;1;Andalucía;4;Almería;04036;Chercos;21;2;5;4;3;5;2;0;4;2;12;3
202101;Enero de 2021;1;Andalucía;4;Almería;04037;Chirivel;57;1;9;15;2;16;14;7;1;4;43;2
202101;Enero de 2021;1;Andalucía;4;Almería;04038;Dalías;264;6;43;73;8;66;68;58;6;35;148;17
202101;Enero de 2021;1;Andalucía;4;Almería;04041;Enix;21;1;2;7;1;4;6;2;1;1;14;3
202101;Enero de 2021;1;Andalucía;4;Almería;04043;Felix;34;2;5;13;0;6;8;6;0;3;24;1
202101;Enero de 2021;1;Andalucía;4;Almería;04044;Fines;222;9;40;42;8;58;65;24;31;11;139;17
202101;Enero de 2021;1;Andalucía;4;Almería;04045;Fiñana;205;10;39;64;11;51;30;38;28;20;98;21
202101;Enero de 2021;1;Andalucía;4;Almería;04046;Fondón;81;1;10;25;0;16;29;6;13;9;51;2
202101;Enero de 2021;1;Andalucía;4;Almería;04047;Gádor;377;30;79;82;18;90;78;48;26;31;215;57
