;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201901;Enero de 2019;1;Andalucía;4;Almería;04054;Illar;24;2;7;7;1;2;5;1;2;1;17;3
201901;Enero de 2019;1;Andalucía;4;Almería;04055;Instinción;28;0;4;8;1;9;6;1;3;1;20;3
201901;Enero de 2019;1;Andalucía;4;Almería;04056;Laroya;13;1;2;7;0;1;2;1;0;2;10;0
201901;Enero de 2019;1;Andalucía;4;Almería;04057;Láujar de Andarax;144;5;23;37;8;27;44;15;16;16;92;5
201901;Enero de 2019;1;Andalucía;4;Almería;04058;Líjar;27;1;3;8;1;8;6;0;2;4;19;2
201901;Enero de 2019;1;Andalucía;4;Almería;04059;Lubrín;66;3;14;19;2;17;11;7;2;15;36;6
201901;Enero de 2019;1;Andalucía;4;Almería;04060;Lucainena de las Torres;33;0;5;12;0;10;6;4;1;1;26;1
201901;Enero de 2019;1;Andalucía;4;Almería;04061;Lúcar;68;1;9;15;2;24;17;9;8;8;41;2
201901;Enero de 2019;1;Andalucía;4;Almería;04062;Macael;524;13;84;105;15;132;175;29;116;25;302;52
201901;Enero de 2019;1;Andalucía;4;Almería;04063;María;55;1;9;14;3;14;14;6;7;3;36;3
201901;Enero de 2019;1;Andalucía;4;Almería;04064;Mojácar;472;14;70;102;13;107;166;7;8;14;417;26
201901;Enero de 2019;1;Andalucía;4;Almería;04065;Nacimiento;28;0;6;7;1;3;11;8;10;0;10;0
201901;Enero de 2019;1;Andalucía;4;Almería;04066;Níjar;1972;80;441;437;71;512;431;552;51;150;1076;143
201901;Enero de 2019;1;Andalucía;4;Almería;04067;Ohanes;49;4;7;19;5;7;7;3;0;5;40;1
201901;Enero de 2019;1;Andalucía;4;Almería;04068;Olula de Castro;10;0;2;5;0;1;2;2;0;1;6;1
201901;Enero de 2019;1;Andalucía;4;Almería;04069;Olula del Río;634;16;75;162;13;187;181;41;122;50;366;55
201901;Enero de 2019;1;Andalucía;4;Almería;04070;Oria;79;4;19;19;3;17;17;13;7;6;48;5
201901;Enero de 2019;1;Andalucía;4;Almería;04071;Padules;29;1;5;10;2;7;4;2;0;2;25;0
201901;Enero de 2019;1;Andalucía;4;Almería;04072;Partaloa;17;0;2;4;2;5;4;0;2;0;11;4
201901;Enero de 2019;1;Andalucía;4;Almería;04073;Paterna del Río;23;1;7;6;1;5;3;4;1;4;14;0
201901;Enero de 2019;1;Andalucía;4;Almería;04074;Pechina;469;27;83;100;34;109;116;55;22;44;294;54
201901;Enero de 2019;1;Andalucía;4;Almería;04075;Pulpí;345;20;48;63;11;115;88;86;15;32;181;31
201901;Enero de 2019;1;Andalucía;4;Almería;04076;Purchena;123;5;16;26;2;42;32;7;32;14;61;9
201901;Enero de 2019;1;Andalucía;4;Almería;04077;Rágol;11;0;1;3;1;3;3;1;0;0;10;0
201901;Enero de 2019;1;Andalucía;4;Almería;04078;Rioja;173;8;25;47;7;34;52;19;7;19;117;11
201901;Enero de 2019;1;Andalucía;4;Almería;04079;Roquetas de Mar;8565;286;1701;1705;271;2468;2134;1046;284;966;5683;586
201901;Enero de 2019;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;11;0;4;6;0;0;1;0;2;3;6;0
201901;Enero de 2019;1;Andalucía;4;Almería;04081;Santa Fe de Mondújar;42;0;13;10;2;9;8;6;2;2;32;0
201901;Enero de 2019;1;Andalucía;4;Almería;04082;Senés;18;0;4;6;2;2;4;1;0;3;14;0
201901;Enero de 2019;1;Andalucía;4;Almería;04083;Serón;112;3;10;36;3;26;34;6;12;8;79;7
201901;Enero de 2019;1;Andalucía;4;Almería;04084;Sierro;30;1;8;10;3;4;4;2;5;4;17;2
201901;Enero de 2019;1;Andalucía;4;Almería;04085;Somontín;29;0;7;9;2;4;7;3;3;3;20;0
201901;Enero de 2019;1;Andalucía;4;Almería;04086;Sorbas;176;13;34;46;8;40;35;25;12;22;103;14
201901;Enero de 2019;1;Andalucía;4;Almería;04087;Suflí;23;3;3;8;0;4;5;0;2;7;12;2
201901;Enero de 2019;1;Andalucía;4;Almería;04088;Tabernas;372;23;73;106;14;90;66;64;21;34;238;15
201901;Enero de 2019;1;Andalucía;4;Almería;04089;Taberno;38;5;5;9;0;11;8;1;1;7;25;4
201901;Enero de 2019;1;Andalucía;4;Almería;04090;Tahal;18;0;5;6;0;1;6;1;0;3;14;0
201901;Enero de 2019;1;Andalucía;4;Almería;04091;Terque;35;2;5;10;0;9;9;0;0;2;30;3
201901;Enero de 2019;1;Andalucía;4;Almería;04092;Tíjola;247;4;34;57;10;75;67;23;27;24;157;16
201901;Enero de 2019;1;Andalucía;4;Almería;04093;Turre;367;11;68;78;12;113;85;5;10;42;284;26
201901;Enero de 2019;1;Andalucía;4;Almería;04094;Turrillas;9;0;2;4;0;3;0;2;0;1;6;0
201901;Enero de 2019;1;Andalucía;4;Almería;04095;Uleila del Campo;54;1;5;19;1;11;17;3;2;5;40;4
201901;Enero de 2019;1;Andalucía;4;Almería;04096;Urrácal;18;0;3;2;1;8;4;1;2;2;11;2
201901;Enero de 2019;1;Andalucía;4;Almería;04097;Velefique;14;0;2;8;0;3;1;1;0;6;7;0
201901;Enero de 2019;1;Andalucía;4;Almería;04098;Vélez-Blanco;89;5;20;20;3;18;23;9;5;8;62;5
201901;Enero de 2019;1;Andalucía;4;Almería;04099;Vélez-Rubio;422;15;76;106;16;110;99;34;39;47;274;28
201901;Enero de 2019;1;Andalucía;4;Almería;04100;Vera;1424;59;268;269;68;415;345;114;43;114;1069;84
201901;Enero de 2019;1;Andalucía;4;Almería;04101;Viator;509;22;103;90;23;157;114;27;17;47;373;45
201901;Enero de 2019;1;Andalucía;4;Almería;04102;Vícar;1862;87;364;415;88;546;362;374;53;204;1083;148
201901;Enero de 2019;1;Andalucía;4;Almería;04103;Zurgena;151;13;29;35;6;40;28;18;1;21;102;9
201901;Enero de 2019;1;Andalucía;4;Almería;04901;Tres Villas, Las;35;3;5;16;1;8;2;3;2;2;26;2
201901;Enero de 2019;1;Andalucía;4;Almería;04902;Ejido, El;5356;205;995;1096;233;1594;1233;1256;168;409;2987;536
201901;Enero de 2019;1;Andalucía;4;Almería;04903;Mojonera, La;510;17;104;116;17;136;120;154;18;48;244;46
201901;Enero de 2019;1;Andalucía;4;Almería;04904;Balanegra;158;5;32;41;5;42;33;29;4;18;92;15
201901;Enero de 2019;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;721;28;111;127;45;207;203;76;17;49;533;46
201901;Enero de 2019;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;276;21;59;83;19;48;46;70;4;39;145;18
201901;Enero de 2019;1;Andalucía;11;Cádiz;11003;Algar;161;8;22;26;10;45;50;5;12;16;123;5
201901;Enero de 2019;1;Andalucía;11;Cádiz;11004;Algeciras;13674;544;2258;2537;574;3971;3790;256;566;1201;9567;2084
201901;Enero de 2019;1;Andalucía;11;Cádiz;11005;Algodonales;497;27;70;127;30;150;93;104;10;26;330;27
201901;Enero de 2019;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;4861;215;725;872;218;1450;1381;329;168;668;3361;335
201901;Enero de 2019;1;Andalucía;11;Cádiz;11007;Barbate;4302;197;854;731;189;1260;1071;247;293;327;3084;351
201901;Enero de 2019;1;Andalucía;11;Cádiz;11008;Barrios, Los;2427;111;374;356;116;749;721;59;168;184;1715;301
201901;Enero de 2019;1;Andalucía;11;Cádiz;11009;Benaocaz;85;2;14;12;4;21;32;0;8;2;71;4
201901;Enero de 2019;1;Andalucía;11;Cádiz;11010;Bornos;754;50;148;169;51;220;116;114;24;87;486;43
201901;Enero de 2019;1;Andalucía;11;Cádiz;11011;Bosque, El;233;12;44;45;10;61;61;4;19;14;181;15
201901;Enero de 2019;1;Andalucía;11;Cádiz;11012;Cádiz;13348;367;2590;2887;347;3476;3681;95;896;901;9988;1468
201901;Enero de 2019;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;357;15;51;62;14;110;105;23;13;24;271;26
201901;Enero de 2019;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;2692;121;558;498;108;812;595;80;63;208;2139;202
201901;Enero de 2019;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;11091;431;1887;1986;438;3294;3055;139;624;1419;7257;1652
201901;Enero de 2019;1;Andalucía;11;Cádiz;11016;Chipiona;3060;138;570;541;140;924;747;229;94;266;2228;243
201901;Enero de 2019;1;Andalucía;11;Cádiz;11017;Espera;359;22;76;95;26;102;38;52;17;73;192;25
201901;Enero de 2019;1;Andalucía;11;Cádiz;11018;Gastor, El;162;8;32;54;5;43;20;30;2;27;99;4
201901;Enero de 2019;1;Andalucía;11;Cádiz;11019;Grazalema;245;14;34;49;10;48;90;7;15;14;195;14
201901;Enero de 2019;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;28603;1037;4550;5411;933;7540;9132;1081;1527;2678;19603;3714
201901;Enero de 2019;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;957;31;145;189;47;277;268;104;36;91;657;69
201901;Enero de 2019;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;8439;338;1482;1848;392;2099;2280;91;605;1058;5169;1516
201901;Enero de 2019;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;1664;54;235;309;75;520;471;129;85;170;1130;150
201901;Enero de 2019;1;Andalucía;11;Cádiz;11024;Olvera;571;39;98;135;42;159;98;96;18;62;343;52
201901;Enero de 2019;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;813;40;149;130;26;261;207;55;55;372;290;41
201901;Enero de 2019;1;Andalucía;11;Cádiz;11026;Prado del Rey;811;40;116;181;17;203;254;40;130;47;534;60
201901;Enero de 2019;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;10504;326;1836;2020;323;2890;3109;130;516;941;7478;1439
201901;Enero de 2019;1;Andalucía;11;Cádiz;11028;Puerto Real;5344;167;1065;1051;169;1486;1406;80;589;543;3467;665
201901;Enero de 2019;1;Andalucía;11;Cádiz;11029;Puerto Serrano;444;40;88;109;50;108;49;119;21;53;217;34
201901;Enero de 2019;1;Andalucía;11;Cádiz;11030;Rota;3223;132;541;561;111;1036;842;40;458;195;2246;284
201901;Enero de 2019;1;Andalucía;11;Cádiz;11031;San Fernando;11360;375;2023;2012;391;3203;3356;84;674;939;7854;1809
201901;Enero de 2019;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;9334;368;1646;1802;372;2558;2588;953;487;960;5736;1198
201901;Enero de 2019;1;Andalucía;11;Cádiz;11033;San Roque;3403;160;615;627;134;983;884;57;200;563;2148;435
201901;Enero de 2019;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;185;11;23;50;15;50;36;30;3;28;107;17
201901;Enero de 2019;1;Andalucía;11;Cádiz;11035;Tarifa;2208;83;423;355;94;645;608;35;84;102;1853;134
