;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
202501;Enero de 2025;1;Andalucía;4;Almería;04001;Abla;74;5;7;28;<5;14;19;10;<5;6;49;6
202501;Enero de 2025;1;Andalucía;4;Almería;04002;Abrucena;55;<5;6;18;<5;14;12;5;<5;6;31;9
202501;Enero de 2025;1;Andalucía;4;Almería;04003;Adra;1516;72;208;322;60;357;497;244;52;136;931;153
202501;Enero de 2025;1;Andalucía;4;Almería;04004;Albánchez;19;<5;0;8;<5;<5;5;0;<5;<5;12;<5
202501;Enero de 2025;1;Andalucía;4;Almería;04005;Alboloduy;25;<5;<5;8;<5;6;5;<5;<5;5;12;<5
202501;Enero de 2025;1;Andalucía;4;Almería;04006;Albox;704;34;105;139;35;178;213;43;53;81;442;85
202501;Enero de 2025;1;Andalucía;4;Almería;04007;Alcolea;54;<5;6;17;<5;14;14;11;<5;<5;37;<5
202501;Enero de 2025;1;Andalucía;4;Almería;04008;Alcóntar;17;<5;0;7;<5;<5;<5;<5;<5;0;11;<5
202501;Enero de 2025;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;5;0;0;<5;0;<5;<5;0;<5;0;<5;<5
202501;Enero de 2025;1;Andalucía;4;Almería;04010;Alhabia;62;<5;13;18;6;15;9;5;<5;17;31;8
202501;Enero de 2025;1;Andalucía;4;Almería;04011;Alhama de Almería;291;11;49;65;10;63;93;24;28;26;188;25
202501;Enero de 2025;1;Andalucía;4;Almería;04012;Alicún;14;0;<5;<5;0;<5;8;0;<5;<5;10;<5
