;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201501;Enero de 2015;1;Andalucía;4;Almería;4001;Abla;115;8;22;36;8;32;9;11;7;12;79;6
201501;Enero de 2015;1;Andalucía;4;Almería;4002;Abrucena;82;5;17;22;7;21;10;17;2;10;46;7
201501;Enero de 2015;1;Andalucía;4;Almería;4003;Adra;2667;158;605;568;142;673;521;470;137;478;1273;309
201501;Enero de 2015;1;Andalucía;4;Almería;4004;Albánchez;29;0;7;7;3;10;2;1;2;3;21;2
201501;Enero de 2015;1;Andalucía;4;Almería;4005;Alboloduy;45;2;6;14;3;14;6;3;2;11;25;4
201501;Enero de 2015;1;Andalucía;4;Almería;4006;Albox;984;50;208;212;60;291;163;73;86;155;563;107
201501;Enero de 2015;1;Andalucía;4;Almería;4007;Alcolea;80;5;9;32;7;17;10;11;0;19;46;4
201501;Enero de 2015;1;Andalucía;4;Almería;4008;Alcóntar;31;0;8;10;0;7;6;2;3;7;16;3
201501;Enero de 2015;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;8;0;2;3;0;2;1;0;0;0;7;1
201501;Enero de 2015;1;Andalucía;4;Almería;4010;Alhabia;99;2;26;26;10;22;13;6;16;27;39;11
201501;Enero de 2015;1;Andalucía;4;Almería;4011;Alhama de Almería;494;55;101;93;33;121;91;49;34;37;320;54
201501;Enero de 2015;1;Andalucía;4;Almería;4012;Alicún;18;2;1;4;0;7;4;1;1;0;15;1
201501;Enero de 2015;1;Andalucía;4;Almería;4013;Almería;25073;1303;5806;5289;1195;6331;5149;1588;1099;3638;15276;3472
201501;Enero de 2015;1;Andalucía;4;Almería;4014;Almócita;12;1;2;1;0;3;5;1;1;1;8;1
201501;Enero de 2015;1;Andalucía;4;Almería;4015;Alsodux;10;1;3;3;0;2;1;0;0;1;7;2
201501;Enero de 2015;1;Andalucía;4;Almería;4016;Antas;201;13;31;32;10;75;40;28;4;28;126;15
201501;Enero de 2015;1;Andalucía;4;Almería;4017;Arboleas;155;8;38;26;10;47;26;14;5;30;90;16
201501;Enero de 2015;1;Andalucía;4;Almería;4018;Armuña de Almanzora;30;3;5;4;1;11;6;2;5;6;13;4
201501;Enero de 2015;1;Andalucía;4;Almería;4019;Bacares;8;0;3;2;0;1;2;1;1;2;4;0
201501;Enero de 2015;1;Andalucía;4;Almería;4020;Bayárcal;13;1;6;3;1;1;1;4;0;3;5;1
201501;Enero de 2015;1;Andalucía;4;Almería;4021;Bayarque;13;1;3;2;0;4;3;1;0;2;10;0
201501;Enero de 2015;1;Andalucía;4;Almería;4022;Bédar;59;2;7;21;4;15;10;2;3;7;41;6
201501;Enero de 2015;1;Andalucía;4;Almería;4023;Beires;1;0;0;1;0;0;0;0;0;0;1;0
201501;Enero de 2015;1;Andalucía;4;Almería;4024;Benahadux;540;34;101;110;25;153;117;30;34;72;335;69
201501;Enero de 2015;1;Andalucía;4;Almería;4026;Benitagla;1;0;1;0;0;0;0;0;0;0;1;0
201501;Enero de 2015;1;Andalucía;4;Almería;4027;Benizalón;33;4;4;7;4;9;5;2;1;4;18;8
201501;Enero de 2015;1;Andalucía;4;Almería;4028;Bentarique;24;0;10;5;1;5;3;3;0;2;18;1
201501;Enero de 2015;1;Andalucía;4;Almería;4029;Berja;1672;86;386;458;72;378;292;327;65;403;731;146
201501;Enero de 2015;1;Andalucía;4;Almería;4030;Canjáyar;142;18;39;41;8;23;13;17;5;28;76;16
201501;Enero de 2015;1;Andalucía;4;Almería;4031;Cantoria;327;24;76;99;9;79;40;29;44;56;167;31
201501;Enero de 2015;1;Andalucía;4;Almería;4032;Carboneras;783;40;186;146;36;218;157;82;75;94;452;80
201501;Enero de 2015;1;Andalucía;4;Almería;4033;Castro de Filabres;5;0;1;1;1;1;1;0;0;0;3;2
201501;Enero de 2015;1;Andalucía;4;Almería;4034;Cóbdar;12;2;4;3;0;2;1;1;1;0;10;0
201501;Enero de 2015;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;1336;53;330;292;64;360;237;213;55;220;726;122
201501;Enero de 2015;1;Andalucía;4;Almería;4036;Chercos;24;2;9;7;1;4;1;1;7;1;14;1
201501;Enero de 2015;1;Andalucía;4;Almería;4037;Chirivel;90;9;21;21;9;23;7;6;6;7;67;4
201501;Enero de 2015;1;Andalucía;4;Almería;4038;Dalías;294;11;69;77;14;71;52;44;12;59;160;19
201501;Enero de 2015;1;Andalucía;4;Almería;4041;Enix;21;0;6;7;0;4;4;1;1;4;14;1
201501;Enero de 2015;1;Andalucía;4;Almería;4043;Felix;31;1;6;7;4;7;6;4;3;0;20;4
201501;Enero de 2015;1;Andalucía;4;Almería;4044;Fines;309;13;64;70;14;74;74;22;61;41;150;35
