;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
202201;Enero de 2022;1;Andalucía;4;Almería;04001;Abla;91;<5;16;30;<5;23;14;16;5;5;62;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04002;Abrucena;65;<5;9;18;7;16;11;11;<5;7;38;5
202201;Enero de 2022;1;Andalucía;4;Almería;04003;Adra;1847;70;304;407;65;475;526;340;60;174;1114;159
202201;Enero de 2022;1;Andalucía;4;Almería;04004;Albánchez;22;<5;<5;7;0;5;7;<5;<5;<5;17;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04005;Alboloduy;34;0;6;11;<5;12;<5;5;5;6;17;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04006;Albox;737;31;98;168;38;209;193;61;56;77;482;61
202201;Enero de 2022;1;Andalucía;4;Almería;04007;Alcolea;73;<5;7;24;<5;20;16;21;<5;10;40;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04008;Alcóntar;27;0;<5;13;<5;5;<5;<5;<5;<5;17;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;9;<5;0;<5;0;<5;<5;<5;<5;0;7;0
202201;Enero de 2022;1;Andalucía;4;Almería;04010;Alhabia;77;<5;15;33;<5;13;8;6;13;23;31;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04011;Alhama de Almería;285;11;50;62;8;78;76;23;18;27;188;29
202201;Enero de 2022;1;Andalucía;4;Almería;04012;Alicún;23;0;<5;6;<5;<5;11;0;<5;<5;19;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04013;Almería;18675;744;3136;4169;722;4642;5262;1291;521;1791;12862;2210
202201;Enero de 2022;1;Andalucía;4;Almería;04014;Almócita;14;<5;0;<5;0;<5;7;<5;0;<5;9;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04015;Alsodux;8;<5;<5;<5;0;0;<5;<5;<5;<5;<5;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04016;Antas;153;<5;23;22;<5;48;53;19;<5;7;113;10
202201;Enero de 2022;1;Andalucía;4;Almería;04017;Arboleas;138;15;23;25;9;36;30;13;7;22;82;14
202201;Enero de 2022;1;Andalucía;4;Almería;04018;Armuña de Almanzora;22;<5;5;<5;<5;<5;8;<5;0;<5;15;0
202201;Enero de 2022;1;Andalucía;4;Almería;04019;Bacares;17;<5;<5;<5;<5;<5;8;<5;<5;0;12;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04020;Bayárcal;18;0;0;7;<5;5;<5;0;0;<5;16;<5
