;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
202401;Enero de 2024;1;Andalucía;4;Almería;04001;Abla;80;<5;10;25;<5;19;20;13;6;5;51;5
202401;Enero de 2024;1;Andalucía;4;Almería;04002;Abrucena;53;<5;7;17;<5;15;11;5;6;6;30;6
202401;Enero de 2024;1;Andalucía;4;Almería;04003;Adra;1830;73;286;369;92;458;552;297;55;169;1124;185
202401;Enero de 2024;1;Andalucía;4;Almería;04004;Albánchez;24;<5;<5;9;0;<5;8;<5;<5;<5;17;0
202401;Enero de 2024;1;Andalucía;4;Almería;04005;Alboloduy;32;0;6;11;0;8;7;<5;6;<5;19;0
202401;Enero de 2024;1;Andalucía;4;Almería;04006;Albox;745;36;110;159;35;195;210;59;51;79;486;70
202401;Enero de 2024;1;Andalucía;4;Almería;04007;Alcolea;63;<5;<5;20;<5;17;17;13;<5;8;38;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04008;Alcóntar;22;<5;<5;10;<5;5;<5;<5;<5;0;13;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;<5;0;0;<5;0;0;<5;0;<5;0;<5;0
202401;Enero de 2024;1;Andalucía;4;Almería;04010;Alhabia;62;<5;12;21;<5;14;11;<5;<5;24;28;6
202401;Enero de 2024;1;Andalucía;4;Almería;04011;Alhama de Almería;315;13;50;77;13;64;98;24;30;31;195;35
202401;Enero de 2024;1;Andalucía;4;Almería;04012;Alicún;17;0;0;6;0;<5;8;0;<5;<5;13;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04013;Almería;17702;759;2800;3858;749;4143;5393;1008;506;1635;12174;2379
202401;Enero de 2024;1;Andalucía;4;Almería;04014;Almócita;15;0;0;5;0;<5;9;<5;0;<5;11;0
202401;Enero de 2024;1;Andalucía;4;Almería;04015;Alsodux;10;0;<5;<5;<5;<5;<5;<5;<5;0;5;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04016;Antas;153;<5;25;30;<5;34;60;14;6;10;109;14
202401;Enero de 2024;1;Andalucía;4;Almería;04017;Arboleas;130;14;20;31;<5;30;31;11;9;15;81;14
202401;Enero de 2024;1;Andalucía;4;Almería;04018;Armuña de Almanzora;25;<5;9;<5;0;<5;7;<5;<5;<5;19;0
202401;Enero de 2024;1;Andalucía;4;Almería;04019;Bacares;8;0;<5;<5;0;0;<5;<5;0;0;6;0
202401;Enero de 2024;1;Andalucía;4;Almería;04020;Bayárcal;20;0;<5;8;<5;<5;5;<5;0;<5;15;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04021;Bayarque;11;<5;<5;<5;0;<5;<5;0;0;<5;8;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04022;Bédar;35;<5;<5;12;<5;<5;12;0;<5;<5;28;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04023;Beires;9;0;<5;5;0;<5;<5;0;0;<5;8;0
202401;Enero de 2024;1;Andalucía;4;Almería;04024;Benahadux;342;13;40;63;21;106;99;13;18;23;247;41
202401;Enero de 2024;1;Andalucía;4;Almería;04026;Benitagla;<5;0;<5;<5;0;0;0;<5;0;<5;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04027;Benizalón;15;<5;0;6;<5;<5;5;<5;0;<5;12;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04028;Bentarique;18;0;<5;6;<5;<5;5;<5;<5;0;11;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04029;Berja;1042;36;174;282;31;256;263;231;31;131;561;88
202401;Enero de 2024;1;Andalucía;4;Almería;04030;Canjáyar;91;6;18;30;<5;17;16;14;<5;16;54;5
202401;Enero de 2024;1;Andalucía;4;Almería;04031;Cantoria;196;6;21;49;9;43;68;12;11;24;129;20
202401;Enero de 2024;1;Andalucía;4;Almería;04032;Carboneras;533;24;69;121;16;129;174;34;33;43;373;50
202401;Enero de 2024;1;Andalucía;4;Almería;04033;Castro de Filabres;<5;0;<5;0;0;<5;<5;0;0;0;<5;0
202401;Enero de 2024;1;Andalucía;4;Almería;04034;Cóbdar;16;0;5;5;0;5;<5;<5;<5;<5;10;0
202401;Enero de 2024;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;937;47;155;180;52;238;265;119;33;87;627;71
202401;Enero de 2024;1;Andalucía;4;Almería;04036;Chercos;11;0;0;6;<5;<5;<5;<5;<5;0;9;0
202401;Enero de 2024;1;Andalucía;4;Almería;04037;Chirivel;63;9;8;19;<5;10;15;5;<5;5;40;10
202401;Enero de 2024;1;Andalucía;4;Almería;04038;Dalías;217;9;21;53;10;60;64;37;6;21;133;20
202401;Enero de 2024;1;Andalucía;4;Almería;04041;Enix;16;<5;<5;<5;<5;<5;<5;0;<5;<5;11;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04043;Felix;30;<5;<5;16;<5;<5;7;5;<5;8;14;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04044;Fines;186;6;16;39;6;52;67;9;30;10;118;19
202401;Enero de 2024;1;Andalucía;4;Almería;04045;Fiñana;135;6;12;52;<5;34;29;29;10;13;76;7
202401;Enero de 2024;1;Andalucía;4;Almería;04046;Fondón;64;<5;5;26;<5;10;18;<5;7;8;45;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04047;Gádor;322;20;50;63;13;93;83;29;18;25;206;44
202401;Enero de 2024;1;Andalucía;4;Almería;04048;Gallardos, Los;119;6;19;25;5;21;43;12;5;13;81;8
202401;Enero de 2024;1;Andalucía;4;Almería;04049;Garrucha;722;29;90;146;28;169;260;21;15;52;587;47
202401;Enero de 2024;1;Andalucía;4;Almería;04050;Gérgal;63;<5;10;22;<5;13;11;19;<5;7;28;7
202401;Enero de 2024;1;Andalucía;4;Almería;04051;Huécija;26;0;6;<5;<5;10;5;<5;<5;0;21;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04052;Huércal de Almería;1447;88;181;293;59;350;476;28;57;115;1106;141
202401;Enero de 2024;1;Andalucía;4;Almería;04053;Huércal-Overa;1093;54;153;220;46;269;351;134;88;83;677;111
202401;Enero de 2024;1;Andalucía;4;Almería;04054;Illar;28;<5;<5;9;0;<5;10;<5;6;<5;18;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04055;Instinción;23;<5;<5;12;<5;0;8;0;0;<5;18;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04056;Laroya;17;0;6;<5;0;<5;7;0;0;<5;13;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04057;Láujar de Andarax;97;<5;8;30;<5;17;36;9;9;13;63;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04058;Líjar;20;0;<5;<5;0;6;9;<5;<5;<5;15;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04059;Lubrín;55;<5;9;22;0;12;11;5;<5;13;24;9
202401;Enero de 2024;1;Andalucía;4;Almería;04060;Lucainena de las Torres;43;0;<5;14;<5;7;16;6;0;<5;30;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04061;Lúcar;72;5;7;13;6;16;25;8;12;9;40;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04062;Macael;438;11;51;93;10;93;180;13;105;18;263;39
202401;Enero de 2024;1;Andalucía;4;Almería;04063;María;45;0;8;18;0;6;13;9;7;5;24;0
202401;Enero de 2024;1;Andalucía;4;Almería;04064;Mojácar;307;11;32;84;7;55;118;7;9;19;247;25
202401;Enero de 2024;1;Andalucía;4;Almería;04065;Nacimiento;30;0;5;<5;<5;9;11;<5;<5;<5;19;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04066;Níjar;1672;75;288;397;56;415;441;440;49;93;884;206
202401;Enero de 2024;1;Andalucía;4;Almería;04067;Ohanes;54;<5;6;23;<5;8;13;6;<5;<5;39;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04068;Olula de Castro;10;0;0;6;0;<5;<5;<5;0;<5;7;0
202401;Enero de 2024;1;Andalucía;4;Almería;04069;Olula del Río;599;17;52;123;28;150;229;27;82;53;390;47
202401;Enero de 2024;1;Andalucía;4;Almería;04070;Oria;89;10;12;22;<5;21;23;10;7;9;57;6
202401;Enero de 2024;1;Andalucía;4;Almería;04071;Padules;18;0;<5;7;<5;5;<5;<5;0;<5;13;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04072;Partaloa;16;<5;<5;<5;<5;<5;5;0;<5;0;10;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04073;Paterna del Río;32;0;9;10;0;5;8;<5;0;<5;26;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04074;Pechina;407;17;66;89;18;99;118;46;15;41;253;52
202401;Enero de 2024;1;Andalucía;4;Almería;04075;Pulpí;335;21;42;68;12;95;97;69;18;26;195;27
202401;Enero de 2024;1;Andalucía;4;Almería;04076;Purchena;98;<5;16;19;5;26;28;8;14;7;62;7
202401;Enero de 2024;1;Andalucía;4;Almería;04077;Rágol;14;<5;<5;5;<5;<5;5;<5;<5;0;9;0
202401;Enero de 2024;1;Andalucía;4;Almería;04078;Rioja;182;7;26;44;<5;39;62;22;5;19;125;11
202401;Enero de 2024;1;Andalucía;4;Almería;04079;Roquetas de Mar;7270;246;1121;1489;234;1863;2317;791;206;738;4826;709
202401;Enero de 2024;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;14;<5;<5;6;0;0;5;<5;<5;<5;7;0
202401;Enero de 2024;1;Andalucía;4;Almería;04081;Santa Fe de Mondújar;39;<5;5;9;<5;12;8;<5;<5;<5;24;5
202401;Enero de 2024;1;Andalucía;4;Almería;04082;Senés;23;<5;<5;11;<5;<5;7;<5;0;<5;18;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04083;Serón;115;6;10;31;<5;24;40;6;12;8;76;13
202401;Enero de 2024;1;Andalucía;4;Almería;04084;Sierro;35;<5;9;10;<5;5;8;<5;5;8;17;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04085;Somontín;17;0;<5;7;0;<5;<5;0;<5;<5;12;0
202401;Enero de 2024;1;Andalucía;4;Almería;04086;Sorbas;184;10;37;37;10;37;53;30;12;18;107;17
202401;Enero de 2024;1;Andalucía;4;Almería;04087;Suflí;22;<5;<5;11;0;<5;8;<5;<5;<5;15;0
202401;Enero de 2024;1;Andalucía;4;Almería;04088;Tabernas;303;10;44;93;13;68;75;29;21;33;200;20
202401;Enero de 2024;1;Andalucía;4;Almería;04089;Taberno;45;<5;11;10;6;13;<5;<5;5;<5;32;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04090;Tahal;16;0;5;7;0;<5;<5;<5;<5;<5;11;0
202401;Enero de 2024;1;Andalucía;4;Almería;04091;Terque;32;<5;5;6;0;6;14;<5;<5;<5;20;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04092;Tíjola;245;6;36;56;6;59;82;29;26;24;150;16
202401;Enero de 2024;1;Andalucía;4;Almería;04093;Turre;287;14;52;63;11;67;80;12;5;37;202;31
202401;Enero de 2024;1;Andalucía;4;Almería;04094;Turrillas;10;<5;<5;<5;0;<5;<5;0;<5;0;8;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04095;Uleila del Campo;52;<5;9;15;<5;9;15;6;0;6;33;7
202401;Enero de 2024;1;Andalucía;4;Almería;04096;Urrácal;23;<5;<5;6;0;6;6;0;<5;5;13;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04097;Velefique;11;<5;<5;7;0;0;<5;<5;0;<5;7;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04098;Vélez-Blanco;87;<5;15;18;5;16;30;9;9;6;56;7
202401;Enero de 2024;1;Andalucía;4;Almería;04099;Vélez-Rubio;376;17;56;91;18;97;97;39;35;34;238;30
202401;Enero de 2024;1;Andalucía;4;Almería;04100;Vera;1245;49;194;263;66;277;396;83;56;95;890;121
202401;Enero de 2024;1;Andalucía;4;Almería;04101;Viator;481;17;75;93;25;138;133;26;16;36;357;46
202401;Enero de 2024;1;Andalucía;4;Almería;04102;Vícar;1709;80;320;359;75;446;429;287;53;177;989;203
202401;Enero de 2024;1;Andalucía;4;Almería;04103;Zurgena;142;12;20;42;5;26;37;15;7;24;79;17
202401;Enero de 2024;1;Andalucía;4;Almería;04901;Tres Villas, Las;30;0;5;11;<5;7;5;5;<5;5;16;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04902;Ejido, El;4890;214;775;961;213;1287;1440;1035;144;312;2817;582
202401;Enero de 2024;1;Andalucía;4;Almería;04903;Mojonera, La;381;26;74;84;19;83;95;111;12;36;167;55
202401;Enero de 2024;1;Andalucía;4;Almería;04904;Balanegra;148;6;28;32;6;39;37;32;<5;9;84;19
202401;Enero de 2024;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;663;21;81;116;40;174;231;44;30;60;479;50
202401;Enero de 2024;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;325;26;55;105;16;55;68;74;<5;32;198;17
202401;Enero de 2024;1;Andalucía;11;Cádiz;11003;Algar;150;8;17;27;8;30;60;13;14;14;99;10
202401;Enero de 2024;1;Andalucía;11;Cádiz;11004;Algeciras;14290;648;2058;2665;653;3693;4573;251;572;1139;9821;2507
202401;Enero de 2024;1;Andalucía;11;Cádiz;11005;Algodonales;508;32;70;120;36;120;130;76;13;24;362;33
202401;Enero de 2024;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;3823;145;368;684;186;972;1468;273;128;430;2701;291
202401;Enero de 2024;1;Andalucía;11;Cádiz;11007;Barbate;2761;113;416;563;117;593;959;104;201;222;1938;296
202401;Enero de 2024;1;Andalucía;11;Cádiz;11008;Barrios, Los;2317;110;303;338;112;626;828;45;126;176;1708;262
202401;Enero de 2024;1;Andalucía;11;Cádiz;11009;Benaocaz;67;<5;6;12;<5;20;27;<5;8;<5;49;7
202401;Enero de 2024;1;Andalucía;11;Cádiz;11010;Bornos;669;25;120;168;41;172;143;86;15;66;448;54
202401;Enero de 2024;1;Andalucía;11;Cádiz;11011;Bosque, El;187;6;21;51;<5;39;67;<5;35;8;137;6
202401;Enero de 2024;1;Andalucía;11;Cádiz;11012;Cádiz;10666;321;1552;2492;331;2250;3720;65;562;716;8105;1218
202401;Enero de 2024;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;278;6;30;55;19;58;110;6;12;16;224;20
202401;Enero de 2024;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;1926;69;254;432;73;448;650;67;58;176;1435;190
202401;Enero de 2024;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;9607;376;1327;1920;347;2312;3325;117;457;1332;6296;1405
202401;Enero de 2024;1;Andalucía;11;Cádiz;11016;Chipiona;2074;91;326;426;95;504;632;158;65;200;1471;180
202401;Enero de 2024;1;Andalucía;11;Cádiz;11017;Espera;302;26;47;77;30;72;50;37;12;41;180;32
202401;Enero de 2024;1;Andalucía;11;Cádiz;11018;Gastor, El;156;<5;18;63;8;30;33;12;5;28;105;6
202401;Enero de 2024;1;Andalucía;11;Cádiz;11019;Grazalema;196;<5;21;54;7;30;82;<5;16;11;159;6
202401;Enero de 2024;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;25116;912;3107;4869;982;5718;9528;839;1209;2086;17564;3418
202401;Enero de 2024;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;666;34;63;127;25;170;247;52;25;67;463;59
202401;Enero de 2024;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;9348;420;1528;1884;460;2389;2667;106;593;971;5779;1899
202401;Enero de 2024;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;1381;50;144;280;51;362;494;81;48;121;1031;100
202401;Enero de 2024;1;Andalucía;11;Cádiz;11024;Olvera;544;30;73;149;27;129;136;72;29;56;348;39
202401;Enero de 2024;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;642;29;83;121;24;168;217;49;26;276;249;42
202401;Enero de 2024;1;Andalucía;11;Cádiz;11026;Prado del Rey;658;15;78;177;24;131;233;29;110;43;445;31
202401;Enero de 2024;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;8994;276;1151;1790;288;2134;3355;121;375;675;6661;1162
202401;Enero de 2024;1;Andalucía;11;Cádiz;11028;Puerto Real;4219;190;550;788;143;1005;1543;53;317;309;2985;555
202401;Enero de 2024;1;Andalucía;11;Cádiz;11029;Puerto Serrano;385;30;58;111;40;88;58;73;10;39;230;33
202401;Enero de 2024;1;Andalucía;11;Cádiz;11030;Rota;2636;93;398;478;121;636;910;41;355;179;1793;268
202401;Enero de 2024;1;Andalucía;11;Cádiz;11031;San Fernando;10010;379;1298;1852;356;2322;3803;99;417;739;7196;1559
202401;Enero de 2024;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;7705;306;1087;1489;288;1945;2590;747;332;677;4979;970
