;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201401;Enero de 2014;1;Andalucía;4;Almería;4001;Abla;130;6;35;34;7;35;13;8;6;15;88;13
201401;Enero de 2014;1;Andalucía;4;Almería;4002;Abrucena;77;5;21;18;6;21;6;13;2;13;40;9
201401;Enero de 2014;1;Andalucía;4;Almería;4003;Adra;2622;120;609;548;153;675;517;382;175;510;1319;236
201401;Enero de 2014;1;Andalucía;4;Almería;4004;Albánchez;41;1;15;6;1;12;6;0;5;4;30;2
201401;Enero de 2014;1;Andalucía;4;Almería;4005;Alboloduy;57;5;15;17;4;9;7;1;4;20;28;4
201401;Enero de 2014;1;Andalucía;4;Almería;4006;Albox;1034;60;235;224;70;290;155;68;99;183;590;94
201401;Enero de 2014;1;Andalucía;4;Almería;4007;Alcolea;79;2;16;30;6;19;6;8;1;21;46;3
201401;Enero de 2014;1;Andalucía;4;Almería;4008;Alcóntar;23;0;2;8;0;8;5;0;3;5;13;2
201401;Enero de 2014;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;7;0;3;2;0;1;1;0;0;0;6;1
201401;Enero de 2014;1;Andalucía;4;Almería;4010;Alhabia;94;3;28;24;7;20;12;4;18;24;42;6
201401;Enero de 2014;1;Andalucía;4;Almería;4011;Alhama de Almería;529;46;120;108;37;136;82;34;39;81;300;75
201401;Enero de 2014;1;Andalucía;4;Almería;4012;Alicún;27;1;3;9;1;7;6;0;3;4;19;1
201401;Enero de 2014;1;Andalucía;4;Almería;4013;Almería;25681;1229;6167;5316;1274;6652;5043;1444;1236;4164;15560;3277
