;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201601;Enero de 2016;1;Andalucía;4;Almería;4001;Abla;94;3;23;32;7;20;9;7;5;8;71;3
201601;Enero de 2016;1;Andalucía;4;Almería;4002;Abrucena;75;3;14;24;8;14;12;14;4;6;45;6
201601;Enero de 2016;1;Andalucía;4;Almería;4003;Adra;2484;161;492;565;109;662;495;437;116;384;1260;287
201601;Enero de 2016;1;Andalucía;4;Almería;4004;Albánchez;28;2;6;6;2;8;4;2;3;2;17;4
201601;Enero de 2016;1;Andalucía;4;Almería;4005;Alboloduy;46;4;11;15;2;8;6;10;7;7;20;2
201601;Enero de 2016;1;Andalucía;4;Almería;4006;Albox;978;48;213;199;55;290;173;71;64;127;619;97
201601;Enero de 2016;1;Andalucía;4;Almería;4007;Alcolea;82;7;16;36;11;10;2;11;2;23;42;4
201601;Enero de 2016;1;Andalucía;4;Almería;4008;Alcóntar;25;0;6;8;0;5;6;2;5;6;11;1
201601;Enero de 2016;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;7;0;1;3;0;2;1;0;0;0;7;0
201601;Enero de 2016;1;Andalucía;4;Almería;4010;Alhabia;83;2;23;26;4;20;8;3;18;24;30;8
201601;Enero de 2016;1;Andalucía;4;Almería;4011;Alhama de Almería;468;42;99;93;41;101;92;41;24;47;300;56
201601;Enero de 2016;1;Andalucía;4;Almería;4012;Alicún;18;1;2;4;1;6;4;0;1;3;13;1
