plataforma,tema,sentimiento,texto
Menéame,Inmigración,Negativo,Unos inmigrantes en el mar en medio de una tempestad... y empiezan a pegar a uno por rezar al dios equivocado. No hay situación tan mala que la religión no pueda empeorar.
Menéame,Inmigración,Negativo,"#1 => #0 "" varios testigos afirmaron que, antes de ser arrojadas por la borda, los agresores habían sustraído a las víctimas alrededor de 1.500 euros, cantidad que coincidía con el dinero que uno de los ahora detenidos llevaba consigo "" Entre arrebato de fanatismo integrista (de la religión que fuese) y arrebato de fanatismo integrista, se ve que tuvieron los agresores la lucidez necesaria para saquear a las víctimas {blank}"
Menéame,LGTBI,Neutral,¿Privada?
Menéame,LGTBI,Negativo,Me la pela a quién reciba el papa
Menéame,LGTBI,Neutral,"http://www.elmundo.es/madrid/2014/03/05/531714faca4741c03a8b4576.html Por cierto, todos las las lesbianas son gay, al igual que homosexuales."
Menéame,LGTBI,Negativo,"pensaba que era coña, pero no.... {palm}"
Menéame,LGTBI,Negativo,"menudos ""trolls"" la Ana Botella y compañia..."
Menéame,LGTBI,Negativo,Juro que pensaba que era una noticia de EMT {wall}
Menéame,LGTBI,Negativo,Esta señora se supera cada día
Menéame,LGTBI,Neutral,"Es una feria de turismo, supongo que no querrán que la ciudad se relacione únicamente al turismo gay y poder abarcar más nichos de mercado."
Menéame,LGTBI,Neutral,El arco iris es gay
Menéame,LGTBI,Negativo,"Deja más dinero el turismo gay que el turimos católico apostólico. Cada vez que viene un Papa entre dinero negro, pago a la curia, robos y chanchullos, nos cuesta más que lo genera. El turismo gay es un turismo de personas con dinero, con trabajos buenos, y que disfrutn de todos los servicios de restauración y ropa de una ciudad. Hay que empezar a orientar las ciudades a la realidad social del mundo, no a las locuras de cada uno."
Menéame,LGTBI,Negativo,"#8 Y el orgullo gay en Madrid es uno de los más populares del mundo. Parece mentira que Ana Botella intente echar para atrás la fiesta todos los años, con la cantidad de dinero que deja en la ciudad."
Menéame,LGTBI,Neutral,Voy a tener que pensar en cambiar mi avatar...
Menéame,LGTBI,Neutral,¿Hay foto de cómo ha quedado el stand con los nuevos colores? Simple curiosidad
Menéame,LGTBI,Negativo,El nivel homófobo de la Botella es asombroso. {wow}
Menéame,LGTBI,Negativo,"#6 Si es una fiesta de turismo atraer a los gays es una buena decisión desde un punto de vista de negocio. Desde luego, mucho mejor que traer las putas juventudes cristianas. Joder, se gastan la pasta, no ensucian, no hacen ruido, son los turistas ideales. Si te molesta el hecho en sí de que sean gays el problema lo tienes tú. Lo que ha sido Madrid y lo que es ahora por los putos rancios que nos gobiernan, coño."
Menéame,LGTBI,Negativo,#9 Es que no es por dinero. Simplemente no soportan que los invertidos campen a sus anchas por una ciudad a la que consideran su cortijo particular.
Menéame,LGTBI,Negativo,Es que Botella es más del azul fachoso.
Menéame,LGTBI,Neutral,#2 #4 Yo también lo pensé... ....Ahora....¿Cambiarán el color de la T4 de Barajas?
Menéame,LGTBI,Neutral,#16 La t4 es amarilla ¿no?
Menéame,LGTBI,Negativo,"Madrid generó mucho turismo gracias a la fama internacional del orgullo gay, pero como siempre los cristofascistas les da igual que genere o no riqueza y le parezca bien a la ciudadanía, tienen que imponer sus patéticos dogmas de fe."
Menéame,LGTBI,Negativo,#16 no hay huevos
Menéame,LGTBI,Negativo,"#2 No era coña, es España, que es una coña."
Menéame,LGTBI,Neutral,"#16 #22 lo acabo de ver¡¡ seguro que la cambian¡¡ y ponen nombres tipo Acebes, aguirre..."
Menéame,LGTBI,Neutral,"#17 Nop. LAs columnas que sostienen la cubierta están pintadas con los colores del arco iris. Fué una ocurrencia del arquitecto que luego decidieron aprovechar para hacer más fácil la orientación y localizar las puertas de embarque. Además del número puedes fijarte en el color para hacerte una idea de por donde anda. http://upload.wikimedia.org/wikipedia/commons/c/c5/Madrid_barajas_aeropuerto_terminal_t4.jpg Supongo que cuando se den cuenta quitarán los colores y pondrán a cada columna el nombre de un político, por ejemplo..."
Menéame,LGTBI,Neutral,#6 Claro porque supongo que tener una combinación de colores que se asemeja vagamente a la de la bandera gay aleja a otro tipo de turismo. {palm}
Menéame,LGTBI,Neutral,Deberían pintarlo de peras y manzanas.
Menéame,LGTBI,Negativo,"Pero si son colores, otra cosa sería que fuesen peras y manzanas, decorando el fondo del stand {troll} Menos mal que le queda poco, que largo se está haciendo"
Menéame,LGTBI,Neutral,"Yo no soy homófobo en absoluto, creo en la igualdad absoluta de derechos de los gays y de las parejas homosexuales, y tampoco me gustaba por los mismos motivos (que no aplican al caso que comenta #16). Fitur es una feria de turismo, hay que llevar allí, al escaparate, lo que quieras que atraiga turismo. A mí me parece genial que vengan millones de gays a dejarse el dinero y a vivir, tanto a Madrid como a toda España, y me parece genial que se asocie España con un país de libertades y de igualdad de derechos, pero tampoco quiero que internacionalmente se venda Madrid como ciudad gay o paraíso gay, y esos colores en Fitur pueden interpretarse así. A mí al menos es la impresión que me causan. Creo que Madrid tiene muchos más atractivos. El caso de #16 digo que no es lo mismo porque no es una feria de turismo, no es la imagen de 'marca' de Madrid. Todo lo demás se puede pintar como se quiera."
Menéame,LGTBI,Neutral,#4 Para allá que va: |NoMundoToday https://www.meneame.net/m/NoMundoToday/madrid-cambia-stand-fitur-parecer-gay-1
Menéame,LGTBI,Neutral,#7 Dios es gay.
Menéame,LGTBI,Positivo,"#91 cuando fui al vaticano hace un par de años me sorprendió ver varias banderas arco iris y me dijeron que actualmente, en Italia, la bandera arco iris es la bandera de la paz."
Menéame,Inmigración,Negativo,Detenidos 13 subnormales.
Menéame,Inmigración,Neutral,Aquí les hacen el paseillo.
Menéame,Inmigración,Negativo,Qué asco
Menéame,Inmigración,Neutral,"Que yo sepa, Dortmund está en el oeste del país, no en el este {confused} Y aún así, ¿por qué ese interés en señalar donde está cada ciudad que dice?"
Menéame,LGTBI,Positivo,"Me parece perfecto, para eso están las playas para nudistas."
Menéame,LGTBI,Positivo,"hablar tu bien, mi gustar"
Menéame,Inmigración,Negativo,Relacionada: https://www.meneame.net/story/27-inmigrantes-mueren-hipotermia-tras-ser-rescatados-lampedusa
Menéame,Inmigración,Negativo,"¿Algún @admin que edite titular y entradilla? La estimación de muertes ya está por encima de 300: Uno de los inmigrantes que ha sobrevivido al naufragio registrado este domingo en aguas del Canal de Sicilia próximas a la costa de la isla de Lampedusa ha asegurado que en total viajaban 460 inmigrantes a bordo de cuatro embarcaciones, lo que eleva a más de 300 el número de muertos, ha informado la agencia de noticias Adnkronos. El superviviente, un inmigrante maliense de 32 años de edad, ha contado que en total viajaban 460 personas en cuatro embarcaciones, no en tres, y que una de ellas se hundió durante la travesía. ""En total éramos 460 y salimos el sábado desde Libia. Estábamos en cuatro embarcaciones. Durante la travesía, una de las embarcaciones se ha hundido con otro centenar de refugiados"", ha explicado."
Menéame,Inmigración,Neutral,#2 Actualizado titular y entradilla.
Menéame,Inmigración,Negativo,¡Como cojones esto no está en portada!
Menéame,Inmigración,Negativo,"Los peperos parecen tontos, pero son unos psicopatas. Gracias a dios."
Menéame,Inmigración,Negativo,"El Alto Comisionado de Naciones Unidas para los refugiados (ACNUR) ha pedido protección para Aalia La postura del PP en este asunto es dificil de entender, que en sus conciencias queden"
Menéame,Inmigración,Neutral,Los mafiosos que no tengan cuidado que para ellos tenemos las puertas bien abiertas......
Menéame,Inmigración,Negativo,Sin piedad con el débil y arrastrándose con el poderoso.
Menéame,Inmigración,Neutral,"Aquí podeís consultar la lista de los diputados adscritos a la Comisión de Interior, los 23 que han votado en contra son aquellos que pone GP (Grupo Popular): http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionOrgano&idOrgano=329"
Menéame,Inmigración,Negativo,"Este chico fue condenado a cadena perpetua solo por protestar. Sonaría lejano si los miserables del PP le hubieran concedido el necesario asilo, con la negativa empiezan, quizá, a aplicar la Ley Mordaza."
Menéame,Inmigración,Negativo,Que raro... El PP luchando activa y pasivamente contra las injusticias.
Menéame,Inmigración,Negativo,"Y si hubiera estado el Psoe hubiera hecho igual. Los partidos que han estado en el gobierno saben como se las gasta el primo Hassan cuando hacemos algo que le incomoda. A elegir: Inunda las costas con pateras llenas de inmigrantes, esos mismos inmigrantes te los pone en la verja de Ceuta o Melilla, o el metodo ya antiguo y casi olvidado de no renovar los acuerdos de pesca y tienes a los pescadores echando las redes de Cibeles a Sol."
Menéame,Inmigración,Negativo,#2 dificil? no quieren tener conflictos diplomaticos con marruecos.
Menéame,Inmigración,Negativo,"#0 Error en el titular, ""inmigrante"""
Menéame,Inmigración,Neutral,"#1 Corregido, gracias."
Menéame,Inmigración,Neutral,#4 En los dos casos se trata de manos largas.
Menéame,Inmigración,Neutral,Cómo quieren que haga su trabajo la Guardia Civil? Con amables solicitudes de abandonar sus intenciones de saltar la valla? Con silbatos?
Menéame,Inmigración,Neutral,"Se imaginan Dinamarca sin extranjeros? Yo no... de hecho creo que entre mas rico sea el pais, mas extranjeros hay Pero bueno,los politicos son una raza diferente,en ese aspecto si soy racista"
Menéame,Inmigración,Neutral,"#2 inmigrante ≠ turista residente. Los Estados prefieren atraer gente que aporte al bote no que chupe. Es lógico. A mi como pobre la inmigración me supone competencia, también apoyo restringirla al máximo."
Menéame,Inmigración,Neutral,Les van a llegar cientos de curriculums
Menéame,Inmigración,Neutral,¿Y cuando dicen que abren la bolsa de trabajo?
Menéame,Inmigración,Neutral,"@me imagino que extranjeros no cristianos, no ? {wink}"
Menéame,Inmigración,Neutral,"#2 Pues por tu comentario no parece mucho que la hayas leído, si me perdonas. Precisamente el artículo va de una grabación , que suponer poder detallar bastante una conversación que ha tenido lugar. Por lo demás, un policía debería portar una cámara de grabación de forma obligatoria, en todo momento que esté de servicio. No encuentro la noticia, pero en alguna ciudad de los Estados Unidos probaron este sistema, y al año siguiente habían disminuido un 90% las denuncias a la policía. La iniciativa ya está prendiendo en muchas otras ciudades de allí. http://www.sdpamerica.com/2014/08/alcalde-de-california-pide-que-policias.html"
Menéame,Inmigración,Neutral,eso lo he visto yooo no hace falta irse a inmigracion.
Menéame,LGTBI,Positivo,"El tercer pais del mundo en legalizar el matrimonio homosexual fue España, algo de lo que estar agradecido a todos los que lo hicieron posible. Bienvenidos todos los países que se han ido sumando después"
Menéame,LGTBI,Positivo,"Venga, que alce la mano quien le haya sorprendido un hecho así..."
Menéame,Inmigración,Positivo,"#4 home, hi estic d'acord però potser millor si ho expresses en castellà, com a mínim ací."
Menéame,Inmigración,Positivo,"#18 Le pagan la comida, el alojamiento y los cuidados, no ha inventado nada, lo hace por rememorar las viejas glorias del imperio romano."
Menéame,Inmigración,Positivo,Qué generosidad la de este caballero. {lol}
Menéame,LGTBI,Positivo,#4 ¡Fuego a todos y que viva la libertad!
Menéame,LGTBI,Positivo,#18 El fuego purifica {troll}
Menéame,LGTBI,Positivo,"#19 Quita quita, que purificar siena a creencia, mejor ácido a todos ¡y que viva la libertad!"
Menéame,LGTBI,Positivo,Es el ciiiiiiiiclo sin fiiiiiiiiiiiiiiin que lo envuelve toooooooooooooooodoooooooo {0x1f3b6} No podía evitarlo {lol}
Menéame,LGTBI,Positivo,"¿Soy el único al que le parece bien? Están representadas Juventud, Gente Mayor y seguramente también políticas para edad intermedia, además de la Mujer (Igualdad) y además LGTB."
Menéame,LGTBI,Positivo,Ministerio de Unicornios YA!! #28 Tienes el gusto muy refinado
Menéame,LGTBI,Positivo,"#56 jaja, vale. Yo me refiero a la poligamia sin ser mormón, digamos poligamia atea, que es la que mola."
Menéame,LGTBI,Positivo,El gobierno de los mejores. Firmado Ada Colau: proyecto de licenciada en filosofia
Menéame,LGTBI,Positivo,"#44 Hombre,al menos estáis vivos."
Menéame,LGTBI,Positivo,"#120 Concejalía de Empleo, Empresa y Turismo --> Concejalía de Ciclo de Ciudadanos del Mundo y sus Labores. Para redondear {grin}"
Menéame,Inmigración,Positivo,"Liberté, Egalité, Fraternité"
Menéame,Inmigración,Positivo,lo bueno de internet es que ya no hace falta ir a sitios para molar.
Menéame,Inmigración,Positivo,Australia disapproves it!
Menéame,Inmigración,Positivo,"#8 jeje, bien visto."
Menéame,Inmigración,Positivo,"#10 No, ni de coña #1 chapó por echarle huevos."
Menéame,Inmigración,Positivo,Gran banquillo que tiene el PP {palm}
Menéame,Inmigración,Positivo,"#1 Es actualidad porque el tipo es el flamante candidato del PP a la Generalitat, y está bien conocer el pelaje del individuo."
Menéame,Inmigración,Positivo,"#14 me encanta poder usar esa imagen, sin más. Ahí va otra vez:"
Menéame,Inmigración,Positivo,"#9 Mira, en mi barrio hay pakistaníes,Chinos,Marroquíes,subsaharianos,sudamericanos,turcos ,kurdos y un largo etcetera y en general lo único que hacen es aportar riqueza tanto económica como cultural, y esto es lo que hace que este barrio esté tan de moda. Viva el Soviet de Lavapies"
Menéame,Inmigración,Positivo,"#8 Ya entiendo. Bueno, creo que conocerás muy bien lo mucho que le gusta el sensacionalismo a la prensa británica, y lo estupendos que se ponen a la mínima {tongue}"
Menéame,Inmigración,Positivo,Qué guay va a ser cuando se vayan de Europa y se les llene el país de alemanes y franceses que crucen la frontera irlandesa.
Menéame,Inmigración,Positivo,Si tanto os gustan haced un crowdfunding y los acogéis vosotros. {grin}
Menéame,Mixto,Neutral,https://www.meneame.net/story/hungria-elimina-irpf-todas-mujeres-sean-madres-antes-30-anos
Menéame,Mixto,Neutral,"#1 fíjate ,una medida que incentiva la natalidad. Esperando estoy que vox la copie"
Menéame,Mixto,Negativo,A Hungría la UE le ha dicho que o quita las leyes que van en contra de la filosofía de la UE o se acaban las ayudas. La respuesta del gobierno ha sido poner carteles por todos lados con una bomba diciendo que la UE es malvada y perjudica a Hungría. Pues menudo referente.
Menéame,Mixto,Negativo,"La comparación entre Hungría y Castilla y León salió a relucir este miércoles en el Parlamento Europeo, donde la vicepresidenta y diputada austriaca, Evelyn Regner, indicó: ""Lo que está ocurriendo en Castilla y León nos concierte a todos. Esto recuerda a la Hungría de Orbán. Es inaceptable. Son manipuladores y condescendientes"". A todas las moscas les gusta la mierda."
Menéame,Mixto,Negativo,Pues como el inútil Gallardo.
Menéame,Mixto,Negativo,25% de inflación.
Menéame,Mixto,Neutral,Siendo bastante semejantes.. haybrazon alguna para mencionar Hungría y no hacerlo con Polonia? {blank}
Menéame,Mixto,Negativo,"Haciendo un esfuerzo, puedo medio entender el populismo de Orban, y su éxito se debe a que realmente ese despojo humano baja a la calle y cumple con sus promesas populistas (discriminatorias e ilegales, evidentemente), pero las cumple, con dos bien gordos y peludos. Ga-Ga acude a la concentración de moteros con casco y sin moto, dedica sus esfuerzos y recursos a colocar a amigos y familiares, desatiende a sus votantes, favorece activamente los incendios, arrasa con los montes, abandona a los agricultores, a los grajeros, a las familias y revienta todo lo que puede a su alrededor sin miramientos ni empatía, ni compasión. Hay un abismo gigantesco entre la grandísima mierda que es Orban y García Gallardo. https://yt.oelrichsgarcia.de/search?q=visualpolitik+hungria"
Menéame,Mixto,Positivo,"#7 eso habría que preguntarselo a Garcia Gallardo que fue el que dijo que Hungría le gusta mucho, que va como un tiro, que crece económicamente y que se respetan los derechos de todo el mundo"
