año,total_votos_clasificados,pct_Centro_ponderado,pct_Derecha_ponderado,pct_Extrema derecha_ponderado,pct_Izquierda_ponderado,paro_medio,pct_inmigrantes,Gini,delitos_por_100k
2015,24906678.0,580923600.0,1192352000.0,6560899.999999999,710831300.0,222721.42105263157,9.09045167709043,32.294736842105266,2.6815521367699766
2016,23776104.0,574718600.0,1198299800.0,5709099.999999999,598882900.0,203626.2105263158,9.038631283398393,32.152631578947364,2.960649042880643
2019,23902384.0,713259800.0,782995200.0,365759500.0,528223900.0,165723.94736842104,9.645426154427897,31.394736842105264,3.2304950482253036
2023,24306700.0,809012900.0,903412199.9999999,305700000.0,412544900.0,145602.31578947368,11.329677253433195,30.76842105263158,5.436568044194025
