Topic,Words,Frequency,Timestamp,Name
41,"barco, italia, 450, tripulación, bordo",42,2015,41_barco_watch_salvini_ong
42,"dinamarca, suecia, danés, partido, asilo",50,2015,42_dinamarca_suecia_danés_partido
43,"hungría, serbia, frontera, húngaro, refugiados",190,2015,43_hungría_serbia_frontera_húngaro
44,"niños, refugiados, niños refugiados, unicef, menores",20,2015,44_niños_niños refugiados_refugiados_men...
45,"senegal, trabajar origen, fin frenar, refuerza lucha, origen inmigración",1,2015,45_mauritania_senegal_río tajo_tajo
46,"000, mediterráneo, acnur, europa, refugiados",143,2015,46_000_mediterráneo_europa_acnur
47,"lampedusa, isla, mediterráneo, italia, italiana",3,2015,47_lampedusa_isla_migrantes_meloni
48,"siria, sirios, yarmuk, refugiados, líbano",77,2015,48_siria_sirios_refugiados_líbano
49,"helicóptero avión, audaz, avión reconocimiento, misión, mafias",3,2015,49_audaz_open arms_arms_open
50,"italia, supervivientes, sicilia, inmigrantes, naufragio",95,2015,50_naufragio_supervivientes_italia_sicil...
51,"españa, refugiados, grecia, italia, 000",81,2015,51_españa_refugiados_grecia_italia
52,"hungría, orbán, húngaro, orban, refugiados",40,2015,52_hungría_orbán_referéndum_húngaros
53,"alimentos, refugiados, campamentos, comida, ayuda",23,2015,53_alimentos_material_recogida_refugiado...
54,"málaga, puerto málaga, patera, millas, salvamento marítimo",17,2015,54_málaga_puerto málaga_patera_puerto
55,"reportera, osama, getafe, mohsen, petra",125,2015,55_osama_reportera_getafe_mohsen
56,"cañizares, iglesia, cardenal, arzobispo, trigo limpio",96,2015,56_cañizares_iglesia_arzobispo_cardenal
57,"niños tosen, ojos contó, paredes niños, irrita ojos, olor plástico",1,2015,57_quemado colado_aire irrita_niños tose...
58,"venezuela, venezolanos, nicaragua, cubanos, costa rica",3,2015,58_venezolanos_venezuela_colombia_país
59,"avión, vuelo, vuelos, palma, cie",6,2015,59_avión_sedición_palma_delito
60,"estrasburgo, europeo estrasburgo, barco, organizadores, pedido",1,2015,60_bibby_bibby stockholm_stockholm_barca...
63,"patera, naufragio, naufragar patera, naufragar, costas",46,2015,63_patera_naufragio_canarias_embarcación
65,"historia, novela, película, comedia, obra",25,2015,65_novela_historia_película_libro
67,"info, recomendable, roja, cruz roja, cruz",13,2015,67_roja_cruz roja_cruz_personas
68,"crisis, refugiados, europa, crisis refugiados, países",57,2015,68_refugiados_crisis_europa_crisis refug...
69,"navarra, acuerdo, ue, refugiados, parlamento",5,2015,69_acuerdo_turquía_ue_bandera
70,"vehículo, inmigrante, agentes, maletero, camión",39,2015,70_camión_frigorífico_camión frigorífico...
71,"malasia, tailandia, indonesia, birmania, rohingya",90,2015,71_malasia_tailandia_birmania_indonesia
72,"cubanos, costa rica, rica, cuba, unidos",17,2015,72_cubanos_unidos_migración_costa rica
73,"macedonia, frontera, gevgelija, grecia, serbia",78,2015,73_macedonia_frontera_grecia_gevgelija
74,"riñón, clan, donante, órgano, tarragona",18,2015,74_legionela_barcaza_solicitantes asilo_...
75,"erdogan, turquía, turco, ankara, recep",6,2015,75_erdogan_turquía_turco_ankara
76,"australia, nauru, hong kong, hong, kong",9,2015,76_australia_nauru_australiano_saudí
78,"houellebecq, libro, ficción, políticamente correcto, pen",1,2015,78_macron_derecha_francia_ley
79,"extrema vigilancia, 200 euros, vigilancia, extrema, civil extrema",1,2015,79_2018_muertes_ruta_oim
80,"acepta, inferior, ofreciéndole, cookies, información veraz",5,2015,80_acepta_inferior_ofreciéndole_cookies
