year_dataset,Topic,Name,documentos,total_documentos_anio,porcentaje_corpus,etiqueta
2015,0,0_patera_salvamento_marítimo_salvamento marítimo,657,9701,6.77,Pateras y Salvamento Marítimo
2015,1,1_canarias_gobierno_migrantes_menores,358,9701,3.69,Canarias y menores migrantes
2015,2,2_alemania_merkel_refugiados_berlín,520,9701,5.36,"Italia, Libia y Mediterráneo"
2015,3,3_policía_detenido_policía nacional_agentes,131,9701,1.35,Alemania y refugiados
2015,4,4_trump_méxico_unidos_donald trump,79,9701,0.81,Policía y detenciones
2015,5,5_open_arms_open arms_barco,2,9701,0.02,Trump y migración
2015,6,6_refugiados_acogida_ayuntamiento_gobierno,434,9701,4.47,Open Arms
2015,7,7_ceuta_inmigrantes_valla_vallado,107,9701,1.1,Acuerdo UE-Turquía
2015,8,8_italia_meloni_salvini_italiano,44,9701,0.45,8_italia_meloni_salvini_italiano
2015,9,9_refugiados_países_ue_000,391,9701,4.03,Procesos judiciales
2015,10,10_prisión_acusado_patera_audiencia,40,9701,0.41,Acogida de refugiados
2015,11,11_griega_naufragio_egeo_grecia,182,9701,1.88,México y frontera
2015,12,12_turquía_ue_ankara_turco,93,9701,0.96,Reparto europeo de refugiados
2015,13,13_méxico_unidos_frontera_migrantes,11,9701,0.11,Grecia y refugiados
2015,14,14_cádiz_playa_embarcación_melilla,70,9701,0.72,14_cádiz_playa_embarcación_melilla
2015,15,15_guardia costera_costera_inmigrantes_guardia,226,9701,2.33,15_guardia costera_costera_inmigrantes_guardia
2015,16,16_papa_francisco_papa francisco_pontífice,65,9701,0.67,Política migratoria de la UE
2015,17,17_grecia_refugiados_turquía_idomeni,93,9701,0.96,17_grecia_refugiados_turquía_idomeni
2015,18,18_ue_europea_países_migración,106,9701,1.09,18_ue_europea_países_migración
2015,19,19_melilla_valla_salto_inmigrantes,134,9701,1.38,19_melilla_valla_salto_inmigrantes
2015,20,20_reino unido_unido_reino_sunak,74,9701,0.76,20_reino unido_unido_reino_sunak
2015,21,21_solicitudes_asilo_peticiones_protección,79,9701,0.81,21_solicitudes_asilo_peticiones_protección
2015,22,22_calais_francia_parís_campamento,107,9701,1.1,22_calais_francia_parís_campamento
2015,23,23_marruecos_españa_rabat_marroquí,27,9701,0.28,23_marruecos_españa_rabat_marroquí
2015,24,24_refugiados_música_concierto_exposición,48,9701,0.49,24_refugiados_música_concierto_exposición
2015,25,25_méxico_unidos_inm_migrantes,5,9701,0.05,25_méxico_unidos_inm_migrantes
2015,26,26_sanitaria_sanidad_atención_tarjeta,234,9701,2.41,26_sanitaria_sanidad_atención_tarjeta
2015,27,27_incendio_bomberos_llamas_fuego,32,9701,0.33,27_incendio_bomberos_llamas_fuego
2015,28,28_israel_gaza_hamás_franja,10,9701,0.1,28_israel_gaza_hamás_franja
2015,29,29_refugiados_españa_grecia_madrid,57,9701,0.59,29_refugiados_españa_grecia_madrid
2015,30,30_austria_refugiados_hungría_tren,219,9701,2.26,30_austria_refugiados_hungría_tren
2015,31,31_refugiados_manifestación_marcha_plaza,53,9701,0.55,31_refugiados_manifestación_marcha_plaza
2015,32,32_rajoy_gobierno_acuerdo_congreso,106,9701,1.09,32_rajoy_gobierno_acuerdo_congreso
2015,33,33_cie_internos_motín_inmigrantes,24,9701,0.25,33_cie_internos_motín_inmigrantes
2015,34,34_camión_policía_bulgaria_vehículo,118,9701,1.22,34_camión_policía_bulgaria_vehículo
2015,35,35_ucranianos_ucrania_refugiados ucranianos_guerra,2,9701,0.02,35_ucranianos_ucrania_refugiados ucranianos_guerra
2015,36,36_mediterráneo_oim_muerto_ruta,46,9701,0.47,36_mediterráneo_oim_muerto_ruta
2015,37,37_climático_cambio climático_climáticos_cambio,19,9701,0.2,37_climático_cambio climático_climáticos_cambio
2015,38,38_asilo_ancianos_centro_ayuntamiento,22,9701,0.23,38_asilo_ancianos_centro_ayuntamiento
2015,39,39_croacia_serbia_eslovenia_croata,199,9701,2.05,39_croacia_serbia_eslovenia_croata
2015,40,40_libia_mediterráneo_naufragio_costa libia,82,9701,0.85,40_libia_mediterráneo_naufragio_costa libia
2015,41,41_barco_watch_salvini_ong,42,9701,0.43,41_barco_watch_salvini_ong
2015,42,42_dinamarca_suecia_danés_partido,50,9701,0.52,42_dinamarca_suecia_danés_partido
2015,43,43_hungría_serbia_frontera_húngaro,190,9701,1.96,43_hungría_serbia_frontera_húngaro
2015,44,44_niños_niños refugiados_refugiados_menores,20,9701,0.21,44_niños_niños refugiados_refugiados_menores
2015,45,45_mauritania_senegal_río tajo_tajo,1,9701,0.01,45_mauritania_senegal_río tajo_tajo
2015,46,46_000_mediterráneo_europa_acnur,143,9701,1.47,46_000_mediterráneo_europa_acnur
2015,47,47_lampedusa_isla_migrantes_meloni,3,9701,0.03,47_lampedusa_isla_migrantes_meloni
2015,48,48_siria_sirios_refugiados_líbano,77,9701,0.79,48_siria_sirios_refugiados_líbano
2015,49,49_audaz_open arms_arms_open,3,9701,0.03,49_audaz_open arms_arms_open
2015,50,50_naufragio_supervivientes_italia_sicilia,95,9701,0.98,50_naufragio_supervivientes_italia_sicilia
2015,51,51_españa_refugiados_grecia_italia,81,9701,0.83,51_españa_refugiados_grecia_italia
2015,52,52_hungría_orbán_referéndum_húngaros,40,9701,0.41,52_hungría_orbán_referéndum_húngaros
2015,53,53_alimentos_material_recogida_refugiados,23,9701,0.24,53_alimentos_material_recogida_refugiados
2015,54,54_málaga_puerto málaga_patera_puerto,17,9701,0.18,54_málaga_puerto málaga_patera_puerto
2015,55,55_osama_reportera_getafe_mohsen,125,9701,1.29,55_osama_reportera_getafe_mohsen
2015,56,56_cañizares_iglesia_arzobispo_cardenal,96,9701,0.99,56_cañizares_iglesia_arzobispo_cardenal
2015,57,57_quemado colado_aire irrita_niños tosen_paredes niños,1,9701,0.01,57_quemado colado_aire irrita_niños tosen_paredes niños
2015,58,58_venezolanos_venezuela_colombia_país,3,9701,0.03,58_venezolanos_venezuela_colombia_país
2015,59,59_avión_sedición_palma_delito,6,9701,0.06,59_avión_sedición_palma_delito
2015,60,60_bibby_bibby stockholm_stockholm_barcaza,1,9701,0.01,60_bibby_bibby stockholm_stockholm_barcaza
2015,63,63_patera_naufragio_canarias_embarcación,46,9701,0.47,63_patera_naufragio_canarias_embarcación
2015,65,65_novela_historia_película_libro,25,9701,0.26,65_novela_historia_película_libro
2015,67,67_roja_cruz roja_cruz_personas,13,9701,0.13,67_roja_cruz roja_cruz_personas
2015,68,68_refugiados_crisis_europa_crisis refugiados,57,9701,0.59,68_refugiados_crisis_europa_crisis refugiados
2015,69,69_acuerdo_turquía_ue_bandera,5,9701,0.05,69_acuerdo_turquía_ue_bandera
2015,70,70_camión_frigorífico_camión frigorífico_minerva,39,9701,0.4,70_camión_frigorífico_camión frigorífico_minerva
2015,71,71_malasia_tailandia_birmania_indonesia,90,9701,0.93,71_malasia_tailandia_birmania_indonesia
2015,72,72_cubanos_unidos_migración_costa rica,17,9701,0.18,72_cubanos_unidos_migración_costa rica
2015,73,73_macedonia_frontera_grecia_gevgelija,78,9701,0.8,73_macedonia_frontera_grecia_gevgelija
