url_meneame,tema,id_prensa,titulo_prensa,url_original
https://www.meneame.net/story/madrid-desbordada-llegada-refugiados,inmigracion,cf5163d621490ddc8a4480ae54f6b197564416de0e50825abdd869007f102492,"Madrid, desbordada por la llegada de refugiados",https://www.lavanguardia.com/local/madrid/20191016/471022909409/madrid-desbordada-llegada-refugiados.html
https://www.meneame.net/story/madrid-descubren-tres-bloques-pisos-reformados-pisos-patera,inmigracion,ea2aab7b428b85144e6b8fdf69caf303decb204268baeee582734bbe1ed9f881,Sale a la luz un nuevo 'piso patera' en Usera,https://www.telemadrid.es/programas/madrid-directo/Nuevo-piso-patera-en-Usera-2-2594760548--20230907082251.html
https://www.meneame.net/story/madrid-vuelve-estar-desbordado-llegada-refugiados-68-familias,inmigracion,007c2d428c04764464b6b255b92fbe52254e17ea82724b2483607be4b6e74832,"Madrid, “desbordada” con la llegada de refugiados: 68 familias por semana",https://www.elconfidencialdigital.com/articulo/politica/madrid-vuelve-estar-desbordado-llegada-refugiados-68-familias-semana/20191113140124134097.html
https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,inmigracion,5d9d90bd57dedd87a780da89d0882858ee75f20cda8d2c24b582becf126dd9b1,"El magnate egipcio que quiere comprar una isla para refugiados ya ha escrito a Renzi y a Tsipras, sin respuesta",http://www.europapress.es/internacional/noticia-magnate-egipcio-quiere-comprar-isla-refugiados-ya-escrito-renzi-tsipras-respuesta-20150915124303.html
https://www.meneame.net/story/malasia-detiene-mas-1-000-inmigrantes-frente-costas,inmigracion,e57c7894bc2335c0a22759fd49a72cbbf5ca7dde805a29a3c48baaf183329cbe,Malasia detiene a más de 1.000 inmigrantes frente a sus costas,http://www.europapress.es/internacional/noticia-malasia-detiene-mas-1000-inmigrantes-frente-costas-20150511093813.html
https://www.meneame.net/story/malestar-malpartida-caceres-llegada-sin-aviso-140-inmigrantes,inmigracion,7884b0bda302cc44f9abd54520756ef51fbe273d43e436fb2bea855cd9ac6642,"Malestar en Malpartida de CÃ¡ceres por la llegada ""sin aviso"" de 140 inmigrantes procedentes de Canarias",https://www.elmundo.es/espana/2023/10/24/6537de6321efa0d34b8b458c.html
https://www.meneame.net/story/manifestantes-ultra-queman-estelades-barcelona-insultan-12,inmigracion,6256a5ee55f12bd78f677f39182039f8d18cb6194e7b097741bebccaf4e3c8ea,Manifestantes ultra queman 'estelades' en Barcelona e insultan a los refugiados el 12-O,http://www.20minutos.es/noticia/2861037/0/manifestacion-ultra-barcelona-12-0-queman-estelades-refugiados/
https://www.meneame.net/story/mano-obra-migrante-fundamental-sustento-agricultura-europea,inmigracion,e422abc84696c6454082b47de1f3b1ea08f75bfb42fdcdb6e3961b49ca31bf71,La mano de obra migrante: fundamental para el sustento de la agricultura europea,https://www.publico.es/internacional/mano-obra-migrante-fundamental-sustento-agricultura-europea.html
https://www.meneame.net/story/manuela-carmena-ada-colau-dieron-700-000-publicos-rescate,inmigracion,11a2d7a65f270947333b027aa1b362a38a6864dd5abf868be983aa420997b935,"Carmena y Colau dieron 700.000 € públicos a Open Arms para el “rescate de inmigrantes"" contraviniendo a la UE",https://okdiario.com/investigacion/carmena-colau-dieron-700-000-open-arms-rescate-inmigrantes-contraviniendo-ue-4534907
https://www.meneame.net/story/mapa-crisis-refugiados-leer-mas-refugiados-mapa-crisis-noticias,inmigracion,de5a253ca21e04f255925a0c42bfd4040125199dbf5da46e2e8acabaf9b63710,El mapa de la crisis de los refugiados,http://www.elconfidencial.com/mundo/2015-08-29/el-mapa-de-la-crisis-de-los-refugiados_992353/
https://www.meneame.net/story/marcela-elisa-unicas-lesbianas-casaron-iglesia-amar-puede-ser,lgtbi,92c2eab9f41b252fcd262734db20213a06dd158fe48fb178c369cb2f62ceff6f,"Marcela y Elisa, la única pareja de lesbianas que se casó por la Iglesia, aún esperan su calle en A Coruña",http://www.publico.es/sociedad/marcela-elisa-matrimonio-lesbianas-gay.html
https://www.meneame.net/story/maria-eugenia-gay-numero-dos-candidatura-collboni-barcelona,lgtbi,5d4ca51a0974f8629660875e6adcf823ad635ca9b324291ba9a566cdf4264128,"Maria Eugènia Gay, número dos de la candidatura de Collboni por Barcelona",https://www.lavanguardia.com/local/barcelona/20230228/8789052/eugenia-gay-candidatura-collboni-barcelona.html
https://www.meneame.net/story/maricon-deberia-significar-valiente-unos-argumentos-contra,lgtbi,96dc42f43120f43a883f8930789927284fd3d77df1d1ad4b108e88d400041487,Homosexualidad: Maricón valiente,http://blogs.elconfidencial.com/sociedad/espana-is-not-spain/2016-11-04/maricon-homosexualidad-palabras-connotaciones-insultos-atributos-negativos_1284669/
https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,lgtbi,fc3cc523ece9d3c05c3232a92e9a2a8e346c167b60f5bc030ecbad3288e19b60,"Maroto: ""Hay más gais en Nuevas Generaciones del PP que en todas las asociaciones españolas de LGTB""",https://www.huffingtonpost.es/2019/01/14/maroto-hay-mas-gais-en-nuevas-generaciones-del-pp-que-en-todas-las-asociaciones-espanolas-de-lgtb_a_23641877/
https://www.meneame.net/story/maroto-pp-reconoce-decir-hay-muchos-yihadistas-entre-refugiados,inmigracion,17b98b74c8babc042eac4fe6553b823e2817dffc7fc554673b1ccbf38e74d2fa,"Maroto (PP) reconoce que decir que hay ""muchos yihadistas"" entre los refugiados ha sido ""poco afortunado""",http://www.europapress.es/nacional/noticia-maroto-pp-reconoce-decir-hay-muchos-yihadistas-refugiados-sido-poco-afortunado-20150911142120.html
https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,inmigracion,e2e6049afd36eae1d6528f8d8aebecf0f1494ad352387a14b226fb3020db8306,Marruecos cierra la frontera con España por la avalancha de inmigrantes sirios,http://www.publico.es/espana/marruecos-cierra-frontera-espana-avalancha.html
https://www.meneame.net/story/marruecos-controla-pateras-tras-sinfin-favores-parte-espana,inmigracion,19d12f68695a398174bdc4966f2b8d4d1b152bfa97ee356f8aa685c5df3e0711,Marruecos controla las pateras tras un sinfÃ­n de favores de EspaÃ±a,https://www.elmundo.es/espana/2019/08/12/5d5059cffdddff22768b4640.html
https://www.meneame.net/story/mas-2-000-inmigrantes-han-muerto-intentando-cruzar-mediterraneo,inmigracion,1abe0ac77b60f346bc1cd970d3b525f1f79735b5c480b847af0e03485d9dad7b,Más de 2.000 inmigrantes han muerto intentando cruzar el Mediterráneo en lo que va de año,http://www.publico.es/internacional/mas-000-inmigrantes-han-muerto.html
https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,inmigracion,8f9883294c86a49eb5f2d40b6b0dd705750bfa5ea9940f6ed0b091086985878c,Un grupo de 438 inmigrantes realiza el salto más multitudinario a la valla de Ceuta desde el 2000,http://www.20minutos.es/noticia/2907930/0/salto-masivo-valla-fronteriza-ceuta/
https://www.meneame.net/story/mas-350-migrantes-esperan-puerto-tras-ultimo-rescate-aita-mari,inmigracion,277343947f70e75fc767ab64552317ae341e208e3b03455d7d1297b42bb9ecfe,Más de 350 migrantes esperan un puerto tras el último rescate del Aita Mari,https://www.ondacero.es/noticias/sociedad/migrantes-puerto-rescate-aita-mari_201911225dd7b6770cf2a277e008dfa0.html
https://www.meneame.net/story/mas-50-supuestos-menores-migrantes-canarias-son-mayores-edad,inmigracion,2aefac8b3008864b4869c7dadfc4e837daea5bc56b4aa960207803166d5812e6,"Más del 50% de los supuestos menores migrantes en Canarias son mayores de edad, según la media de las primeras pruebas",https://www.europapress.es/islas-canarias/noticia-mas-50-supuestos-menores-migrantes-canarias-son-mayores-edad-media-primeras-pruebas-20231103144310.html
https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,inmigracion,92b96a14b021357ef87d3fd4bfc57e35a667958888484e46c6004b556729dbfb,"Más de 53.000 migrantes irregulares llegan a España en 2023, el segundo dato más alto de la historia",https://www.20minutos.es/noticia/5204677/0/mas-53000-migrantes-irregulares-llegan-espana-2023-segundo-dato-mas-alto-historia-despues-los-64298-2018/
https://www.meneame.net/story/mas-6-400-inmigrantes-seran-repartidos-francia-tras-jungla,inmigracion,1edc87ee67981427974601b4503aa68cbf92ae968117633b875f4cb133d89245,Unos 2.300 inmigrantes salen en buses de la 'jungla de Calais' en el primer día del desalojo,http://www.20minutos.es/noticia/2870168/0/evacuacion-inmigrantes-calais-largas-colas/
https://www.meneame.net/story/mas-600-000-ucranianos-han-pedido-asilo-rusia,inmigracion,d345fb5092f2d3e952f83c023d8a53472e61c0c9ce3440e47d424f7333993458,Más de 600.000 ucranianos han pedido asilo en Rusia,http://www.europapress.es/internacional/noticia-mas-600000-ucranianos-pedido-asilo-rusia-20150905090648.html
https://www.meneame.net/story/mas-madrid-lleva-defensor-pueblo-derogaciones-encubiertas-ayuso,lgtbi,f36c83aacde2ad61793cdab70c1f692e7ac7d347084d5f626cb014c7e8faf247,"Más Madrid lleva al Defensor del Pueblo las ""derogaciones encubiertas"" de Ayuso a las leyes LGTBI+",https://www.publico.es/politica/mas-madrid-lleva-al-defensor-del-pueblo-derogaciones-encubiertas-leyes-lgtbi-ayuso.html
https://www.meneame.net/story/mas-mitad-espanoles-considera-migrantes-fortalecen-pais,inmigracion,557c12c8f342bbcaf8cf55f1e55651e18884d83861b81c93a602ef234c46ce11,MÃ¡s de la mitad de los espaÃ±oles considera que los migrantes fortalecen el paÃ­s,https://www.elmundo.es/papel/historias/2019/03/14/5c8a443e21efa07f118b46a0.html
https://www.meneame.net/story/mas-mitad-jovenes-homosexuales-sufre-acoso-escolar,lgtbi,aa3e90916068df3bbdc6f457cc68f98d3d8abfef9b3f71ac9734736907c1f278,Más de la mitad de los jóvenes homosexuales sufre acoso escolar,http://www.publico.es/sociedad/mas-mitad-jovenes-homosexuales-sufren.html
https://www.meneame.net/story/matar-gays-otras-aberraciones-democracia-directa,lgtbi,413461e81ddc393cbacd5d2edab6d15f1fa9c78e38fa5babce0d70f3b635b998,Matar homosexuales y otras aberraciones de la democracia directa,http://www.elconfidencial.com/mundo/2015-05-25/matar-homosexuales-y-otras-aberraciones-de-la-democracia-directa_853348/
https://www.meneame.net/story/matteo-salvini-14-meses-bloqueo-14-barcos-3-000-inmigrantes,inmigracion,5f5885aa1c03b4a1fbe7c263a0f49cebad7e9c4ac83e98b5d48e80f91786864a,Matteo Salvini: 14 meses de bloqueo a 14 barcos y 3.000 inmigrantes,https://www.elmundo.es/espana/2019/08/21/5d5c17ec21efa05d3e8b45d7.html
https://www.meneame.net/story/mayores-lgtb-condenados-silencio-tienden-volver-armario-partir,lgtbi,6d6907fd8fc0d40be22f75b4eb3bcc9b6d7e22ea9b554163a08fdea3dea925f7,"Mayores LGTB, condenados al silencio: tienden a volver al armario a partir de los 50 años",https://www.20minutos.es/noticia/4090132/0/mayores-lgtb-condenados-silencio-tienden-volver-al-armario-a-partir-50-anos/
https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,inmigracion,dd61c19930200717cf4c20138bbf26dc4730aa695bdda0b59596d78cfec1d8ab,La mayoría del nuevo empleo creado en España se cubre con inmigrantes,https://www.lavanguardia.com/economia/20230717/9113687/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes.html
https://www.meneame.net/story/mayoria-votantes-cree-auge-vox-rechazo-inmigracion,inmigracion,b4bd93785a4fdb1c731581455bfa06ec7aff3fee4433935ed9d003215ae06462,La mayoría de votantes cree que el auge de Vox se debe a su rechazo a la inmigración,https://www.elindependiente.com/politica/2019/04/20/la-mayoria-de-votantes-cree-que-el-auge-de-vox-se-debe-a-su-rechazo-a-la-inmigracion/
https://www.meneame.net/story/medicacion-semenya-represion-contra-marcha-lgtbiq-cuba,lgtbi,ef80597d57b33fe3f758256d7760f68a4afba8c1beecc1aa9de05a591c4f43a6,De la medicación para Semenya a la represión contra una marcha LGTBIQ+ en Cuba,https://www.elsaltodiario.com/actualidad-lgtbiq+/actualidad-lgtbqi+-medicacion-semenya-represion-colectivos-lgtbiq+cuba
