nivel_xenofobia_rrss,NEG,NEU,POS,All
hostilidad_explicita,199,35,5,239
marco_conflictivo,780,114,15,909
neutro,2464,509,57,3030
sin_mencion,15243,6745,1317,23305
violencia_discriminacion,7,0,0,7
All,18693,7403,1394,27490
