Topic,Count,Porcentaje,palabras_clave
-1,9171,34.91,
0,5100,19.41,"datos, mierda, comentarios, razón, voy, vida, puta, mal, palm, vale"
1,1821,6.93,"inmigrantes, inmigración, ayudas, trabajo, inmigrante, paro, sanidad, dinero, país, impuestos"
2,1672,6.36,"vox, partido, izquierda, pp, votar, derechos, elecciones, partidos, voto, votos"
3,744,2.83,"gay, gays, homofobia, homosexuales, homosexual, homófobo, homosexualidad, homófobos, heterosexual, hetero"
4,578,2.2,"religión, iglesia, dios, religiones, cristianos, cristiano, ateo, cristianismo, católica, virgen"
5,568,2.16,"policía, delito, juez, ley, guardia, cárcel, violencia, delitos, agresiones, policías"
6,408,1.55,"noticias, periodista, titular, medios, fake, artículo, news, información, periódico, periodismo"
7,364,1.39,"racista, racistas, racismo, negros, raza, negro, blanco, blancos, xenofobia, mierda"
8,343,1.31,"españa, españoles, inmigrantes, trabajo, millones, país, refugiados, ayudas, paro, inmigración"
9,342,1.3,"musulmanes, islam, musulmán, musulmana, terrorismo, terroristas, islamista, religión, atentado, terrorista"
10,316,1.2,"refugiados, refugiado, sirios, refugiados sirios, guerra, estatus, país, refugees, siria, sirio"
11,274,1.04,"html, be, old, jpg, org, eldiario, search, org wiki, wiki, c3"
12,255,0.97,"europa, ue, hungría, europeos, unión, europea, unión europea, alemania, polonia, finlandia"
13,224,0.85,"españa, españoles, español, espana, española, madrid, valencia, html, país, hortaleza"
14,222,0.85,"barco, puerto, mar, barcos, embarcaciones, balsa, bote, costa, rescate, barca"
15,214,0.81,"marruecos, libia, marroquí, marroquíes, túnez, país, españa, rey, marroquies, mafias"
16,199,0.76,"padres, niños, niño, hijos, edad, padre, hijo, menores, familia, adultos"
17,188,0.72,"bandera, banderas, oficiales, arcoiris, edificios, colores, representa, bandera arcoiris, arco iris, iris"
18,172,0.65,"áfrica, africa, países, africanos, millones, país, europa, población, recursos, inmigrantes"
19,168,0.64,"feminismo, feministas, feminista, mujeres, radical, igualdad, movimiento, lgtb, hombres, partido"
20,167,0.64,"assad, siria, isis, sirios, guerra, dictador, sirio, ja, alepo, ja ja"
21,152,0.58,"serie, juego, historia, capítulo, personajes, temporada, jugado, visto, segundo, personaje"
22,146,0.56,"subrogada, gestación, parejas, gestación subrogada, hijos, padres, hijo, madre, padre, niños"
23,145,0.55,"educación, formación, profesor, profesores, talleres, clase, alumnos, escuela, instituto, colegios"
24,129,0.49,"fascista, fascistas, fascismo, nazi, convierte, 10, mierda, comunistas, insultar, sientan"
25,121,0.46,"rusia, putin, ucrania, rusos, rusa, siria, propaganda, guerra, eeuu, fascista"
26,119,0.45,"psicólogo, psiquiatra, hígado, médico, órganos, tratamiento, decisión, profesional, mental, psicológico"
27,118,0.45,"matrimonio, unión, civil, matrimonio homosexual, casarse, matrimonios, derechos, homosexual, parejas, sexo"
28,110,0.42,"trans, transexual, transgénero, mujer, género, transexualidad, pene, sexo, problema, ley"
29,106,0.4,"fútbol, división, armario, deporte, gay, homofobia, equipo, primera, gays, femenino"
30,103,0.39,"alemanes, alemania, alemán, alemana, merkel, fotos, sueldos, viviendo, tratado, clientes"
31,102,0.39,"refugiados, alemania, europa, ue, asilo, to, suiza, país, the, países"
32,101,0.38,"arma, armas, defenderse, muerte, pistola, mueren, muere, vidas, suicida, 60"
33,97,0.37,"sexo, sexual, género, orientación, orientación sexual, identidad, procesos, cambiarse, sexualidad, dni"
34,97,0.37,"nazis, nazi, hitler, nazismo, neonazis, diario, peineta, cartas, partido, mesa"
35,97,0.37,"violador, violadores, violación, violar, hombres, mujer, violaciones, mujeres, cuchillo, ley"
36,94,0.36,"israel, palestinos, líbano, niños, matar, árabes, refugiados, tierra, terroristas, muertos"
37,93,0.35,"orgullo, santa, semana santa, semana, navidad, fiesta, celebrar, celebra, celebración, procesiones"
38,93,0.35,"catalán, castellano, lengua, cataluña, idioma, valenciano, idiomas, estándar, habla, hablo"
39,86,0.33,"madrid, barcelona, checa, ciudad, logo, orgullo, ayuntamiento, santa, semana santa, fp"
40,85,0.32,"calle, camión, taxi, camiones, coches, furgoneta, ciudad, barrio, calles, obras"
41,84,0.32,"venezuela, evo, morales, bolivia, golpe, presidente, venezolanos, pablo iglesias, aznar, elecciones"
42,83,0.32,"españa, gay, homofobia, homosexuales, madrid, turismo, derechos, cuba, homófobos, orgullo"
43,79,0.3,"españa, partido, pp, urnas, votar, partidos, moderada, vox, debate, votantes"
44,78,0.3,"turquía, turquia, turcos, siria, turco, refugiados, internacional, ue, europa, guerra"
45,65,0.25,"mafias, ong, ongs, mafia, open arms, arms, open, rescate, negocio, embarcaciones"
46,62,0.24,"vox, vox vox, pactos, financia, chiringuitos, huevo, dan, publicidad, podemos, simple"
47,61,0.23,"censura, cancelación, libros, expresión, libertad expresión, censurar, libertad, cultura, contenidos, bibliotecas"
48,55,0.21,"mujer, mujeres, tareas, hogar, hombres, casa, feminismo, concepto, libres, rol"
