nivel_xenofobia_rrss,NEG,NEU,POS
hostilidad_explicita,83.26,14.64,2.09
marco_conflictivo,85.81,12.54,1.65
neutro,81.32,16.8,1.88
violencia_discriminacion,100.0,0.0,0.0
