topic,ejemplo,comentario
0,1,"Estamos hablando de tener estudios, es evidente que no estamos hablando de analfabetism y de que nadie entiende por ""tener estudios"" el saber leer y escribir. No me saltes por los cerros de Úbeda pa escaparte, con un ""ah, pues si, espera q no lo habia tenido en cuenta"" me vale {wink}"
0,2,"lo de Mia Farrow es terrorifico, adopto 10 hijos, 2 suicidios, una muerta por SIDA contraida de adolescente por drogadicta, otra embarazada y con problemas legales de adolescente, dos convertidos en armas en la guerra con su exmarido (la que no para decir de decir que Woody abusó de ella y el que dice que es mentira y que la mala es la madre que es uan manipuladora abusadora, por cierto la madre se ha encargado de destruir su matrimonio), ah y la que para mi huyó con el padrastro (contando que las otras dos asiaticas que vinieron con ella fue la que acabo una muerta de SiDA y la otra embarazada y con problemas legales me parece que no es tan raro que se liara y huyera con el padrastro cincuentón). Esa mujer es una loca paranoica manipuladora que ha destrozado a sus hijos. Cuando el lió Sonn YI con Woody aparte de Sonn Yi habian dos niñas asiaticas mas, las dos con problemas graves. Las hizo desaparecer de la foto a las tres. Adopto 5 niños mas y esas dos asiaticas sobrantes acabo una drogadicta muerta y la otra casada de cria con un niño y con problemas de droga y legales, pero esa rehació su vida y desapareció. Nunca Mia volvió a hablar de las dos asiaticas extras ni a aparecert más enlas fotod. Y el hijo boilogico ese que no se sabe si es o no de Woody, ella dice que si o que no depende del dia, es un chico con una alto coeficiente intelectual que fue a la universidad de adolescente pero cuyo unico proposito es ser abanderado del Mee Too y hablar mal de su padre, pero olvida siempre que el hermano de su madre estuvo condenado y en la cárcel por abuso sexual a menores, Woody adoptó dos hijas mas con Son Yi, siguen casados, y las hijas que han adoptado han resultado que son chicas normales sin ningun trauma ni problema ya ambas mayores de edad y en a universidad. El problema siempre fue Mia que era una loca que adoptaba niños como mascotas. No es que Woody hiciera bien, liarte con tu hijastra de 19 años no es algo para aplaudir, pero esa mujer es una manipuladora terrible, Pero que woody molestara a su hija Dylan una unica vez, en mitad e un divocrio, en una casa llena de gente es MUY raro. Solo hubo un abuso segun Dyllan, justo en mitad del divorcio y en una casa llena de gente además, nunca se ha sabido de ningun abuso mas de woody a ninguna niña. Se lio a los 50 tacos con su hjastra de 19, malo ok, pero viendo a la madre casi exculpa a la hija, buscó una salida. Es un caso aparte por eso. Angelian puede ser rara pero parece que sus hijos son felices pese a su rara vida y los quiere. Madonna adopto cuatro niños y no se ha sabido de ningun problema, Pero claro la imagen de Mia con sus hijos también era idilica."
0,3,"NO tienes verguenza , pero gracias, asi la gente sabe a que te dedicas con tus cuentas... De este tema llevo yo 14 años hablando en este foro, trabajando con los datos y dandos en la boca con ellos cuando salis con tus gilipolleces. 1-L a gilipollez manipuladora para indigentes mentales de comparar totales poblaciones con mas mujeres, ancianos, niños , etc.. por que si se compara bien con sus segmentos dentro de la poblacion se ve como he puesto con datos en #11 * que delinque menos... NO CUELA. pero tu lo sabes, verdad, clon {wink} eulerwasright En menéame desde mayo de 2023_> OJO MULTICUENTA DEDICADA AL BULO XENOFOBO {lol} {lol} {lol} {lol} Ooootra vez aqui intentando colar las mismas mentiras por las que se te ha vapuleado... {lol} {lol} #17 Y otra vez se te da en la boca saliendo con el parrafo entrecortado para que nos e vea como dos parrafos mas abajo se aclara y te niega, tan miserable tu comentario como cada vez que lo intentas y se te pone en tu sito haces lo mismo. Y con autoclones para votarse...que vida mas triste {lol} {lol} {lol} {lol} Y recordemos, como haces con cada cuenta patetica por si te ""saltastes""la parte en que fundamenta sus conclusiones, al menos estas : 5. Conclusions ""(...) Our result is fully consistent with the evidence for the United States regarding Mexican immigrants (known as the Latino Paradox), where immigration from Mexico has lowered crime rates in some areas.24"" www.researchgate.net/publication/230886154_Does_Immigration_Cause_Crim {lol} {lol} {lol} NO tienes verguenza , pero gracias, asi la gente sabe a que te dedicas con tus cuentas..."
1,1,"La solución no es sostenible. ¿Luego cómo se sostendrá la jubilación de esos inmigrantes?, ¿quintuplicando otra vez más la inmigración?"
1,2,JJojojojojojjajajajajajajjojojojojojo. A los que los botan por los inmigrantes: GILIPOOOOOLLAS
1,3,Como Idi Amin con los inmigrantes asiáticos
2,1,"Otro ""demócrata"" reportado... Vox {0x1f49a} {0x1f4aa} {0x1f4af}"
2,2,"El país de la libertad, los derechos y la democracia =)"
2,3,"yo hablo por mí en esto Soy más de izquierdas que Anguita. No trago con el discurso que me llama privilegiado mientras las hijas de Botín al ser mujeres ayudan a su empresa a destacar en el Plan de Igualdad. No voy a votar a Podemos y sí, lo hice en el pasado. Pero tampoco voy a votar al PP ni a Vox en la vida. Pero el que antes votaba a UCD, CDS, UPyD y hasta a Ciudadanos le espanta un PSOE que pacta y saca la ley del solo sí es sí y los problemas del currito medio se la soplan. Pues ese voto sí se mueve a Vox"
3,1,"¿y? Hay homosexuales en contra del matrimonio homosexual. Hay homosexuales en contra de la homosexualidad. Son los gays del PP, vamos."
