nivel_lgtbifobia_rrss,NEG,NEU,POS,All
hostilidad_explicita,198,25,5,228
marco_conflictivo,70,7,2,79
neutro,1505,346,44,1895
sin_mencion,16657,7005,1339,25001
violencia_discriminacion,263,20,4,287
All,18693,7403,1394,27490
