topic,palabras_clave
0,"datos, mierda, comentarios, razón, voy, vida, puta, mal, palm, vale"
1,"inmigrantes, inmigración, ayudas, trabajo, inmigrante, paro, sanidad, dinero, país, impuestos"
2,"vox, partido, izquierda, pp, votar, derechos, elecciones, partidos, voto, votos"
3,"gay, gays, homofobia, homosexuales, homosexual, homófobo, homosexualidad, homófobos, heterosexual, hetero"
4,"religión, iglesia, dios, religiones, cristianos, cristiano, ateo, cristianismo, católica, virgen"
5,"policía, delito, juez, ley, guardia, cárcel, violencia, delitos, agresiones, policías"
6,"noticias, periodista, titular, medios, fake, artículo, news, información, periódico, periodismo"
7,"racista, racistas, racismo, negros, raza, negro, blanco, blancos, xenofobia, mierda"
8,"españa, españoles, inmigrantes, trabajo, millones, país, refugiados, ayudas, paro, inmigración"
9,"musulmanes, islam, musulmán, musulmana, terrorismo, terroristas, islamista, religión, atentado, terrorista"
10,"refugiados, refugiado, sirios, refugiados sirios, guerra, estatus, país, refugees, siria, sirio"
11,"html, be, old, jpg, org, eldiario, search, org wiki, wiki, c3"
12,"europa, ue, hungría, europeos, unión, europea, unión europea, alemania, polonia, finlandia"
13,"españa, españoles, español, espana, española, madrid, valencia, html, país, hortaleza"
14,"barco, puerto, mar, barcos, embarcaciones, balsa, bote, costa, rescate, barca"
15,"marruecos, libia, marroquí, marroquíes, túnez, país, españa, rey, marroquies, mafias"
16,"padres, niños, niño, hijos, edad, padre, hijo, menores, familia, adultos"
17,"bandera, banderas, oficiales, arcoiris, edificios, colores, representa, bandera arcoiris, arco iris, iris"
18,"áfrica, africa, países, africanos, millones, país, europa, población, recursos, inmigrantes"
19,"feminismo, feministas, feminista, mujeres, radical, igualdad, movimiento, lgtb, hombres, partido"
20,"assad, siria, isis, sirios, guerra, dictador, sirio, ja, alepo, ja ja"
21,"serie, juego, historia, capítulo, personajes, temporada, jugado, visto, segundo, personaje"
22,"subrogada, gestación, parejas, gestación subrogada, hijos, padres, hijo, madre, padre, niños"
23,"educación, formación, profesor, profesores, talleres, clase, alumnos, escuela, instituto, colegios"
24,"fascista, fascistas, fascismo, nazi, convierte, 10, mierda, comunistas, insultar, sientan"
25,"rusia, putin, ucrania, rusos, rusa, siria, propaganda, guerra, eeuu, fascista"
26,"psicólogo, psiquiatra, hígado, médico, órganos, tratamiento, decisión, profesional, mental, psicológico"
27,"matrimonio, unión, civil, matrimonio homosexual, casarse, matrimonios, derechos, homosexual, parejas, sexo"
28,"trans, transexual, transgénero, mujer, género, transexualidad, pene, sexo, problema, ley"
29,"fútbol, división, armario, deporte, gay, homofobia, equipo, primera, gays, femenino"
30,"alemanes, alemania, alemán, alemana, merkel, fotos, sueldos, viviendo, tratado, clientes"
31,"refugiados, alemania, europa, ue, asilo, to, suiza, país, the, países"
32,"arma, armas, defenderse, muerte, pistola, mueren, muere, vidas, suicida, 60"
33,"sexo, sexual, género, orientación, orientación sexual, identidad, procesos, cambiarse, sexualidad, dni"
34,"nazis, nazi, hitler, nazismo, neonazis, diario, peineta, cartas, partido, mesa"
35,"violador, violadores, violación, violar, hombres, mujer, violaciones, mujeres, cuchillo, ley"
36,"israel, palestinos, líbano, niños, matar, árabes, refugiados, tierra, terroristas, muertos"
37,"orgullo, santa, semana santa, semana, navidad, fiesta, celebrar, celebra, celebración, procesiones"
38,"catalán, castellano, lengua, cataluña, idioma, valenciano, idiomas, estándar, habla, hablo"
39,"madrid, barcelona, checa, ciudad, logo, orgullo, ayuntamiento, santa, semana santa, fp"
40,"calle, camión, taxi, camiones, coches, furgoneta, ciudad, barrio, calles, obras"
41,"venezuela, evo, morales, bolivia, golpe, presidente, venezolanos, pablo iglesias, aznar, elecciones"
42,"españa, gay, homofobia, homosexuales, madrid, turismo, derechos, cuba, homófobos, orgullo"
43,"españa, partido, pp, urnas, votar, partidos, moderada, vox, debate, votantes"
44,"turquía, turquia, turcos, siria, turco, refugiados, internacional, ue, europa, guerra"
45,"mafias, ong, ongs, mafia, open arms, arms, open, rescate, negocio, embarcaciones"
46,"vox, vox vox, pactos, financia, chiringuitos, huevo, dan, publicidad, podemos, simple"
47,"censura, cancelación, libros, expresión, libertad expresión, censurar, libertad, cultura, contenidos, bibliotecas"
48,"mujer, mujeres, tareas, hogar, hombres, casa, feminismo, concepto, libres, rol"
